D4 D8 0 -4 93 78 171 78
D8 D2 0 6 78 78 406 328
D2 D5 0 -3 78 94 639 561
D5 LShiftKey -3 5 94 140 50420 50326
LShiftKey I 2 -8 140 78 109 -31
I Space -3 4 78 93 172 94
Space A 2 3 93 78 171 78
A M -1 -6 78 110 31 -47
M Space -1 3 110 78 219 109
Space H 2 -2 78 94 249 171
H O 1 -3 94 109 172 78
O N -2 3 109 93 172 63
N O 2 -3 93 78 156 63
O R 0 5 78 94 405 327
R E 0 1 94 94 265 171
E D -1 0 94 78 234 140
D Space -2 -1 78 78 156 78
Space T 3 -1 78 78 1529 1451
T O 0 -4 78 63 109 31
O Space -3 5 63 78 188 125
Space B 1 -1 78 78 171 93
B E 2 2 78 62 125 47
E Space -3 -1 62 93 94 32
Space W 3 2 93 47 218 125
W I 0 -6 47 78 78 31
I T 0 3 78 78 312 234
T H -1 -1 78 78 203 125
H Space -2 2 78 93 359 281
Space Y 3 -2 93 78 2527 2434
Y O 0 -3 78 172 218 140
O U 0 2 172 93 94 -78
U Space -3 3 93 94 296 203
Space T 3 -1 94 93 250 156
T O 0 -4 93 78 140 47
O D -1 6 78 94 359 281
D A 0 2 94 78 140 46
A Y 1 -5 78 78 156 78
Y Space -3 2 78 78 827 749
Space A 2 3 78 78 484 406
A T 1 -4 78 78 156 78
T Space -3 1 78 78 218 140
Space Y 3 -2 78 78 281 203
Y O 0 -3 78 125 218 140
O U 0 2 125 94 47 -78
U R 0 3 94 78 156 62
R Space -3 0 78 94 187 109
Space C 1 1 94 78 1014 920
C O 2 -6 78 62 188 110
O M -2 2 62 94 171 109
M M 0 0 94 93 172 78
M E 2 4 93 78 156 63
E N -2 -3 78 94 109 31
N C 0 3 94 62 281 187
C E 2 0 62 63 140 78
E M -2 -4 63 78 234 171
M E 2 4 78 94 109 31
E N -2 -3 94 62 94 0
N Space -1 2 62 62 328 266
Space Back 4 -9 62 62 624 562
Back T -1 8 62 94 452 390
T Space -3 1 94 94 343 249
Space F 2 0 94 93 1857 1763
F R 1 0 93 62 187 94
R O 0 -5 62 140 31 -31
O M -2 2 140 94 78 -62
M Space -1 3 94 78 234 140
Space O 3 -5 78 156 811 733
O N -2 3 156 93 94 -62
N E 2 3 93 62 156 63
E Space -3 -1 62 93 78 16
Space O 3 -5 93 93 203 110
O F -1 5 93 78 140 47
F Space -2 0 78 78 140 62
Space T 3 -1 78 78 890 812
T H -1 -1 78 78 218 140
H E 1 3 78 94 109 31
E Space -3 -1 94 93 141 47
Space F 2 0 93 78 124 31
F I 1 -4 78 124 110 32
I N -2 2 124 109 62 -62
N E 2 3 109 78 156 47
E S -1 1 78 78 234 156
S T 1 -3 78 78 125 47
T Space -3 1 78 78 624 546
Space U 3 -3 78 140 390 312
U N -2 1 140 94 93 -47
N I 2 -2 94 109 172 78
I V -2 4 109 78 234 125
V E 2 1 78 62 156 78
E R 0 -1 62 62 203 141
R S -1 2 62 62 281 219
S I 1 -6 62 62 140 78
I T 0 3 62 62 234 172
T I 0 -3 62 63 109 47
I E 0 5 63 93 172 109
E S -1 1 93 78 234 141
S Space -2 -2 78 78 577 499
Space I 3 -4 78 140 484 406
I N -2 2 140 93 78 -62
N Space -1 2 93 93 187 94
Space T 3 -1 93 78 203 110
T H -1 -1 78 78 171 93
H E 1 3 78 78 125 47
E Space -3 -1 78 109 94 16
Space W 3 2 109 94 249 140
W O 0 -7 94 78 94 0
O R 0 5 78 78 171 93
R L -1 -5 78 78 141 63
L D 0 6 78 62 156 78
D Space -2 -1 62 78 125 63
Space Back 4 -9 78 94 2714 2636
Back OemPeriod -3 4 94 94 312 218
OemPeriod Space -1 5 94 78 218 124
Space LShiftKey 1 4 78 172 1654 1576
LShiftKey I 2 -8 172 63 109 -63
I Space -3 4 63 78 172 109
Space N 1 -2 78 78 187 109
N E 2 3 78 94 140 62
E V -2 -1 94 78 172 78
V E 2 1 78 78 78 0
E R 0 -1 78 78 203 125
R Space -3 0 78 93 125 47
Space G 2 -1 93 93 156 63
G R 1 1 93 62 234 141
R A -1 3 62 62 140 78
A D 0 -2 62 78 78 16
D U 1 -4 78 93 250 172
U A -1 6 93 78 171 78
A T 1 -4 78 78 109 31
T E 0 2 78 94 749 671
E D -1 0 94 94 234 140
D Space -2 -1 94 78 203 109
Space F 2 0 78 93 281 203
F R 1 0 93 78 187 94
R O 0 -5 78 156 31 -47
O M -2 2 156 94 109 -47
M Space -1 3 94 78 203 109
Space C 1 1 78 78 125 47
C O 2 -6 78 78 125 47
O L -1 0 78 78 203 125
L L 0 0 78 78 124 46
L E 1 6 78 94 156 78
E G -1 -2 94 78 156 62
G E 1 2 78 78 78 0
E OemPeriod -2 -6 78 94 328 250
OemPeriod Space -1 5 94 78 920 826
Space LShiftKey 1 4 78 172 359 281
LShiftKey T 2 -5 172 62 172 0
T R 0 1 62 78 296 234
R U 0 -3 78 78 234 156
U T 0 2 78 47 265 187
T H -1 -1 47 78 172 125
H Space -2 2 78 93 250 172
Space B 1 -1 93 62 218 125
B E 2 2 62 78 156 94
E Space -3 -1 78 110 62 -16
Space T 3 -1 110 62 250 140
T O 0 -4 62 63 109 47
O L -1 0 63 94 187 124
L D 0 6 94 78 156 62
D Oemcomma -1 -5 78 140 1108 1030
Oemcomma Space -1 4 140 140 78 -62
Space T 3 -1 140 78 546 406
T H -1 -1 78 78 203 125
H I 1 -2 78 78 218 140
I S -1 6 78 78 156 78
S Space -2 -2 78 78 94 16
Space I 3 -4 78 94 171 93
I S -1 6 94 62 141 47
S Space -2 -2 62 78 109 47
Space T 3 -1 78 78 203 125
T H -1 -1 78 78 187 109
H E 1 3 78 109 312 234
E Space -3 -1 109 93 328 219
Space C 1 1 93 78 624 531
C L 1 -6 78 78 124 46
L O 1 0 78 62 188 110
O S -1 7 62 93 109 47
S E 1 -1 93 78 234 141
E T 0 -2 78 63 171 93
T S -1 3 63 93 110 47
S T 1 -3 93 62 140 47
T Space -3 1 62 94 296 234
Space LShiftKey 1 4 94 140 812 718
LShiftKey I 2 -8 140 78 78 -62
I Oem7 -1 -3 78 62 889 811
Oem7 V -1 7 62 78 390 328
V E 2 1 78 78 156 78
E Space -3 -1 78 93 78 0
Space G 2 -1 93 109 203 110
G O 1 -4 109 78 124 15
O T 0 4 78 78 219 141
T T 0 0 78 78 171 93
T E 0 2 78 109 266 188
E N -2 -3 109 63 202 93
N Space -1 2 63 78 234 171
Space T 3 -1 78 94 749 671
T O 0 -4 94 78 141 47
O Space -3 5 78 203 171 93
Space A 2 3 203 0 297 94
A Space -2 -3 0 46 0 0
Space C 1 1 46 93 187 141
C O 2 -6 93 78 171 78
O L -1 0 78 47 219 141
L L 0 0 47 78 125 78
L E 1 6 78 109 187 109
E G -1 -2 109 62 156 47
G E 1 2 62 78 78 16
E Space -3 -1 78 78 218 140
Space G 2 -1 78 93 952 874
G R 1 1 93 47 234 141
R A -1 3 47 78 93 46
A D 0 -2 78 78 94 16
D U 1 -4 78 78 281 203
U A -1 6 78 78 140 62
A T 1 -4 78 62 141 63
T I 0 -3 62 156 343 281
I O 0 -1 156 125 78 -78
O N -2 3 125 78 234 109
N OemPeriod 0 -3 78 78 281 203
OemPeriod Space -1 5 78 78 218 140
Space LShiftKey 1 4 78 219 4867 4789
LShiftKey T 2 -5 219 62 125 -94
T LShiftKey -2 5 62 202 6724 6662
LShiftKey T 2 -5 202 78 124 -78
T O 0 -4 78 78 375 297
O D -1 6 78 78 203 125
D A 0 2 78 78 1731 1653
A Y 1 -5 78 47 172 94
Y Space -3 2 47 109 218 171
Space I 3 -4 109 63 265 156
I Space -3 4 63 94 203 140
Space W 3 2 94 78 3292 3198
W N -2 -4 78 78 312 234
N Back 3 -7 78 93 546 468
Back Back 0 0 93 94 764 671
Back Back 0 0 94 63 187 93
