D4 D2 0 2 94 78 344 250
D2 D3 0 -1 78 78 390 312
D3 D9 0 -6 78 78 405 327
D9 Return -2 -3 78 62 1155 1077
Return LShiftKey -1 12 62 327 76596 76534
LShiftKey I 2 -8 327 94 218 -109
I Space -3 4 94 140 484 390
Space A 2 3 140 110 592 452
A M -1 -6 110 78 219 109
M Space -1 3 78 140 187 109
Space H 2 -2 140 94 530 390
H O 1 -3 94 109 266 172
O N -2 3 109 94 1575 1466
N O 2 -3 94 93 328 234
O R 0 5 93 156 343 250
R E 0 1 156 109 359 203
E D -1 0 109 109 312 203
D Space -2 -1 109 109 780 671
Space T 3 -1 109 125 499 390
T O 0 -4 125 94 187 62
O Space -3 5 94 124 219 125
Space B 1 -1 124 124 390 266
B E 2 2 124 140 187 63
E Space -3 -1 140 125 296 156
Space W 3 2 125 62 1061 936
W I 0 -6 62 94 109 47
I T 0 3 94 93 250 156
T H -1 -1 93 109 140 47
H Space -2 2 109 141 156 47
Space Y 3 -2 141 93 843 702
Y O 0 -3 93 125 109 16
O U 0 2 125 63 249 124
U Space -3 3 63 125 250 187
Space T 3 -1 125 140 640 515
T O 0 -4 140 109 187 47
O D -1 6 109 94 343 234
D A 0 2 94 140 203 109
A Y 1 -5 140 63 452 312
Y Space -3 2 63 109 843 780
Space A 2 3 109 78 1060 951
A T 1 -4 78 110 312 234
T Space -3 1 110 109 328 218
Space Y 3 -2 109 93 515 406
Y O 0 -3 93 125 140 47
O U 0 2 125 47 390 265
U R 0 3 47 109 515 468
R Space -3 0 109 109 312 203
Space C 1 1 109 62 546 437
C O 2 -6 62 125 2012 1950
O M -2 2 125 109 422 297
M M 0 0 109 110 202 93
M E 2 4 110 47 203 93
E N -2 -3 47 78 1654 1607
N C 0 3 78 125 468 390
C E 2 0 125 109 858 733
E M -2 -4 109 140 1248 1139
M E 2 4 140 124 328 188
E N -2 -3 124 109 374 250
N T 2 1 109 125 187 78
T Space -3 1 125 141 265 140
Space F 2 0 141 109 344 203
F R 1 0 109 110 358 249
R O 0 -5 110 203 172 62
O M -2 2 203 141 187 -16
M Space -1 3 141 125 187 46
Space O 3 -5 125 140 1748 1623
O N -2 3 140 109 234 94
N E 2 3 109 94 202 93
E Space -3 -1 94 125 203 109
Space O 3 -5 125 124 219 94
O G -1 4 124 93 343 219
G Back 2 -8 93 172 1154 1061
Back F -2 9 172 125 390 218
F Space -2 0 125 125 359 234
Space T 3 -1 125 140 359 234
T J -1 -2 140 94 327 187
J E 1 4 94 94 156 62
E Back 1 -10 94 109 593 499
Back Back 0 0 109 109 203 94
Back H -2 7 109 109 577 468
H E 1 3 109 78 172 63
E Space -3 -1 78 124 281 203
Space G 2 -1 124 140 468 344
G I 1 -3 140 125 202 62
I Back 1 -5 125 109 515 390
Back Back 0 0 109 94 187 78
Back F -2 9 94 93 1436 1342
F I 1 -4 93 218 109 16
I N -2 2 218 125 171 -47
N E 2 3 125 125 156 31
E S -1 1 125 125 468 343
S T 1 -3 125 93 344 219
T Space -3 1 93 140 265 172
Space U 3 -3 140 125 374 234
U N -2 1 125 172 203 78
N I 2 -2 172 109 1279 1107
I V -2 4 109 93 297 188
V E 2 1 93 156 249 156
E R 0 -1 156 141 156 0
R S -1 2 141 125 265 124
S I 1 -6 125 109 141 16
I T 0 3 109 94 483 374
T I 0 -3 94 94 172 78
I E 0 5 94 109 172 78
E S -1 1 109 124 468 359
S Space -2 -2 124 156 452 328
Space I 3 -4 156 125 1045 889
I N -2 2 125 140 359 234
N Space -1 2 140 124 172 32
Space T 3 -1 124 125 249 125
T H -1 -1 125 110 109 -16
H E 1 3 110 109 188 78
E Space -3 -1 109 124 234 125
Space W 3 2 124 141 327 203
W O 0 -7 141 156 156 15
O E 0 6 156 140 562 406
E Back 1 -10 140 140 1014 874
Back R -1 9 140 93 468 328
R L -1 -5 93 141 296 203
L D 0 6 141 109 297 156
D OemPeriod -1 -6 109 125 904 795
OemPeriod Space -1 5 125 140 219 94
Space LShiftKey 1 4 140 359 1419 1279
LShiftKey I 2 -8 359 47 156 -203
I I 0 0 47 47 125 78
I Back 1 -5 47 125 749 702
Back Space -4 9 125 125 218 93
Space N 1 -2 125 156 312 187
N E 2 3 156 124 188 32
E V -2 -1 124 141 280 156
V E 2 1 141 312 125 -16
E R 0 -1 312 140 219 -93
R Space -3 0 140 141 280 140
Space G 2 -1 141 140 297 156
G R 1 1 140 156 811 671
R A -1 3 156 171 250 94
A D 0 -2 171 125 421 250
D U 1 -4 125 109 374 249
U A -1 6 109 156 499 390
A T 1 -4 156 156 936 780
T E 0 2 156 141 125 -31
E D -1 0 141 125 343 202
D Space -2 -1 125 125 203 78
Space D 2 1 125 94 1373 1248
D E 1 0 94 78 421 327
E Back 1 -10 78 109 437 359
Back Back 0 0 109 78 187 78
Back Back 0 0 78 16 187 109
Back F -2 9 16 47 203 187
F Space -2 0 47 109 406 359
Space Back 4 -9 109 62 312 203
Back Space -4 9 62 124 515 453
Space F 2 0 124 109 343 219
F R 1 0 109 140 234 125
R O 0 -5 140 63 951 811
O M -2 2 63 124 578 515
M Space -1 3 124 94 405 281
