D0 D9 0 1 140 109 93 -47
D9 D1 0 8 109 93 141 32
D1 D7 0 -6 93 78 124 31
D7 Return -2 -5 78 62 687 609
Return RShiftKey -1 1 62 187 61121 61059
RShiftKey I 2 3 187 110 124 -63
I Space -3 4 110 78 47 -63
Space A 2 3 78 78 172 94
A M -1 -6 78 63 93 15
M Space -1 3 63 63 78 15
Space H 2 -2 63 62 188 125
H O 1 -3 62 125 31 -31
O N -2 3 125 78 78 -47
N O 2 -3 78 109 827 749
O R 0 5 109 171 156 47
R E 0 1 171 140 109 -62
E D -1 0 140 93 234 94
D Space -2 -1 93 93 1061 968
Space T 3 -1 93 78 249 156
T O 0 -4 78 93 94 16
O Space -3 5 93 78 109 16
Space B 1 -1 78 78 172 94
B E 2 2 78 93 156 78
E Space -3 -1 93 93 109 16
Space W 3 2 93 63 93 0
W I 0 -6 63 94 94 31
I T 0 3 94 125 187 93
T H -1 -1 125 109 63 -62
H Space -2 2 109 94 920 811
Space Y 3 -2 94 78 296 202
Y O 0 -3 78 141 78 0
O U 0 2 141 109 63 -78
U Space -3 3 109 78 93 -16
Space T 3 -1 78 63 234 156
T O 0 -4 63 94 78 15
O D -1 6 94 140 172 78
D A 0 2 140 93 94 -46
A Y 1 -5 93 93 109 16
Y Space -3 2 93 63 1154 1061
Space A 2 3 63 109 390 327
A T 1 -4 109 94 156 47
T Space -3 1 94 63 109 15
Space Y 3 -2 63 78 110 47
Y O 0 -3 78 156 109 31
O U 0 2 156 94 93 -63
U R 0 3 94 62 94 0
R Space -3 0 62 109 109 47
Space C 1 1 109 93 141 32
C O 2 -6 93 94 93 0
O M -2 2 94 63 187 93
M M 0 0 63 109 125 62
M E 2 4 109 63 156 47
E N -2 -3 63 78 94 31
N C 0 3 78 78 249 171
C M 0 -4 78 93 141 63
M E 2 4 93 93 125 32
E N -2 -3 93 78 93 0
N T 2 1 78 78 125 47
T Space -3 1 78 78 78 0
Space F 2 0 78 78 10499 10421
F R 1 0 78 78 156 78
R O 0 -5 78 125 109 31
O M -2 2 125 125 62 -63
M Space -1 3 125 78 796 671
Space O 3 -5 78 140 1264 1186
O N -2 3 140 93 78 -62
N E 2 3 93 78 78 -15
E Space -3 -1 78 78 124 46
Space O 3 -5 78 78 156 78
O F -1 5 78 78 63 -15
F Space -2 0 78 78 93 15
Space T 3 -1 78 109 141 63
T H -1 -1 109 94 62 -47
H E 1 3 94 94 187 93
E Space -3 -1 94 78 78 -16
Space F 2 0 78 63 125 47
F I 1 -4 63 93 63 0
I N -2 2 93 94 46 -47
N E 2 3 94 124 110 16
E S -1 1 124 124 78 -46
S T 1 -3 124 78 202 78
T Space -3 1 78 62 94 16
Space U 3 -3 62 141 2605 2543
U N -2 1 141 125 94 -47
N I 2 -2 125 94 218 93
I V -2 4 94 62 94 0
V E 2 1 62 156 156 94
E R 0 -1 156 94 93 -63
R S -1 2 94 78 172 78
S I 1 -6 78 93 94 16
I T 0 3 93 78 156 63
T I 0 -3 78 94 124 46
I E 0 5 94 109 188 94
E S -1 1 109 109 62 -47
S Space -2 -2 109 93 515 406
Space I 3 -4 93 125 312 219
I N -2 2 125 109 62 -63
N Space -1 2 109 94 78 -31
Space T 3 -1 94 125 203 109
T H -1 -1 125 110 62 -63
H E 1 3 110 63 234 124
E Space -3 -1 63 94 94 31
Space W 3 2 94 94 109 15
W O 0 -7 94 94 125 31
O R 0 5 94 78 78 -16
R L -1 -5 78 94 109 31
L D 0 6 94 94 109 15
D OemPeriod -1 -6 94 93 422 328
OemPeriod Space -1 5 93 78 125 32
Space RShiftKey 1 -7 78 296 1154 1076
RShiftKey I 2 3 296 78 250 -46
I Space -3 4 78 93 109 31
Space N 1 -2 93 78 109 16
N E 2 3 78 125 125 47
E V -2 -1 125 94 109 -16
V E 2 1 94 125 156 62
E R 0 -1 125 78 78 -47
R Space -3 0 78 78 62 -16
Space G 2 -1 78 63 125 47
G R 1 1 63 171 172 109
R A -1 3 171 156 171 0
A D 0 -2 156 93 110 -46
D U 1 -4 93 78 62 -31
U A -1 6 78 140 94 16
A T 1 -4 140 187 156 16
T E 0 2 187 140 109 -78
E D -1 0 140 109 218 78
D Space -2 -1 109 78 141 32
Space F 2 0 78 63 436 358
F R 1 0 63 78 110 47
R O 0 -5 78 110 46 -32
O M -2 2 110 94 47 -63
M Space -1 3 94 78 109 15
Space C 1 1 78 62 172 94
C O 2 -6 62 78 78 16
O L -1 0 78 78 187 109
L L 0 0 78 109 125 47
L E 1 6 109 140 94 -15
E G -1 -2 140 156 93 -47
G E 1 2 156 110 109 -47
E OemPeriod -2 -6 110 93 453 343
OemPeriod Space -1 5 93 78 109 16
Space RShiftKey 1 -7 78 265 125 47
RShiftKey T 2 6 265 78 203 -62
T R 0 1 78 78 218 140
R U 0 -3 78 78 125 47
U T 0 2 78 125 156 78
T H -1 -1 125 94 62 -63
H Space -2 2 94 94 109 15
Space B 1 -1 94 63 156 62
B E 2 2 63 78 172 109
E Space -3 -1 78 94 78 0
Space T 3 -1 94 78 109 15
T O 0 -4 78 94 109 31
O L -1 0 94 78 188 94
L D 0 6 78 78 140 62
D Oemcomma -1 -5 78 93 671 593
Oemcomma Space -1 4 93 78 93 0
Space T 3 -1 78 124 188 110
T H -1 -1 124 109 62 -62
H I 1 -2 109 109 94 -15
I S -1 6 109 109 140 31
S Space -2 -2 109 94 78 -31
Space I 3 -4 94 78 172 78
I S -1 6 78 94 62 -16
S Space -2 -2 94 93 94 0
Space T 3 -1 93 141 202 109
T H -1 -1 141 94 94 -47
H E 1 3 94 93 172 78
E Space -3 -1 93 78 93 0
Space C 1 1 78 94 125 47
C L 1 -6 94 94 218 124
L O 1 0 94 94 47 -47
O S -1 7 94 94 593 499
S E 1 -1 94 125 187 93
E S -1 1 125 125 78 -47
S T 1 -3 125 78 250 125
T Space -3 1 78 78 1809 1731
Space RShiftKey 1 -7 78 202 344 266
RShiftKey I 2 3 202 78 140 -62
I Oem7 -1 -3 78 94 343 265
Oem7 V -1 7 94 141 187 93
V E 2 1 141 78 110 -31
E Space -3 -1 78 94 62 -16
Space E 3 1 94 93 125 31
E V -2 -1 93 62 78 -15
V E 2 1 62 109 140 78
E R 0 -1 109 63 78 -31
R Space -3 0 63 94 78 15
Space G 2 -1 94 78 109 15
G O 1 -4 78 93 110 32
O T 0 4 93 63 93 0
T T 0 0 63 140 125 62
T E 0 2 140 109 94 -46
E N -2 -3 109 94 327 218
N Space -1 2 94 78 187 93
Space T 3 -1 78 62 406 328
T O 0 -4 62 78 94 32
O Space -3 5 78 266 514 436
Space A 2 3 266 109 562 296
A Space -2 -3 109 94 140 31
Space C 1 1 94 94 156 62
C O 2 -6 94 94 156 62
O L -1 0 94 62 219 125
L L 0 0 62 94 109 47
L E 1 6 94 141 109 15
E G -1 -2 141 172 109 -32
G E 1 2 172 109 125 -47
E Space -3 -1 109 93 687 578
Space G 2 -1 93 78 327 234
G R 1 1 78 109 687 609
R A -1 3 109 172 124 15
A D 0 -2 172 94 125 -47
D U 1 -4 94 78 78 -16
U A -1 6 78 109 78 0
A T 1 -4 109 93 172 63
T I 0 -3 93 125 156 63
I O 0 -1 125 187 78 -47
O N -2 3 187 94 140 -47
N OemPeriod 0 -3 94 94 1295 1201
OemPeriod Space -1 5 94 94 109 15
Space RShiftKey 1 -7 94 140 141 47
RShiftKey T 2 6 140 47 124 -16
T O 0 -4 47 78 141 94
O D -1 6 78 125 109 31
D A 0 2 125 109 78 -47
A Y 1 -5 109 78 218 109
Y Space -3 2 78 78 94 16
Space I 3 -4 78 94 1279 1201
I Space -3 4 94 78 109 15
Space Oemplus 4 -8 78 31 500 422
Oemplus Back 0 -1 31 31 140 109
Back Back 0 0 31 94 967 936
Back Back 0 0 94 93 141 47
Back RShiftKey -3 2 93 218 468 375
RShiftKey O 2 2 218 109 140 -78
O Back 1 -4 109 78 640 531
Back RShiftKey -3 2 78 203 592 514
RShiftKey I 2 3 203 110 78 -125
I Space -3 4 110 78 297 187
Space W 3 2 78 125 343 265
W A -1 1 125 109 78 -47
A N -1 -5 109 93 94 -15
N T 2 1 93 62 140 47
T Space -3 1 62 93 47 -15
Space T 3 -1 93 78 109 16
T O 0 -4 78 78 78 0
O Space -3 5 78 78 140 62
Space T 3 -1 78 156 219 141
T E 0 2 156 125 93 -63
E L -1 -6 125 62 94 -31
L L 0 0 62 78 140 78
L Space -2 5 78 94 78 0
Space Y 3 -2 94 94 281 187
Y O 0 -3 94 93 141 47
O U 0 2 93 109 31 -62
U Space -3 3 109 109 4134 4025
Space T 3 -1 109 140 265 156
T H -1 -1 140 78 94 -46
H R 1 2 78 94 218 140
R E 0 1 94 63 187 93
E E 0 0 63 94 125 62
E Space -3 -1 94 78 140 46
Space S 2 2 78 187 63 -15
S T 1 -3 187 94 140 -47
T O 0 -4 94 78 125 31
O R 0 5 78 63 140 62
R I 0 -4 63 94 94 31
I E 0 5 94 156 125 31
E S -1 1 156 110 93 -63
S Space -2 -2 110 110 624 514
Space F 2 0 110 78 203 93
F R 1 0 78 94 156 78
R O 0 -5 94 62 125 31
O M -2 2 62 109 31 -31
M Space -1 3 109 78 94 -15
Space M 1 -3 78 78 156 78
M Y 2 1 78 62 78 0
Y Space -3 2 62 78 109 47
Space L 2 -5 78 188 296 218
L I 1 1 188 125 125 -63
I F -1 4 125 140 141 16
F E 1 1 140 124 78 -62
E OemPeriod -2 -6 124 94 1076 952
OemPeriod Space -1 5 94 93 125 31
Space RShiftKey 1 -7 93 187 187 94
RShiftKey T 2 6 187 93 125 -62
T H -1 -1 93 78 156 63
H A 0 5 78 187 234 156
A T 1 -4 187 109 140 -47
T Oem7 -1 -6 109 78 141 32
Oem7 S 0 9 78 124 156 78
S Space -2 -2 124 93 936 812
Space I 3 -4 93 109 1279 1186
I T 0 3 109 94 140 31
T OemPeriod -2 -4 94 78 437 343
OemPeriod Space -1 5 78 78 94 16
Space RShiftKey 1 -7 78 171 156 78
RShiftKey N 0 5 171 78 124 -47
N O 2 -3 78 94 156 78
O Space -3 5 94 62 110 16
Space B 1 -1 62 78 452 390
B I 2 -3 78 94 655 577
I G -1 3 94 78 125 31
G Space -2 1 78 78 156 78
Space D 2 1 78 78 265 187
D E 1 0 78 156 203 125
E A -1 2 156 93 94 -62
A L 0 -8 93 93 78 -15
L OemPeriod -1 0 93 78 234 141
OemPeriod Space -1 5 78 78 93 15
Space RShiftKey 1 -7 78 297 187 109
RShiftKey J 1 4 297 125 172 -125
J U 1 0 125 94 296 171
U S -1 5 94 78 188 94
S T 1 -3 78 78 46 -32
T Space -3 1 78 94 94 16
Space T 3 -1 94 110 218 124
T H -1 -1 110 94 47 -63
H R 1 2 94 93 219 125
R E 0 1 93 47 187 94
E E 0 0 47 78 125 78
E Space -3 -1 78 78 156 78
Space S 2 2 78 187 93 15
S T 1 -3 187 78 141 -46
T O 0 -4 78 78 124 46
O R 0 5 78 78 125 47
R I 0 -4 78 78 141 63
I E 0 5 78 125 109 31
E S -1 1 125 125 62 -63
S OemPeriod -1 -7 125 140 921 796
OemPeriod Return 1 -3 140 141 2121 1981
Return Return 0 0 141 156 437 296
Return Return 0 0 156 109 390 234
Return RShiftKey -1 1 109 219 733 624
RShiftKey T 2 6 219 78 172 -47
T H -1 -1 78 78 156 78
H E 1 3 78 94 187 109
E Space -3 -1 94 78 109 15
Space F 2 0 78 78 749 671
F I 1 -4 78 109 172 94
I R 0 4 109 110 124 15
R S -1 2 110 156 78 -32
S T 1 -3 156 78 110 -46
T Space -3 1 78 109 78 0
Space S 2 2 109 94 93 -16
S T 1 -3 94 78 141 47
T O 0 -4 78 94 93 15
O R 0 5 94 156 94 0
R Y 0 -2 156 110 93 -63
Y Space -3 2 110 78 141 31
Space I 3 -4 78 93 515 437
I S -1 6 93 78 62 -31
S Space -2 -2 78 109 125 47
Space A 2 3 109 78 78 -31
A B -1 -4 78 78 218 140
B O 2 -4 78 140 63 -15
O U 0 2 140 94 62 -78
U T 0 2 94 62 125 31
T Space -3 1 62 94 109 47
Space C 1 1 94 94 421 327
C O 2 -6 94 94 125 31
O N -2 3 94 94 187 93
N N 0 0 94 93 141 47
N E 2 3 93 140 343 250
E C -2 0 140 109 78 -62
C T 2 -2 109 63 608 499
T I 0 -3 63 125 250 187
I N -2 2 125 109 78 -47
N G 1 1 109 94 140 31
G Space -2 1 94 93 141 47
Space T 3 -1 93 109 577 484
T H -1 -1 109 109 47 -62
H E 1 3 109 94 202 93
E Space -3 -1 94 94 78 -16
Space D 2 1 94 78 172 78
D O 1 -6 78 78 62 -16
O T 0 4 78 62 172 94
T S -1 3 62 78 265 203
S OemPeriod -1 -7 78 124 1077 999
OemPeriod Return 1 -3 124 94 249 125
Return Return 0 0 94 94 187 93
Return Return 0 0 94 124 188 94
Return RShiftKey -1 1 124 172 452 328
RShiftKey I 2 3 172 109 94 -78
I Space -3 4 109 62 140 31
Space D 2 1 62 63 140 78
D R 1 -1 63 78 172 109
R O 0 -5 78 109 94 16
O P 0 -1 109 78 187 78
P P 0 0 78 94 140 62
P E 0 7 94 62 94 0
E D -1 0 62 78 156 94
D Space -2 -1 78 110 717 639
Space O 3 -5 110 172 390 280
O U 0 2 172 109 94 -78
U T 0 2 109 78 156 47
T Space -3 1 78 78 78 0
Space O 3 -5 78 125 156 78
O F -1 5 125 0 250 125
F Space -2 0 0 15 0 0
Space RShiftKey 1 -7 15 187 109 94
RShiftKey R 2 7 187 62 125 -62
R E 0 1 62 63 171 109
E E 0 0 63 78 125 62
E D -1 0 78 94 187 109
D Space -2 -1 94 78 109 15
Space RShiftKey 1 -7 78 234 2247 2169
RShiftKey C 0 8 234 94 140 -94
C O 2 -6 94 109 203 109
