D2 D6 0 -4 109 94 343 234
D6 D0 0 -4 94 93 266 172
D0 D5 0 5 93 78 374 281
D5 LShiftKey -3 5 78 296 94895 94817
LShiftKey I 2 -8 296 62 234 -62
I Space -3 4 62 94 156 94
Space A 2 3 94 94 140 46
A M -1 -6 94 125 125 31
M Space -1 3 125 110 187 62
Space H 2 -2 110 125 1248 1138
H O 1 -3 125 156 141 16
O N -2 3 156 94 249 93
N O 2 -3 94 140 94 0
O R 0 5 140 156 312 172
R D -1 1 156 109 312 156
D Space -2 -1 109 94 187 78
Space T 3 -1 94 78 156 62
T O 0 -4 78 78 109 31
O Space -3 5 78 109 125 47
Space B 1 -1 109 78 219 110
B E 2 2 78 94 140 62
E Space -3 -1 94 93 125 31
Space W 3 2 93 109 218 125
W I 0 -6 109 93 94 -15
I H -1 2 93 109 281 188
H T 1 1 109 62 31 -78
T Back 1 -8 62 94 2059 1997
Back Back 0 0 94 94 187 93
Back T -1 8 94 125 593 499
T H -1 -1 125 62 234 109
H Space -2 2 62 93 671 609
Space Y 3 -2 93 124 6521 6428
Y O 0 -3 124 187 156 32
O U 0 2 187 110 124 -63
U Space -3 3 110 109 297 187
Space T 3 -1 109 109 359 250
T O 0 -4 109 94 140 31
O D -1 6 94 156 328 234
D A 0 2 156 125 171 15
A Y 1 -5 125 78 609 484
Y Space -3 2 78 93 187 109
Space A 2 3 93 140 156 63
A T 1 -4 140 110 171 31
T Space -3 1 110 94 172 62
Space Y 3 -2 94 109 234 140
Y O 0 -3 109 141 140 31
O U 0 2 141 109 94 -47
U R 0 3 109 109 187 78
R Space -3 0 109 93 375 266
Space C 1 1 93 125 187 94
C O 2 -6 125 125 109 -16
O M -2 2 125 78 156 31
M M 0 0 78 125 156 78
M E 2 4 125 109 156 31
E N -2 -3 109 78 172 63
N C 0 3 78 172 171 93
C E 2 0 172 125 156 -16
E M -2 -4 125 93 172 47
M E 2 4 93 109 125 32
E N -2 -3 109 94 124 15
N T 2 1 94 93 141 47
T Space -3 1 93 109 140 47
Space F 2 0 109 140 141 32
F R 1 0 140 172 124 -16
R O 0 -5 172 125 156 -16
O M -2 2 125 125 125 0
M Space -1 3 125 110 187 62
Space T 3 -1 110 78 78 -32
T Back 1 -8 78 125 562 484
Back O -1 4 125 109 718 593
O F -1 5 109 93 109 0
F Back 2 -9 93 109 2777 2684
Back N -3 7 109 125 421 312
N E 2 3 125 94 187 62
E Space -3 -1 94 93 125 31
Space O 3 -5 93 125 1170 1077
O F -1 5 125 125 109 -16
F Space -2 0 125 78 125 0
Space T 3 -1 78 109 140 62
T H -1 -1 109 109 78 -31
H E 1 3 109 110 109 0
E Space -3 -1 110 78 141 31
Space F 2 0 78 124 203 125
F I 1 -4 124 156 124 0
I N -2 2 156 140 110 -46
N E 2 3 140 172 171 31
