D5 D0 0 -5 172 156 297 125
D0 Back 0 -3 156 125 1638 1482
Back Back 0 0 125 93 234 109
Back D4 0 9 93 156 905 812
D4 D6 0 -2 156 109 390 234
D6 D9 0 -3 109 140 390 281
D9 D1 0 8 140 109 234 94
D1 Return -2 -11 109 140 1404 1295
Return LShiftKey -1 12 140 234 75675 75535
LShiftKey I 2 -8 234 94 125 -109
I Space -3 4 94 109 156 62
Space A 2 3 109 109 640 531
A M -1 -6 109 125 140 31
M Space -1 3 125 125 125 0
Space H 2 -2 125 109 889 764
H O 1 -3 109 94 156 47
O N -2 3 94 94 156 62
N O 2 -3 94 94 156 62
O R 0 5 94 94 187 93
R E 0 1 94 94 172 78
E D -1 0 94 94 187 93
D Space -2 -1 94 125 94 0
Space T 3 -1 125 125 156 31
T O 0 -4 125 78 109 -16
O Space -3 5 78 94 78 0
Space B 1 -1 94 78 172 78
B E 2 2 78 94 124 46
E Space -3 -1 94 78 94 0
Space W 3 2 78 109 187 109
W I 0 -6 109 62 94 -15
I T 0 3 62 124 125 63
T H -1 -1 124 78 93 -31
H Space -2 2 78 93 94 16
Space Y 3 -2 93 94 171 78
Y O 0 -3 94 110 156 62
O U 0 2 110 110 78 -32
U Space -3 3 110 94 78 -32
Space T 3 -1 94 94 172 78
T O 0 -4 94 78 109 15
O D -1 6 78 93 141 63
D A 0 2 93 125 140 47
A Y 1 -5 125 94 156 31
Y Space -3 2 94 93 125 31
Space A 2 3 93 141 171 78
A T 1 -4 141 125 63 -78
T Space -3 1 125 78 140 15
Space T 3 -1 78 109 78 0
T H -1 -1 109 62 125 16
H E 1 3 62 94 78 16
E Space -3 -1 94 93 125 31
Space Back 4 -9 93 78 967 874
Back Back 0 0 78 78 156 78
Back Back 0 0 78 78 156 78
Back Back 0 0 78 109 156 78
Back Y -1 7 109 93 749 640
Y O 0 -3 93 78 171 78
O U 0 2 78 93 63 -15
U R 0 3 93 93 78 -15
R Space -3 0 93 94 93 0
Space C 1 1 94 109 1451 1357
C O 2 -6 109 63 109 0
O M -2 2 63 62 188 125
M M 0 0 62 78 124 62
M E 2 4 78 94 125 47
E N -2 -3 94 62 125 31
N C 0 3 62 94 140 78
C E 2 0 94 94 203 109
E M -2 -4 94 78 141 47
M E 2 4 78 78 109 31
E N -2 -3 78 78 109 31
N T 2 1 78 109 94 16
T Space -3 1 109 78 140 31
Space F 2 0 78 78 156 78
F R 1 0 78 94 187 109
R O 0 -5 94 93 172 78
O M -2 2 93 93 234 141
M Space -1 3 93 109 109 16
Space O 3 -5 109 78 343 234
O N -2 3 78 94 156 78
N E 2 3 94 109 156 62
E Space -3 -1 109 94 125 16
Space O 3 -5 94 78 187 93
O F -1 5 78 78 109 31
F Space -2 0 78 94 94 16
Space T 3 -1 94 78 125 31
T H -1 -1 78 78 109 31
H E 1 3 78 94 78 0
E Space -3 -1 94 78 125 31
Space F 2 0 78 109 109 31
F I 1 -4 109 62 125 16
I N -2 2 62 93 156 94
N E 2 3 93 109 78 -15
E S -1 1 109 78 203 94
S T 1 -3 78 110 124 46
T Space -3 1 110 109 141 31
Space U 3 -3 109 78 203 94
U N -2 1 78 93 187 109
N I 2 -2 93 94 140 47
I V -2 4 94 109 141 47
V E 2 1 109 140 234 125
E R 0 -1 140 109 93 -47
R S -1 2 109 109 172 63
S I 1 -6 109 78 156 47
I T 0 3 78 109 140 62
T I 0 -3 109 63 156 47
I E 0 5 63 94 187 124
E S -1 1 94 78 188 94
S Space -2 -2 78 93 156 78
Space I 3 -4 93 63 249 156
I N -2 2 63 93 172 109
N Space -1 2 93 93 125 32
Space T 3 -1 93 94 124 31
T H -1 -1 94 78 94 0
H E 1 3 78 94 109 31
E Space -3 -1 94 93 63 -31
Space W 3 2 93 109 1123 1030
W O 0 -7 109 78 140 31
O R 0 5 78 125 94 16
R L -1 -5 125 109 359 234
L D 0 6 109 93 187 78
D OemPeriod -1 -6 93 124 125 32
OemPeriod Space -1 5 124 109 171 47
Space LShiftKey 1 4 109 265 312 203
LShiftKey I 2 -8 265 109 94 -171
I Space -3 4 109 109 203 94
Space N 1 -2 109 78 265 156
N E 2 3 78 93 78 0
E V -2 -1 93 94 171 78
V E 2 1 94 140 188 94
