D0 D5 0 5 94 124 796 702
D5 D6 0 -1 124 78 187 63
D6 D1 0 5 78 78 374 296
D1 Return -2 -11 78 93 796 718
Return Capital 0 12 93 78 52197 52104
Capital I 1 -8 78 78 94 16
I Capital -1 8 78 109 94 16
Capital Space -2 -4 109 78 171 62
Space A 2 3 78 94 109 31
A M -1 -6 94 62 94 0
M Space -1 3 62 62 203 141
Space H 2 -2 62 78 936 874
H O 1 -3 78 78 62 -16
O N -2 3 78 78 905 827
N O 2 -3 78 78 281 203
O R 0 5 78 78 156 78
R E 0 1 78 78 171 93
E D -1 0 78 93 188 110
D Space -2 -1 93 78 109 16
Space T 3 -1 78 109 187 109
T O 0 -4 109 62 94 -15
O Space -3 5 62 94 748 686
Space B 1 -1 94 78 203 109
B E 2 2 78 94 125 47
E Space -3 -1 94 63 109 15
Space W 3 2 63 110 343 280
W I 0 -6 110 93 110 0
I T 0 3 93 109 234 141
T H -1 -1 109 78 78 -31
H Space -2 2 78 94 249 171
Space Y 3 -2 94 140 172 78
Y O 0 -3 140 78 156 16
O U 0 2 78 94 109 31
U Space -3 3 94 62 203 109
Space T 3 -1 62 109 842 780
T O 0 -4 109 78 94 -15
O D -1 6 78 93 390 312
D A 0 2 93 93 156 63
A T 1 -4 93 78 125 32
T Back 1 -8 78 62 1638 1560
Back Y -1 7 62 78 421 359
Y Space -3 2 78 78 281 203
Space A 2 3 78 110 4336 4258
A T 1 -4 110 62 94 -16
T Space -3 1 62 78 281 219
Space Y 3 -2 78 125 296 218
Y O 0 -3 125 78 125 0
O U 0 2 78 78 140 62
U R 0 3 78 78 468 390
R Space -3 0 78 78 110 32
Space C 1 1 78 78 1060 982
C O 2 -6 78 78 110 32
O M -2 2 78 62 265 187
M M 0 0 62 78 140 78
M E 2 4 78 78 141 63
E N -2 -3 78 78 124 46
N C 0 3 78 78 203 125
C E 2 0 78 94 234 156
E M -2 -4 94 63 187 93
M Oemcomma 0 -1 63 47 0 -63
Oemcomma E 2 5 47 94 156 109
E N -2 -3 94 78 110 16
N T 2 1 78 78 358 280
T Space -3 1 78 62 94 16
Space Back 4 -9 62 78 1030 968
Back Back 0 0 78 63 171 93
Back Back 0 0 63 78 156 93
Back Back 0 0 78 78 156 78
Back Back 0 0 78 94 156 78
Back Back 0 0 94 109 1077 983
Back M -3 6 109 94 1840 1731
M E 2 4 94 93 110 16
E N -2 -3 93 78 124 31
N T 2 1 78 78 188 110
T Space -3 1 78 78 93 15
Space F 2 0 78 94 1435 1357
F R 1 0 94 93 219 125
R O 0 -5 93 93 78 -15
O M -2 2 93 78 281 188
M Space -1 3 78 78 218 140
Space O 3 -5 78 78 936 858
O N -2 3 78 78 250 172
N E 2 3 78 94 249 171
E Space -3 -1 94 78 63 -31
Space O 3 -5 78 78 312 234
O F -1 5 78 110 124 46
F Space -2 0 110 94 172 62
Space T 3 -1 94 109 203 109
T H -1 -1 109 78 93 -16
H E 1 3 78 94 874 796
E Space -3 -1 94 93 125 31
Space F 2 0 93 94 1809 1716
F I 1 -4 94 94 78 -16
I N -2 2 94 78 266 172
N E 2 3 78 93 109 31
E S -1 1 93 109 234 141
S T 1 -3 109 62 125 16
T Space -3 1 62 78 343 281
Space U 3 -3 78 94 764 686
U N -2 1 94 78 234 140
N I 2 -2 78 63 234 156
I V -2 4 63 93 375 312
V E 2 1 93 93 156 63
E R 0 -1 93 94 171 78
R S -1 2 94 109 234 140
S I 1 -6 109 94 203 94
I T 0 3 94 78 172 78
T I 0 -3 78 78 93 15
I E 0 5 78 93 375 297
E S -1 1 93 78 234 141
S Space -2 -2 78 78 858 780
Space I 3 -4 78 78 1170 1092
I N -2 2 78 78 234 156
N Space -1 2 78 78 202 124
Space T 3 -1 78 93 110 32
T H -1 -1 93 63 124 31
H E 1 3 63 94 172 109
E Space -3 -1 94 63 109 15
Space W 3 2 63 93 172 109
W O 0 -7 93 62 109 16
O R 0 5 62 94 187 125
R L -1 -5 94 78 172 78
L D 0 6 78 78 234 156
D OemPeriod -1 -6 78 62 889 811
OemPeriod Space -1 5 62 78 234 172
Space Capital 2 4 78 109 234 156
Capital I 1 -8 109 94 780 671
I Capital -1 8 94 109 172 78
Capital Space -2 -4 109 94 280 171
Space N 1 -2 94 78 359 265
N E 2 3 78 93 297 219
E V -2 -1 93 62 78 -15
V E 2 1 62 94 124 62
E R 0 -1 94 78 203 109
R Space -3 0 78 63 109 31
Space G 2 -1 63 94 640 577
G R 1 1 94 63 218 124
R A -1 3 63 93 110 47
A D 0 -2 93 109 249 156
D U 1 -4 109 78 94 -15
U A -1 6 78 109 218 140
A T 1 -4 109 78 94 -15
T E 0 2 78 94 187 109
E D -1 0 94 78 203 109
D Space -2 -1 78 62 109 31
Space F 2 0 62 93 1498 1436
F R 1 0 93 94 280 187
R O 0 -5 94 93 110 16
O M -2 2 93 78 234 141
M Space -1 3 78 78 187 109
Space C 1 1 78 94 171 93
C O 2 -6 94 78 125 31
O L -1 0 78 78 203 125
L L 0 0 78 63 140 62
L E 1 6 63 93 110 47
