D4 D2 0 2 110 109 188 78
D2 D1 0 1 109 156 234 125
D1 D9 0 -8 156 78 249 93
D9 Return -2 -3 78 93 1077 999
Return LShiftKey -1 12 93 218 55037 54944
LShiftKey I 2 -8 218 78 156 -62
I Space -3 4 78 156 265 187
Space A 2 3 156 125 889 733
A M -1 -6 125 110 140 15
M Space -1 3 110 125 94 -16
Space H 2 -2 125 78 296 171
H O 1 -3 78 110 234 156
O N -2 3 110 78 718 608
N O 2 -3 78 109 250 172
O U 0 2 109 31 249 140
U R 0 3 31 93 562 531
R E 0 1 93 109 140 47
E D -1 0 109 109 281 172
D Space -2 -1 109 172 452 343
Space T 3 -1 172 124 656 484
T O 0 -4 124 78 202 78
O Space -3 5 78 93 219 141
Space B 1 -1 93 125 312 219
B E 2 2 125 109 187 62
E Space -3 -1 109 109 234 125
Space W 3 2 109 140 593 484
W I 0 -6 140 93 125 -15
I T 0 3 93 78 327 234
T H -1 -1 78 140 281 203
H Space -2 2 140 110 452 312
Space Y 3 -2 110 78 578 468
Y O 0 -3 78 109 249 171
O U 0 2 109 78 234 125
U Space -3 3 78 94 203 125
Space T 3 -1 94 78 265 171
T O 0 -4 78 94 281 203
O D -1 6 94 94 187 93
D A 0 2 94 125 281 187
A Y 1 -5 125 94 156 31
Y Space -3 2 94 109 343 249
Space A 2 3 109 140 219 110
A T 1 -4 140 63 327 187
T Space -3 1 63 78 203 140
Space Y 3 -2 78 94 234 156
Y O 0 -3 94 109 265 171
O U 0 2 109 125 312 203
U R 0 3 125 94 187 62
R Space -3 0 94 109 172 78
Space C 1 1 109 140 203 94
C O 2 -6 140 78 249 109
O M -2 2 78 47 250 172
M M 0 0 47 94 140 93
M E 2 4 94 109 125 31
E N -2 -3 109 109 141 32
N C 0 3 109 94 218 109
C E 2 0 94 110 218 124
E M -2 -4 110 93 141 31
M E 2 4 93 109 109 16
E N -2 -3 109 78 125 16
N T 2 1 78 140 312 234
T Space -3 1 140 125 1404 1264
Space F 2 0 125 124 437 312
F R 1 0 124 125 265 141
R O 0 -5 125 63 171 46
O M -2 2 63 156 266 203
M Space -1 3 156 124 156 0
Space O 3 -5 124 78 280 156
O N -2 3 78 156 281 203
N E 2 3 156 110 187 31
E Space -3 -1 110 109 562 452
Space O 3 -5 109 125 468 359
O F -1 5 125 125 203 78
F Space -2 0 125 109 109 -16
Space T 3 -1 109 94 312 203
T H -1 -1 94 109 234 140
H E 1 3 109 93 47 -62
E Space -3 -1 93 109 187 94
Space F 2 0 109 125 140 31
F I 1 -4 125 63 125 0
I N -2 2 63 109 203 140
N E 2 3 109 78 203 94
E S -1 1 78 125 218 140
S T 1 -3 125 94 187 62
T Space -3 1 94 156 484 390
Space U 3 -3 156 62 1420 1264
U N -2 1 62 93 187 125
N I 2 -2 93 62 187 94
I V -2 4 62 94 265 203
V E 2 1 94 93 141 47
E R 0 -1 93 94 202 109
R S -1 2 94 156 266 172
S I 1 -6 156 94 171 15
I T 0 3 94 93 297 203
T I 0 -3 93 93 265 172
I E 0 5 93 78 171 78
E S -1 1 78 140 250 172
S Space -2 -2 140 93 437 297
Space I 3 -4 93 94 374 281
I N -2 2 94 156 265 171
N Space -1 2 156 110 156 0
Space T 3 -1 110 62 328 218
T H -1 -1 62 109 234 172
H E 1 3 109 110 140 31
E Space -3 -1 110 125 219 109
Space W 3 2 125 140 624 499
W O 0 -7 140 109 218 78
O R 0 5 109 94 390 281
R L -1 -5 94 93 172 78
L D 0 6 93 109 390 297
D OemPeriod -1 -6 109 141 561 452
OemPeriod Space -1 5 141 109 796 655
Space LShiftKey 1 4 109 234 187 78
LShiftKey I 2 -8 234 78 125 -109
I Space -3 4 78 94 218 140
Space N 1 -2 94 93 219 125
N E 2 3 93 110 171 78
E V -2 -1 110 125 172 62
V E 2 1 125 125 109 -16
E R 0 -1 125 110 343 218
R Space -3 0 110 78 375 265
Space G 2 -1 78 78 4243 4165
G R 1 1 78 62 281 203
R A -1 3 62 140 125 63
A D 0 -2 140 78 93 -47
D U 1 -4 78 94 281 203
U A -1 6 94 109 125 31
A T 1 -4 109 63 140 31
T E 0 2 63 94 265 202
E D -1 0 94 109 266 172
D Space -2 -1 109 109 1029 920
Space F 2 0 109 78 468 359
F R 1 0 78 125 312 234
R O 0 -5 125 78 141 16
O M -2 2 78 156 234 156
M Space -1 3 156 109 171 15
Space C 1 1 109 124 141 32
C O 2 -6 124 78 156 32
O L -1 0 78 62 234 156
L L 0 0 62 78 140 78
L E 1 6 78 125 218 140
E G -1 -2 125 156 219 94
G E 1 2 156 125 655 499
E OemPeriod -2 -6 125 125 967 842
OemPeriod Space -1 5 125 93 843 718
Space LShiftKey 1 4 93 172 592 499
LShiftKey T 2 -5 172 78 78 -94
T R 0 1 78 78 219 141
R U 0 -3 78 78 281 203
U T 0 2 78 78 265 187
T H -1 -1 78 109 218 140
H Space -2 2 109 109 250 141
Space T 3 -1 109 140 281 172
T O 0 -4 140 78 124 -16
O Space -3 5 78 109 219 141
Space B 1 -1 109 109 265 156
B E 2 2 109 109 125 16
E Space -3 -1 109 109 62 -47
Space T 3 -1 109 78 328 219
T O 0 -4 78 94 296 218
O L -1 0 94 94 265 171
L D 0 6 94 109 203 109
D Oemcomma -1 -5 109 125 1170 1061
Oemcomma Space -1 4 125 125 983 858
Space T 3 -1 125 78 109 -16
T H -1 -1 78 94 203 125
H I 1 -2 94 109 281 187
I S -1 6 109 110 171 62
S Space -2 -2 110 93 188 78
Space I 3 -4 93 93 468 375
I S -1 6 93 93 109 16
S Space -2 -2 93 109 156 63
Space T 3 -1 109 63 327 218
T H -1 -1 63 94 234 171
H E 1 3 94 94 78 -16
E Space -3 -1 94 109 141 47
Space C 1 1 109 125 187 78
C L 1 -6 125 94 109 -16
L O 1 0 94 78 219 125
O S -1 7 78 94 171 93
S E 1 -1 94 109 234 140
E S -1 1 109 125 312 203
S Space -2 -2 125 62 562 437
Space LShiftKey 1 4 62 249 437 375
LShiftKey I 2 -8 249 78 140 -109
I Oem7 -1 -3 78 93 562 484
Oem7 V -1 7 93 94 764 671
V E 2 1 94 125 187 93
E Space -3 -1 125 125 328 203
Space E 3 1 125 124 905 780
E V -2 -1 124 94 202 78
V E 2 1 94 109 375 281
E R 0 -1 109 94 265 156
R Space -3 0 94 125 421 327
Space G 2 -1 125 140 453 328
G O 1 -4 140 78 234 94
O T 0 4 78 78 312 234
T T 0 0 78 78 156 78
T E 0 2 78 125 124 46
E N -2 -3 125 93 344 219
N Space -1 2 93 109 156 63
Space T 3 -1 109 125 218 109
T O 0 -4 125 78 125 0
O Space -3 5 78 109 265 187
Space C 1 1 109 156 686 577
C O 2 -6 156 47 328 172
O L -1 0 47 125 343 296
L L 0 0 125 124 1233 1108
L E 1 6 124 109 1591 1467
E G -1 -2 109 109 140 31
G E 1 2 109 125 187 78
E Space -3 -1 125 141 1607 1482
Space G 2 -1 141 109 546 405
G R 1 1 109 78 312 203
R D -1 1 78 94 234 156
D U 1 -4 94 94 312 218
U A -1 6 94 110 187 93
A T 1 -4 110 78 78 -32
T I 0 -3 78 94 281 203
I O 0 -1 94 78 219 125
O N -2 3 78 78 265 187
N OemPeriod 0 -3 78 109 390 312
OemPeriod Space -1 5 109 94 561 452
Space LShiftKey 1 4 94 266 312 218
LShiftKey T 2 -5 266 93 141 -125
T O 0 -4 93 125 296 203
O D -1 6 125 109 203 78
D A 0 2 109 156 265 156
A Y 1 -5 156 78 156 0
Y Space -3 2 78 94 234 156
Space LShiftKey 1 4 94 296 125 31
LShiftKey I 2 -8 296 94 218 -78
I Space -3 4 94 109 281 187
Space W 3 2 109 109 484 375
W N -2 -4 109 141 639 530
N T 2 1 141 110 312 171
T Space -3 1 110 140 141 31
Space T 3 -1 140 110 405 265
T O 0 -4 110 94 156 46
O Space -3 5 94 94 250 156
Space T 3 -1 94 109 234 140
T E 0 2 109 109 312 203
E L -1 -6 109 109 203 94
L L 0 0 109 94 187 78
L Space -2 5 94 110 296 202
Space Y 3 -2 110 78 702 592
Y O 0 -3 78 78 281 203
O U 0 2 78 47 234 156
U Space -3 3 47 94 203 156
Space T 3 -1 94 47 390 296
T H -1 -1 47 78 203 156
H R 1 2 78 62 265 187
R E 0 1 62 32 218 156
E E 0 0 32 47 125 93
E Space -3 -1 47 109 172 125
Space S 2 2 109 110 171 62
S T 1 -3 110 94 125 15
T O 0 -4 94 78 281 187
O R 0 5 78 78 608 530
R I 0 -4 78 110 312 234
I E 0 5 110 94 156 46
E S -1 1 94 109 281 187
S Space -2 -2 109 93 219 110
Space F 2 0 93 94 296 203
F O 1 -5 94 109 421 327
O R 0 5 109 109 172 63
R M -2 -3 109 125 109 0
M Space -1 3 125 78 140 15
Space M 1 -3 78 94 125 47
M Y 2 1 94 78 281 187
Y Space -3 2 78 109 234 156
Space L 2 -5 109 109 172 63
L I 1 1 109 110 592 483
I F -1 4 110 109 219 109
F E 1 1 109 109 1201 1092
E OemPeriod -2 -6 109 78 296 187
OemPeriod Space -1 5 78 93 765 687
Space LShiftKey 1 4 93 234 234 141
LShiftKey T 2 -5 234 94 140 -94
T H -1 -1 94 93 250 156
H A 0 5 93 125 327 234
A T 1 -4 125 93 188 63
T S -1 3 93 125 202 109
S Space -2 -2 125 94 156 31
Space I 3 -4 94 78 266 172
I T 0 3 78 94 374 296
T OemPeriod -2 -4 94 94 1404 1310
OemPeriod LShiftKey 0 9 94 203 265 171
LShiftKey J 1 -7 203 94 109 -94
J U 1 0 94 93 266 172
U S -1 5 93 141 124 31
S T 1 -3 141 78 141 0
T Space -3 1 78 94 249 171
Space LShiftKey 1 4 94 203 172 78
LShiftKey T 2 -5 203 78 94 -109
T Back 1 -8 78 140 811 733
Back T -1 8 140 63 561 421
T H -1 -1 63 94 203 140
H R 1 2 94 78 281 187
R E 0 1 78 78 187 109
E E 0 0 78 78 172 94
E Space -3 -1 78 94 296 218
Space S 2 2 94 109 172 78
S T 1 -3 109 78 156 47
T O 0 -4 78 109 312 234
O R 0 5 109 78 483 374
R I 0 -4 78 78 297 219
I E 0 5 78 93 156 78
E S -1 1 93 172 265 172
S OemPeriod -1 -7 172 78 125 -47
OemPeriod Return 1 -3 78 110 9453 9375
Return LShiftKey -1 12 110 187 921 811
LShiftKey T 2 -5 187 63 93 -94
T H -1 -1 63 94 234 171
H E 1 3 94 125 94 0
E Space -3 -1 125 94 156 31
Space F 2 0 94 109 203 109
F I 1 -4 109 78 140 31
I R 0 4 78 110 187 109
R S -1 2 110 109 266 156
S T 1 -3 109 78 78 -31
T Space -3 1 78 125 218 140
Space S 2 2 125 140 156 31
S T 1 -3 140 78 187 47
T O 0 -4 78 109 281 203
O R 0 5 109 124 250 141
R Y 0 -2 124 78 218 94
Y Space -3 2 78 140 281 203
Space I 3 -4 140 93 780 640
I S -1 6 93 94 140 47
S Space -2 -2 94 94 125 31
Space A 2 3 94 109 172 78
A B -1 -4 109 78 109 0
B O 2 -4 78 93 281 203
O U 0 2 93 78 234 141
U T 0 2 78 63 218 140
T Space -3 1 63 93 219 156
Space C 1 1 93 109 140 47
C O 2 -6 109 62 125 16
O N -2 3 62 78 327 265
N N 0 0 78 78 156 78
N E 2 3 78 93 32 -46
E C -2 0 93 125 265 172
C T 2 -2 125 78 140 15
T I 0 -3 78 78 250 172
I O 0 -1 78 78 203 125
O N -2 3 78 94 218 140
N G 1 1 94 78 265 171
G Space -2 1 78 93 219 141
Space D 2 1 93 125 265 172
D O 1 -6 125 78 140 15
O T 0 4 78 78 343 265
T S -1 3 78 109 172 94
S OemPeriod -1 -7 109 78 9266 9157
OemPeriod Return 1 -3 78 109 219 141
Return Return 0 0 109 125 4165 4056
Return LShiftKey -1 12 125 234 499 374
LShiftKey I 2 -8 234 93 172 -62
I Space -3 4 93 109 265 172
Space D 2 1 109 109 125 16
D R 1 -1 109 171 234 125
R O 0 -5 171 62 203 32
O P 0 -1 62 78 187 125
P P 0 0 78 78 156 78
P E 0 7 78 94 93 15
E D -1 0 94 94 234 140
D Space -2 -1 94 93 63 -31
Space O 3 -5 93 78 249 156
O U 0 2 78 110 234 156
U T 0 2 110 125 234 124
T Space -3 1 125 93 141 16
Space O 3 -5 93 78 265 172
O F -1 5 78 93 125 47
F Space -2 0 93 94 109 16
Space T 3 -1 94 78 265 171
T H -1 -1 78 94 203 125
H E 1 3 94 78 62 -32
E Space -3 -1 78 109 125 47
Space C 1 1 109 124 141 32
C O 2 -6 124 78 124 0
O L -1 0 78 62 219 141
L L 0 0 62 63 140 78
L E 1 6 63 94 31 -32
E G -1 -2 94 110 234 140
G E 1 2 110 110 156 46
E Space -3 -1 110 140 843 733
Space Left 0 -7 140 171 3089 2949
Left Left 0 0 171 686 312 141
Left LShiftKey 1 11 686 234 1482 796
LShiftKey R 2 -4 234 94 171 -63
R E 0 1 94 93 297 203
E E 0 0 93 78 187 94
E Space -3 -1 78 78 405 327
Space Back 4 -9 78 78 1342 1264
Back D -2 10 78 140 156 78
D Space -2 -1 140 188 530 390
Space A 2 3 188 172 1794 1606
A F 0 -3 172 62 219 47
F T 1 -1 62 78 218 156
T E 0 2 78 94 125 47
E R 0 -1 94 62 78 -16
R Space -3 0 62 94 234 172
Space D6 4 -2 94 63 499 405
D6 Space -4 2 63 93 250 187
Space M 1 -3 93 125 171 78
M O 2 -2 125 78 281 156
O N -2 3 78 109 219 141
N T 2 1 109 78 296 187
T H -1 -1 78 124 250 172
