D8 D1 0 7 93 110 124 31
D1 D9 0 -8 110 78 125 15
D9 D2 0 7 78 109 94 16
D2 Return -2 -10 109 62 6131 6022
Return Left -2 1 62 124 25974 25912
Left LShiftKey 1 11 124 297 49545 49421
LShiftKey I 2 -8 297 109 172 -125
I Space -3 4 109 125 218 109
Space A 2 3 125 93 141 16
A M -1 -6 93 110 124 31
M Space -1 3 110 124 110 0
Space H 2 -2 124 94 171 47
H O 1 -3 94 125 94 0
O N -2 3 125 109 187 62
N O 2 -3 109 93 172 63
O R 0 5 93 109 109 16
R E 0 1 109 202 125 16
E D -1 0 202 93 187 -15
D Space -2 -1 93 125 936 843
Space T 3 -1 125 93 203 78
T O 0 -4 93 109 156 63
O Space -3 5 109 94 140 31
Space B 1 -1 94 171 796 702
B E 2 2 171 109 109 -62
E Space -3 -1 109 93 156 47
Space W 3 2 93 109 140 47
W I 0 -6 109 78 125 16
I T 0 3 78 94 109 31
T H -1 -1 94 94 125 31
H Space -2 2 94 109 94 0
Space Y 3 -2 109 109 171 62
Y O 0 -3 109 109 94 -15
O U 0 2 109 93 156 47
U Space -3 3 93 125 156 63
Space T 3 -1 125 109 234 109
T O 0 -4 109 93 203 94
O D -1 6 93 156 171 78
D A 0 2 156 110 109 -47
A Y 1 -5 110 93 188 78
Y Space -3 2 93 109 1170 1077
Space A 2 3 109 125 202 93
A T 1 -4 125 124 110 -15
T Space -3 1 124 218 109 -15
Space Y 3 -2 218 78 374 156
Y O 0 -3 78 202 63 -15
O U 0 2 202 125 171 -31
U R 0 3 125 109 156 31
R Space -3 0 109 125 1264 1155
Space C 1 1 125 94 249 124
C O 2 -6 94 109 125 31
O M -2 2 109 62 203 94
M M 0 0 62 78 140 78
M E 2 4 78 110 156 78
E N -2 -3 110 78 94 -16
N C 0 3 78 141 187 109
C E 2 0 141 125 94 -47
E M -2 -4 125 78 171 46
M E 2 4 78 78 297 219
E N -2 -3 78 78 125 47
N T 2 1 78 109 93 15
T Space -3 1 109 124 1233 1124
Space F 2 0 124 156 218 94
F R 1 0 156 141 62 -94
R O 0 -5 141 219 125 -16
O M -2 2 219 141 125 -94
M Space -1 3 141 156 94 -47
Space O 3 -5 156 219 171 15
O N -2 3 219 141 156 -63
N E 2 3 141 109 188 47
E Space -3 -1 109 125 202 93
Space O 3 -5 125 93 453 328
O F -1 5 93 109 109 16
F Space -2 0 109 78 140 31
Space T 3 -1 78 78 94 16
T H -1 -1 78 78 94 16
H E 1 3 78 109 156 78
E Space -3 -1 109 109 187 78
Space F 2 0 109 93 312 203
F I 1 -4 93 219 140 47
I N -2 2 219 94 156 -63
N E 2 3 94 109 125 31
E S -1 1 109 125 234 125
S T 1 -3 125 94 234 109
T Space -3 1 94 140 562 468
Space U 3 -3 140 172 405 265
U N -2 1 172 187 156 -16
N I 2 -2 187 124 219 32
I V -2 4 124 94 280 156
V E 2 1 94 187 188 94
E R 0 -1 187 110 124 -63
R S -1 2 110 172 172 62
S T 1 -3 172 78 187 15
T I 0 -3 78 93 172 94
I Back 1 -5 93 125 1232 1139
Back Back 0 0 125 125 203 78
Back I -1 5 125 125 608 483
I T 0 3 125 171 141 16
T E 0 2 171 187 125 -46
E S -1 1 187 141 124 -63
S Space -2 -2 141 109 1779 1638
Space O 3 -5 109 202 125 16
O N -2 3 202 140 156 -46
N Space -1 2 140 93 187 47
Space Back 4 -9 93 93 203 110
Back Back 0 0 93 93 156 63
Back Back 0 0 93 78 156 63
Back I -1 5 78 94 530 452
I N -2 2 94 78 109 15
N Space -1 2 78 109 141 63
Space T 3 -1 109 78 124 15
T H -1 -1 78 78 94 16
H W 1 4 78 63 140 62
W Back 1 -11 63 110 1404 1341
