D9 D0 0 -1 100 120 220 120
D0 D2 0 8 120 150 620 500
D2 D2 0 0 150 140 220 70
D2 Return -2 -10 140 142 1130 990
Return LShiftKey -1 12 142 270 35936 35794
LShiftKey I 2 -8 270 150 160 -110
I Space -3 4 150 140 300 150
Space A 2 3 140 150 250 110
A M -1 -6 150 110 220 70
M Space -1 3 110 120 220 110
Space H 2 -2 120 130 480 360
H O 1 -3 130 120 280 150
O N -2 3 120 100 290 170
N O 2 -3 100 140 250 150
O R 0 5 140 150 890 750
R E 0 1 150 120 230 80
E D -1 0 120 110 230 110
D Space -2 -1 110 120 150 40
Space T 3 -1 120 150 600 480
T O 0 -4 150 110 200 50
O Space -3 5 110 100 330 220
Space B 1 -1 100 150 350 250
B E 2 2 150 140 350 200
E Space -3 -1 140 100 200 60
Space G 2 -1 100 120 730 630
G R 1 1 120 120 320 200
R A -1 3 120 160 180 60
A D 0 -2 160 150 310 150
D E 1 0 150 140 240 90
E D -1 0 140 110 260 120
D Space -2 -1 110 140 160 50
Space Back 4 -9 140 150 2210 2070
Back Back 0 0 150 90 280 130
Back Back 0 0 90 100 200 110
Back Back 0 0 100 110 190 90
Back Back 0 0 110 110 220 110
Back Back 0 0 110 110 190 80
Back Back 0 0 110 120 180 70
Back W -1 11 120 130 900 780
W I 0 -6 130 110 210 80
I T 0 3 110 130 310 200
T Space -3 1 130 120 170 40
Space Back 4 -9 120 180 510 390
Back H -2 7 180 100 280 100
H Space -2 2 100 100 180 80
Space Y 3 -2 100 140 400 300
Y O 0 -3 140 120 180 40
O U 0 2 120 120 160 40
U Space -3 3 120 100 200 80
Space T 3 -1 100 110 400 300
T O 0 -4 110 100 160 50
O D -1 6 100 190 380 280
D A 0 2 190 210 300 110
A Y 1 -5 210 130 210 0
Y Space -3 2 130 110 360 230
Space A 2 3 110 180 2090 1980
A T 1 -4 180 130 240 60
T Space -3 1 130 120 340 210
Space Y 3 -2 120 160 250 130
Y O 0 -3 160 120 190 30
O U 0 2 120 110 180 60
U R 0 3 110 110 370 260
R Space -3 0 110 100 170 60
Space C 1 1 100 110 500 400
C O 2 -6 110 120 220 110
O M -2 2 120 100 300 180
M M 0 0 100 100 190 90
M E 2 4 100 150 1940 1840
E N -2 -3 150 110 250 100
N C 0 3 110 110 360 250
C E 2 0 110 160 260 150
E M -2 -4 160 100 200 40
M E 2 4 100 150 210 110
E N -2 -3 150 110 820 670
N T 2 1 110 120 150 40
T Space -3 1 120 90 190 70
Space F 2 0 90 182 3900 3810
F R 1 0 182 140 252 70
R O 0 -5 140 110 180 40
O M -2 2 110 90 270 160
M Space -1 3 90 80 190 100
Space O 3 -5 80 130 240 160
O N -2 3 130 110 290 160
N E 2 3 110 100 800 690
E Space -3 -1 100 100 160 60
Space O 3 -5 100 140 290 190
O F -1 5 140 110 180 40
F Space -2 0 110 100 160 50
Space T 3 -1 100 100 150 50
T H -1 -1 100 100 180 80
H E 1 3 100 120 160 60
E Space -3 -1 120 110 160 40
Space F 2 0 110 110 210 100
F I 1 -4 110 100 230 120
I N -2 2 100 110 280 180
N E 2 3 110 120 260 150
E S -1 1 120 150 300 180
S T 1 -3 150 130 230 80
T Space -3 1 130 100 280 150
Space U 3 -3 100 120 290 190
U N -2 1 120 90 260 140
N I 2 -2 90 120 220 130
I V -2 4 120 110 300 180
V E 2 1 110 90 220 110
E R 0 -1 90 80 220 130
R S -1 2 80 140 240 160
S I 1 -6 140 110 340 200
I T 0 3 110 120 360 250
T I 0 -3 120 110 190 70
I E 0 5 110 100 600 490
E S -1 1 100 100 250 150
S Space -2 -2 100 120 240 140
Space I 3 -4 120 110 2200 2080
I N -2 2 110 110 260 150
N Space -1 2 110 100 310 200
Space T 3 -1 100 120 240 140
T H -1 -1 120 130 170 50
H E 1 3 130 140 150 20
E Space -3 -1 140 110 180 40
Space W 3 2 110 160 270 160
W O 0 -7 160 140 260 100
O R 0 5 140 140 500 360
R L -1 -5 140 110 530 390
L D 0 6 110 120 570 460
D OemPeriod -1 -6 120 102 560 440
OemPeriod Space -1 5 102 100 382 280
Space LShiftKey 1 4 100 540 750 650
LShiftKey I 2 -8 540 130 410 -130
I Space -3 4 130 110 300 170
Space N 1 -2 110 120 220 110
N E 2 3 120 140 190 70
E V -2 -1 140 100 620 480
V E 2 1 100 120 170 70
E R 0 -1 120 140 410 290
R Space -3 0 140 110 190 50
Space G 2 -1 110 110 1190 1080
G R 1 1 110 122 280 170
R A -1 3 122 170 192 70
A D 0 -2 170 130 780 610
D U 1 -4 130 120 430 300
U A -1 6 120 170 180 60
A T 1 -4 170 120 250 80
T E 0 2 120 120 200 80
E D -1 0 120 120 240 120
D Space -2 -1 120 110 170 50
Space F 2 0 110 120 280 170
F R 1 0 120 120 250 130
R O 0 -5 120 120 140 20
O M -2 2 120 100 280 160
M Space -1 3 100 100 200 100
Space C 1 1 100 110 470 370
C O 2 -6 110 110 180 70
O L -1 0 110 90 290 180
L L 0 0 90 110 180 90
L E 1 6 110 100 200 90
E G -1 -2 100 70 220 120
G E 1 2 70 120 130 60
E OemPeriod -2 -6 120 100 1970 1850
OemPeriod Space -1 5 100 90 270 170
Space LShiftKey 1 4 90 340 390 300
LShiftKey T 2 -5 340 120 240 -100
T R 0 1 120 140 450 330
R U 0 -3 140 120 350 210
U T 0 2 120 110 530 410
T H -1 -1 110 120 160 50
H Space -2 2 120 90 310 190
Space B 1 -1 90 110 1790 1700
B E 2 2 110 120 190 80
E Space -3 -1 120 110 190 70
Space T 3 -1 110 150 270 160
T O 0 -4 150 130 170 20
O L -1 0 130 110 270 140
L D 0 6 110 130 1570 1460
D Oemcomma -1 -5 130 110 430 300
Oemcomma Space -1 4 110 110 240 130
Space T 3 -1 110 160 370 260
T H -1 -1 160 110 210 50
H I 1 -2 110 140 310 200
I S -1 6 140 170 180 40
S Space -2 -2 170 120 240 70
Space I 3 -4 120 120 2710 2590
I S -1 6 120 100 240 120
S Space -2 -2 100 100 180 80
Space T 3 -1 100 120 360 260
T H -1 -1 120 120 170 50
H E 1 3 120 140 180 60
E Space -3 -1 140 130 180 40
Space C 1 1 130 170 280 150
C L 1 -6 170 110 210 40
L O 1 0 110 110 220 110
O S -1 7 110 160 170 60
S E 1 -1 160 120 300 140
E S -1 1 120 110 260 140
S T 1 -3 110 130 320 210
T Space -3 1 130 90 200 70
Space LShiftKey 1 4 90 490 320 230
LShiftKey Oem7 1 -11 490 100 200 -290
Oem7 Oem5 1 -2 100 140 570 470
Oem5 Back 1 0 140 90 1180 1040
Back Back 0 0 90 100 180 90
Back LShiftKey -3 13 100 680 620 520
LShiftKey I 2 -8 680 110 510 -170
I Oem7 -1 -3 110 110 600 490
Oem7 V -1 7 110 120 680 570
V E 2 1 120 110 190 70
E Space -3 -1 110 150 200 90
Space E 3 1 150 100 5040 4890
E V -2 -1 100 110 170 70
V E 2 1 110 140 540 430
E R 0 -1 140 110 180 40
R Space -3 0 110 90 380 270
Space G 2 -1 90 110 1090 1000
G O 1 -4 110 100 210 100
O T 0 4 100 90 410 310
T T 0 0 90 82 180 90
T E 0 2 82 140 122 40
E N -2 -3 140 120 350 210
N Space -1 2 120 100 230 110
Space T 3 -1 100 130 190 90
T O 0 -4 130 130 200 70
O Space -3 5 130 120 280 150
Space C 1 1 120 160 290 170
C O 2 -6 160 120 200 40
O L -1 0 120 90 230 110
L L 0 0 90 90 180 90
L E 1 6 90 160 110 20
E G -1 -2 160 110 260 100
G E 1 2 110 130 140 30
E Space -3 -1 130 110 240 110
Space G 2 -1 110 100 2070 1960
G R 1 1 100 30 210 110
R A -1 3 30 220 1420 1390
A D 0 -2 220 110 660 440
D U 1 -4 110 120 160 50
U A -1 6 120 150 210 90
A T 1 -4 150 140 250 100
T I 0 -3 140 110 380 240
I O 0 -1 110 120 240 130
O N -2 3 120 90 290 170
N OemPeriod 0 -3 90 90 1480 1390
OemPeriod Space -1 5 90 90 270 180
Space LShiftKey 1 4 90 450 150 60
LShiftKey T 2 -5 450 100 330 -120
T O 0 -4 100 100 440 340
O D -1 6 100 140 310 210
D A 0 2 140 140 250 110
A Y 1 -5 140 120 120 -20
Y Space -3 2 120 100 340 220
Space LShiftKey 1 4 100 290 990 890
LShiftKey I 2 -8 290 130 180 -110
I Space -3 4 130 100 290 160
Space W 3 2 100 130 170 70
W A -1 1 130 170 270 140
A N -1 -5 170 120 220 50
N T 2 1 120 140 280 160
T Space -3 1 140 110 150 10
Space T 3 -1 110 100 140 30
T O 0 -4 100 120 200 100
O Space -3 5 120 90 290 170
Space T 3 -1 90 140 170 80
T E 0 2 140 90 1040 900
E L -1 -6 90 90 190 100
L L 0 0 90 90 200 110
L Space -2 5 90 90 240 150
Space Y 3 -2 90 140 260 170
Y O 0 -3 140 120 210 70
O U 0 2 120 110 720 600
U Space -3 3 110 110 180 70
Space T 3 -1 110 110 220 110
T H -1 -1 110 130 200 90
H E 1 3 130 110 250 120
E Back 1 -10 110 210 462 352
Back R -1 9 210 130 280 70
R E 0 1 130 50 290 160
E E 0 0 50 140 230 180
E Space -3 -1 140 130 210 70
Space S 2 2 130 150 280 150
S T 1 -3 150 110 340 190
T O 0 -4 110 110 500 390
O R 0 5 110 100 360 250
R I 0 -4 100 120 160 60
I E 0 5 120 100 200 80
E S -1 1 100 100 280 180
S Space -2 -2 100 100 160 60
Space F 2 0 100 90 1170 1070
F R 1 0 90 120 200 110
R O 0 -5 120 120 170 50
O M -2 2 120 110 260 140
M Space -1 3 110 100 210 100
Space M 1 -3 100 112 230 130
M Y 2 1 112 120 322 210
Y Space -3 2 120 110 310 190
Space LShiftKey 1 4 110 350 360 250
LShiftKey L 1 -9 350 110 220 -130
L Back 2 -4 110 200 500 390
Back LShiftKey -3 13 200 230 440 240
LShiftKey L 1 -9 230 120 680 450
L I 1 1 120 100 300 180
I F -1 4 100 90 210 110
F E 1 1 90 140 230 140
E Space -3 -1 140 90 180 40
Space Back 4 -9 90 160 440 350
Back OemPeriod -3 4 160 120 1110 950
OemPeriod Space -1 5 120 150 370 250
Space LShiftKey 1 4 150 1440 760 610
LShiftKey T 2 -5 1440 110 1310 -130
T H -1 -1 110 120 260 150
H A 0 5 120 180 210 90
A T 1 -4 180 110 1320 1140
T Oem7 -1 -6 110 110 590 480
Oem7 S 0 9 110 130 210 100
S Space -2 -2 130 100 220 90
Space I 3 -4 100 130 470 370
I T 0 3 130 120 180 50
T OemPeriod -2 -4 120 120 1590 1470
OemPeriod Space -1 5 120 100 310 190
Space LShiftKey 1 4 100 410 410 310
LShiftKey N 0 -6 410 90 280 -130
N O 2 -3 90 120 360 270
O Space -3 5 120 120 270 150
Space B 1 -1 120 112 960 840
B I 2 -3 112 160 282 170
I G -1 3 160 100 420 260
G Space -2 1 100 110 150 50
Space D 2 1 110 100 390 280
D E 1 0 100 120 240 140
E A -1 2 120 160 250 130
A L 0 -8 160 100 210 50
L OemPeriod -1 0 100 110 1720 1620
OemPeriod Space -1 5 110 100 280 170
Space LShiftKey 1 4 100 390 200 100
LShiftKey J 1 -7 390 130 250 -140
J U 1 0 130 130 450 320
U S -1 5 130 140 250 120
