D9 D0 0 -1 109 109 187 78
D0 D3 0 7 109 140 468 359
D3 D5 0 -2 140 109 203 63
D5 Return -2 -7 109 94 1216 1107
Return Return 0 0 94 93 453 359
Return Capital 0 12 93 141 58047 57954
Capital I 1 -8 141 125 2715 2574
I Space -3 4 125 140 1529 1404
Space Capital 2 4 140 125 218 78
Capital A 0 -1 125 125 421 296
A M -1 -6 125 93 328 203
M Space -1 3 93 109 187 94
Space H 2 -2 109 93 1607 1498
H O 1 -3 93 94 265 172
O N -2 3 94 78 421 327
N O 2 -3 78 109 827 749
O R 0 5 109 93 484 375
R E 0 1 93 78 202 109
E D -1 0 78 93 188 110
D Space -2 -1 93 109 327 234
Space T 3 -1 109 124 687 578
T O 0 -4 124 94 218 94
O Space -3 5 94 109 265 171
Space B 1 -1 109 93 250 141
B E 2 2 93 110 249 156
E Back 1 -10 110 1826 3822 3712
Back Capital -2 13 1826 172 2777 951
Capital S 0 -2 172 109 234 62
S Capital 0 2 109 172 203 94
Capital T 1 -5 172 94 234 62
T E 0 2 94 93 1295 1201
E V -2 -1 93 109 359 266
V E 2 1 109 140 156 47
E Space -3 -1 140 110 202 62
Space Capital 2 4 110 156 375 265
Capital J 0 -7 156 109 312 156
J Capital 0 7 109 156 203 94
Capital O 1 -9 156 94 218 62
O B -2 4 94 78 452 358
B Oem7 1 -6 78 78 500 422
Oem7 S 0 9 78 109 265 187
S Space -2 -2 109 109 218 109
Space Back 4 -9 109 93 1342 1233
Back Back 0 0 93 141 608 515
Back Back 0 0 141 109 250 109
Back S -2 11 109 125 717 608
S Oem7 0 -9 125 94 437 312
Oem7 Space -2 7 94 109 562 468
Space Capital 2 4 109 156 359 250
Capital Capital 0 0 156 140 421 265
Capital C -1 -3 140 109 296 156
C O 2 -6 109 94 359 250
O M -2 2 94 78 234 140
M M 0 0 78 78 140 62
M E 2 4 78 125 172 94
E N -2 -3 125 78 187 62
N C 0 3 78 78 297 219
C E 2 0 78 109 187 109
E M -2 -4 109 78 265 156
M E 2 4 78 124 172 94
E N -2 -3 124 93 156 32
N T 2 1 93 94 296 203
T Space -3 1 94 94 468 374
Space S 2 2 94 125 1825 1731
S OemOpenBrackets 1 -9 125 47 281 156
OemOpenBrackets Back 1 -2 47 172 1170 1123
Back P -1 3 172 93 905 733
P E 0 7 93 109 218 125
E E 0 0 109 78 203 94
E C -2 0 78 109 640 562
