D9 D2 0 7 80 130 260 180
D2 D7 0 -5 130 70 320 190
D7 D1 0 6 70 120 170 100
D1 Return -2 -11 120 92 960 840
Return RShiftKey -1 1 92 380 43136 43044
RShiftKey I 2 3 380 80 280 -100
I Space -3 4 80 150 190 110
Space A 2 3 150 140 130 -20
A Space -2 -3 140 120 250 110
Space Back 4 -9 120 110 370 250
Back Back 0 0 110 100 170 60
Back Back 0 0 100 110 160 60
Back Back 0 0 110 120 480 370
Back Capital -2 13 120 120 230 110
Capital RShiftKey -1 -11 120 260 350 230
RShiftKey I 2 3 260 90 160 -100
I Space -3 4 90 122 130 40
Space A 2 3 122 120 152 30
A M -1 -6 120 90 140 20
M Space -1 3 90 120 140 50
Space H 2 -2 120 60 240 120
H O 1 -3 60 90 230 170
O N -2 3 90 82 180 90
N O 2 -3 82 90 202 120
O R 0 5 90 100 100 10
R E 0 1 100 140 140 40
E D -1 0 140 120 160 20
D Space -2 -1 120 100 140 20
Space T 3 -1 100 120 120 20
T O 0 -4 120 80 120 0
O Space -3 5 80 120 140 60
Space B 1 -1 120 80 270 150
B E 2 2 80 130 100 20
E Space -3 -1 130 120 110 -20
Space W 3 2 120 120 100 -20
W I 0 -6 120 100 140 20
I T 0 3 100 100 110 10
T H -1 -1 100 70 120 20
H Space -2 2 70 120 130 60
Space Y 3 -2 120 100 140 20
Y O 0 -3 100 80 80 -20
O U 0 2 80 80 200 120
U Space -3 3 80 100 90 10
Space T 3 -1 100 120 70 -30
T O 0 -4 120 80 120 0
O D -1 6 80 140 120 40
D A 0 2 140 130 120 -20
A Y 1 -5 130 80 120 -10
Y Space -3 2 80 110 90 10
Space A 2 3 110 160 70 -40
A T 1 -4 160 100 120 -40
T Space -3 1 100 130 140 40
Space Y 3 -2 130 120 90 -40
Y O 0 -3 120 100 100 -20
O U 0 2 100 80 190 90
U R 0 3 80 122 70 -10
R Space -3 0 122 110 92 -30
Space F 2 0 110 40 160 50
F O 1 -5 40 50 140 100
O Back 1 -4 50 100 320 270
Back Back 0 0 100 80 140 40
Back C -3 10 80 90 140 60
C O 2 -6 90 80 110 20
O M -2 2 80 80 200 120
M M 0 0 80 90 140 60
M E 2 4 90 100 80 -10
E N -2 -3 100 80 120 20
N C 0 3 80 130 110 30
C E 2 0 130 100 250 120
E M -2 -4 100 90 310 210
M E 2 4 90 100 150 60
E N -2 -3 100 81 140 40
N T 2 1 81 80 122 41
T Space -3 1 80 100 250 170
Space F 2 0 100 120 130 30
F R 1 0 120 130 90 -30
R O 0 -5 130 70 200 70
O M -2 2 70 90 190 120
M Space -1 3 90 110 120 30
Space O 3 -5 110 70 150 40
O N -2 3 70 80 190 120
N E 2 3 80 112 100 20
E Space -3 -1 112 104 98 -14
Space O 3 -5 104 100 124 20
O F -1 5 100 130 80 -20
F Space -2 0 130 120 140 10
Space T 3 -1 120 90 80 -40
T H -1 -1 90 100 90 0
H E 1 3 100 140 110 10
E Space -3 -1 140 150 90 -50
Space F 2 0 150 120 110 -40
F I 1 -4 120 80 100 -20
I N -2 2 80 70 180 100
N E 2 3 70 150 50 -20
E S -1 1 150 160 70 -80
S T 1 -3 160 120 200 40
T Space -3 1 120 132 90 -30
Space U 3 -3 132 80 362 230
U N -2 1 80 80 180 100
N I 2 -2 80 80 180 100
I V -2 4 80 100 100 20
V E 2 1 100 100 230 130
