D9 D7 0 2 109 110 218 109
D7 D5 0 2 110 140 484 374
D5 D8 0 -3 140 94 234 94
D8 Return -2 -4 94 109 733 639
Return Capital 0 12 109 125 27862 27753
Capital I 1 -8 125 172 577 452
I Capital -1 8 172 156 546 374
Capital Space -2 -4 156 94 593 437
Space A 2 3 94 110 374 280
A M -1 -6 110 140 1514 1404
M Space -1 3 140 140 343 203
Space H 2 -2 140 109 1919 1779
H O 1 -3 109 109 390 281
O N -2 3 109 93 343 234
N O 2 -3 93 78 296 203
O R 0 5 78 125 421 343
R E 0 1 125 78 219 94
E D -1 0 78 109 203 125
D Space -2 -1 109 141 483 374
Space T 3 -1 141 125 796 655
T O 0 -4 125 125 312 187
O Space -3 5 125 125 795 670
Space B 1 -1 125 94 624 499
B E 2 2 94 125 203 109
E Space -3 -1 125 141 234 109
Space W 3 2 141 93 843 702
W I 0 -6 93 93 343 250
I T 0 3 93 94 499 406
T H -1 -1 94 109 187 93
H Space -2 2 109 125 624 515
Space Y 3 -2 125 171 874 749
Y O 0 -3 171 94 249 78
O U 0 2 94 94 234 140
U Space -3 3 94 141 234 140
Space T 3 -1 141 109 375 234
T O 0 -4 109 109 187 78
O D -1 6 109 125 390 281
D A 0 2 125 110 218 93
A Y 1 -5 110 125 593 483
Y Space -3 2 125 156 655 530
Space A 2 3 156 125 453 297
A T 1 -4 125 78 359 234
T Space -3 1 78 109 218 140
Space Y 3 -2 109 109 390 281
Y O 0 -3 109 125 390 281
O U 0 2 125 109 265 140
U R 0 3 109 109 312 203
R Space -3 0 109 109 297 188
Space C 1 1 109 94 1029 920
C O 2 -6 94 109 359 265
O M -2 2 109 109 546 437
M M 0 0 109 109 250 141
M E 2 4 109 109 1170 1061
E N -2 -3 109 109 265 156
N C 0 3 109 109 343 234
C E 2 0 109 109 265 156
E M -2 -4 109 109 484 375
M E 2 4 109 109 234 125
E N -2 -3 109 109 265 156
N T 2 1 109 110 218 109
T Space -3 1 110 156 718 608
Space F 2 0 156 125 593 437
F R 1 0 125 125 218 93
R O 0 -5 125 94 312 187
O M -2 2 94 109 375 281
M O 2 -2 109 109 483 374
O Back 1 -4 109 94 1201 1092
Back Space -4 9 94 172 281 187
Space O 3 -5 172 140 640 468
O N -2 3 140 109 359 219
N E 2 3 109 125 280 171
E Space -3 -1 125 141 390 265
Space O 3 -5 141 93 921 780
O F -1 5 93 125 312 219
F Space -2 0 125 156 234 109
Space T 3 -1 156 156 203 47
T H -1 -1 156 125 265 109
H E 1 3 125 110 171 46
E Space -3 -1 110 187 250 140
Space F 2 0 187 156 328 141
F I 1 -4 156 125 187 31
I N -2 2 125 125 686 561
N E 2 3 125 109 375 250
E S -1 1 109 125 218 109
S T 1 -3 125 109 250 125
T Space -3 1 109 125 265 156
Space U 3 -3 125 94 1419 1294
U N -2 1 94 93 578 484
N I 2 -2 93 109 249 156
I V -2 4 109 110 733 624
V E 2 1 110 109 297 187
E R 0 -1 109 94 218 109
R S -1 2 94 109 234 140
S I 1 -6 109 93 328 219
I T 0 3 93 109 468 375
T I 0 -3 109 109 203 94
I E 0 5 109 94 202 93
E S -1 1 94 125 234 140
S Space -2 -2 125 156 328 203
Space I 3 -4 156 124 874 718
I N -2 2 124 109 265 141
N Space -1 2 109 125 218 109
Space T 3 -1 125 125 265 140
T H -1 -1 125 109 203 78
H E 1 3 109 94 203 94
E Space -3 -1 94 140 172 78
Space W 3 2 140 109 234 94
W O 0 -7 109 109 312 203
O R 0 5 109 125 296 187
R L -1 -5 125 109 312 187
L D 0 6 109 125 546 437
D Space -2 -1 125 141 265 140
Space Back 4 -9 141 94 1638 1497
Back OemPeriod -3 4 94 109 609 515
OemPeriod Capital 1 9 109 172 514 405
Capital I 1 -8 172 94 203 31
I Capital -1 8 94 109 156 62
Capital Space -2 -4 109 140 359 250
Space Left 0 -7 140 109 1966 1826
Left Left 0 0 109 94 171 62
Left Space 0 7 94 171 406 312
Space Right 0 -9 171 125 187 16
Right Space 0 9 125 141 421 296
Space N 1 -2 141 109 1857 1716
N E 2 3 109 141 717 608
E V -2 -1 141 140 328 187
V E 2 1 140 109 203 63
E R 0 -1 109 109 218 109
R Space -3 0 109 172 655 546
Space G 2 -1 172 109 1092 920
G R 1 1 109 109 203 94
R A -1 3 109 109 265 156
A D 0 -2 109 140 250 141
D U 1 -4 140 94 577 437
U A -1 6 94 188 296 202
A T 1 -4 188 63 390 202
T E 0 2 63 141 234 171
E D -1 0 141 156 234 93
D Space -2 -1 156 172 406 250
Space F 2 0 172 124 328 156
F R 1 0 124 125 202 78
R O 0 -5 125 109 219 94
O M -2 2 109 109 296 187
M Space -1 3 109 125 281 172
Space C 1 1 125 125 749 624
C O 2 -6 125 93 281 156
O L -1 0 93 94 218 125
L L 0 0 94 109 172 78
L E 1 6 109 109 187 78
E G -1 -2 109 109 686 577
G E 1 2 109 94 265 156
E OemPeriod -2 -6 94 94 827 733
OemPeriod Space -1 5 94 140 3479 3385
Space Capital 2 4 140 156 265 125
Capital T 1 -5 156 94 281 125
T Capital -1 5 94 125 140 46
Capital R 1 -4 125 125 390 265
R U 0 -3 125 125 359 234
U T 0 2 125 109 406 281
T H -1 -1 109 124 203 94
H Space -2 2 124 125 327 203
Space T 3 -1 125 93 2169 2044
T O 0 -4 93 109 249 156
O Space -3 5 109 93 297 188
Space B 1 -1 93 109 421 328
B E 2 2 109 94 218 109
E Space -3 -1 94 94 234 140
Space T 3 -1 94 124 141 47
T O 0 -4 124 93 234 110
O L -1 0 93 109 218 125
L D 0 6 109 203 374 265
D Oemcomma -1 -5 203 109 1280 1077
Oemcomma Space -1 4 109 187 499 390
Space T 3 -1 187 125 218 31
T H -1 -1 125 93 172 47
H I 1 -2 93 109 296 203
I S -1 6 109 109 203 94
S Space -2 -2 109 156 296 187
Space I 3 -4 156 125 1217 1061
I S -1 6 125 125 172 47
S Space -2 -2 125 140 234 109
Space T 3 -1 140 124 203 63
T H -1 -1 124 93 187 63
H E 1 3 93 93 156 63
E Space -3 -1 93 125 218 125
Space C 1 1 125 110 187 62
C L 1 -6 110 109 765 655
L O 1 0 109 93 234 125
O S -1 7 93 125 218 125
S E 1 -1 125 125 234 109
E S -1 1 125 109 234 109
S T 1 -3 109 78 297 188
T Space -3 1 78 140 608 530
Space I 3 -4 140 93 749 609
I Back 1 -5 93 109 1794 1701
Back Capital -2 13 109 156 234 125
Capital Oemcomma -1 -8 156 109 702 546
Oemcomma Back 3 -5 109 94 1232 1123
Back I -1 5 94 203 952 858
I Oem7 -1 -3 203 109 1045 842
Oem7 Capital 0 11 109 140 2278 2169
Capital V -1 -4 140 124 1326 1186
V E 2 1 124 125 436 312
E Space -3 -1 125 187 188 63
Space E 3 1 187 125 249 62
E V -2 -1 125 140 203 78
V E 2 1 140 93 172 32
E R 0 -1 93 125 218 125
R Space -3 0 125 140 437 312
Space G 2 -1 140 109 811 671
G O 1 -4 109 93 328 219
O T 0 4 93 94 280 187
T T 0 0 94 94 156 62
T W 0 3 94 62 250 156
W E 0 -1 62 94 0 -62
E Back 1 -10 94 78 1248 1154
Back Back 0 0 78 94 156 78
Back E -1 10 94 109 780 686
E N -2 -3 109 172 343 234
N Space -1 2 172 171 297 125
Space T 3 -1 171 109 655 484
T O 0 -4 109 94 218 109
O Space -3 5 94 125 281 187
Space A 2 3 125 109 172 47
A Space -2 -3 109 125 218 109
Space C 1 1 125 125 156 31
C O 2 -6 125 109 234 109
O L -1 0 109 93 250 141
L L 0 0 93 94 218 125
L E 1 6 94 125 655 561
E G -1 -2 125 93 484 359
G E 1 2 93 109 218 125
E Space -3 -1 109 156 999 890
Space G 2 -1 156 94 327 171
G R 1 1 94 125 156 62
R A -1 3 125 125 234 109
A D 0 -2 125 124 219 94
D U 1 -4 124 93 421 297
U A -1 6 93 140 437 344
A T 1 -4 140 109 639 499
T I 0 -3 109 94 343 234
I O 0 -1 94 94 234 140
O N -2 3 94 109 453 359
N OemPeriod 0 -3 109 110 795 686
OemPeriod Space -1 5 110 125 702 592
Space Capital 2 4 125 141 203 78
Capital T 1 -5 141 78 281 140
T Capital -1 5 78 110 218 140
Capital O 1 -9 110 125 281 171
O D -1 6 125 109 203 78
D A 0 2 109 109 187 78
A Y 1 -5 109 156 453 344
Y Space -3 2 156 172 296 140
Space I 3 -4 172 109 905 733
I Space -3 4 109 78 281 172
Space W 3 2 78 109 593 515
W A -1 1 109 109 218 109
A N -1 -5 109 93 718 609
N T 2 1 93 125 483 390
T Space -3 1 125 140 203 78
Space T 3 -1 140 109 187 47
T O 0 -4 109 78 203 94
O Space -3 5 78 109 234 156
Space T 3 -1 109 109 187 78
T E 0 2 109 94 203 94
E L -1 -6 94 78 234 140
L L 0 0 78 94 187 109
L Space -2 5 94 140 765 671
Space Y 3 -2 140 110 1216 1076
Y O 0 -3 110 110 312 202
O U 0 2 110 125 281 171
U Space -3 3 125 125 250 125
Space T 3 -1 125 125 1029 904
T H -1 -1 125 94 281 156
H R 1 2 94 109 250 156
R E 0 1 109 94 218 109
E E 0 0 94 94 187 93
E Space -3 -1 94 141 359 265
Space S 2 2 141 125 1123 982
S T 1 -3 125 94 312 187
T O 0 -4 94 109 328 234
O R 0 5 109 125 265 156
R I 0 -4 125 110 265 140
I E 0 5 110 94 281 171
E S -1 1 94 124 219 125
S Space -2 -2 124 125 249 125
Space F 2 0 125 110 187 62
F R 1 0 110 94 234 124
R O 0 -5 94 125 141 47
O M -2 2 125 124 515 390
M Space -1 3 124 109 265 141
Space M 1 -3 109 140 281 172
M Y 2 1 140 109 312 172
Y Space -3 2 109 141 280 171
Space L 2 -5 141 109 578 437
L I 1 1 109 109 249 140
I F -1 4 109 125 655 546
F E 1 1 125 109 266 141
E OemPeriod -2 -6 109 125 2511 2402
OemPeriod Space -1 5 125 172 546 421
Space Capital 2 4 172 141 265 93
Capital T 1 -5 141 94 250 109
T Capital -1 5 94 125 156 62
Capital H 0 -6 125 109 421 296
H A 0 5 109 93 297 188
A T 1 -4 93 78 405 312
T Oem7 -1 -6 78 109 546 468
Oem7 S 0 9 109 125 250 141
S Space -2 -2 125 156 218 93
Space I 3 -4 156 109 250 94
I T 0 3 109 109 234 125
T OemPeriod -2 -4 109 140 1139 1030
OemPeriod Space -1 5 140 140 452 312
Space Capital 2 4 140 172 234 94
Capital N -1 -6 172 109 234 62
N Capital 1 6 109 109 156 47
Capital O 1 -9 109 110 296 187
O Space -3 5 110 125 281 171
Space B 1 -1 125 140 874 749
B I 2 -3 140 94 249 109
I G -1 3 94 125 515 421
G Space -2 1 125 141 234 109
Space D 2 1 141 109 297 156
D E 1 0 109 141 249 140
E A -1 2 141 109 250 109
A L 0 -8 109 94 187 78
L OemPeriod -1 0 94 140 484 390
OemPeriod Space -1 5 140 171 546 406
Space Capital 2 4 171 156 390 219
Capital J 0 -7 156 109 374 218
J Capital 0 7 109 156 109 0
Capital U 1 -7 156 109 234 78
U S -1 5 109 125 234 125
S T 1 -3 125 94 203 78
T Space -3 1 94 125 312 218
Space T 3 -1 125 109 1248 1123
T H -1 -1 109 94 265 156
H R 1 2 94 109 234 140
R E 0 1 109 109 219 110
E E 0 0 109 94 171 62
E Space -3 -1 94 172 234 140
Space S 2 2 172 94 390 218
S T 1 -3 94 94 265 171
T O 0 -4 94 109 266 172
O R 0 5 109 110 280 171
R I 0 -4 110 124 266 156
I E 0 5 124 94 218 94
E S -1 1 94 125 218 124
S OemPeriod -1 -7 125 171 765 640
OemPeriod Return 1 -3 171 125 795 624
Return Capital 0 12 125 187 1046 921
Capital T 1 -5 187 125 826 639
T Capital -1 5 125 140 406 281
Capital H 0 -6 140 109 967 827
H E 1 3 109 109 234 125
E Space -3 -1 109 140 203 94
Space F 2 0 140 140 172 32
F I 1 -4 140 94 202 62
I R 0 4 94 93 141 47
R S -1 2 93 124 281 188
S T 1 -3 124 109 265 141
T Space -3 1 109 141 296 187
Space S 2 2 141 109 609 468
S T 1 -3 109 109 842 733
T O 0 -4 109 125 281 172
O R 0 5 125 109 374 249
R Y 0 -2 109 125 265 156
Y Space -3 2 125 124 266 141
Space I 3 -4 124 124 234 110
I S -1 6 124 109 249 125
S Space -2 -2 109 140 375 266
Space A 2 3 140 156 452 312
A B -1 -4 156 109 593 437
B O 2 -4 109 109 421 312
O U 0 2 109 94 265 156
U T 0 2 94 125 281 187
T Space -3 1 125 141 218 93
Space C 1 1 141 109 203 62
C O 2 -6 109 109 203 94
O N -2 3 109 94 296 187
N N 0 0 94 110 156 62
N E 2 3 110 94 203 93
E C -2 0 94 141 234 140
C T 2 -2 141 109 281 140
T I 0 -3 109 94 265 156
I N -2 2 94 124 297 203
N G 1 1 124 94 374 250
G Space -2 1 94 156 250 156
Space T 3 -1 156 125 187 31
T H -1 -1 125 94 187 62
H E 1 3 94 94 187 93
E Space -3 -1 94 125 187 93
Space D 2 1 125 125 172 47
D O 1 -6 125 78 187 62
O T 0 4 78 93 406 328
T S -1 3 93 110 249 156
S OemPeriod -1 -7 110 94 437 327
OemPeriod Return 1 -3 94 125 1498 1404
Return Capital 0 12 125 156 842 717
Capital I 1 -8 156 125 234 78
I Capital -1 8 125 110 187 62
Capital Space -2 -4 110 156 375 265
Space D 2 1 156 125 171 15
D R 1 -1 125 125 234 109
R O 0 -5 125 94 203 78
O P 0 -1 94 78 234 140
P P 0 0 78 109 156 78
P E 0 7 109 93 172 63
E D -1 0 93 124 203 110
D Space -2 -1 124 171 265 141
Space O 3 -5 171 125 327 156
O U 0 2 125 109 297 172
U T 0 2 109 125 686 577
T Space -3 1 125 187 515 390
Space O 3 -5 187 125 1388 1201
O F -1 5 125 141 203 78
F Space -2 0 141 141 234 93
Space Capital 2 4 141 125 265 124
Capital R 1 -4 125 93 266 141
R Capital -1 4 93 109 156 63
Capital E 1 -3 109 140 312 203
E A -1 2 140 109 249 109
A D 0 -2 109 172 312 203
D Space -2 -1 172 141 312 140
Space Capital 2 4 141 171 687 546
Capital C -1 -3 171 109 249 78
C Capital 1 3 109 125 156 47
Capital O 1 -9 125 78 437 312
O L -1 0 78 93 250 172
L L 0 0 93 109 171 78
L E 1 6 109 109 172 63
E G -1 -2 109 141 483 374
G E 1 2 141 109 172 31
E Space -3 -1 109 156 250 141
Space A 2 3 156 109 624 468
A F 0 -3 109 94 483 374
F T 1 -1 94 94 265 171
T E 0 2 94 109 172 78
E R 0 -1 109 140 234 125
R Space -3 0 140 172 296 156
Space T 3 -1 172 125 437 265
T H -1 -1 125 94 343 218
H E 1 3 94 109 203 109
E Space -3 -1 109 171 219 110
Space F 2 0 171 156 967 796
F I 1 -4 156 109 452 296
I R 0 4 109 124 297 188
R S -1 2 124 109 249 125
S T 1 -3 109 140 203 94
T Space -3 1 140 172 312 172
Space D6 4 -2 172 93 1061 889
D6 Space -4 2 93 156 234 141
Space M 1 -3 156 109 374 218
M O 2 -2 109 109 250 141
O N -2 3 109 109 343 234
N Y 2 0 109 93 328 219
Y Back 1 -7 93 94 670 577
Back T -1 8 94 171 375 281
T H -1 -1 171 110 249 78
H S 0 4 110 172 281 171
S Oemcomma -1 -6 172 109 1966 1794
Oemcomma Space -1 4 109 218 780 671
Space B 1 -1 218 156 608 390
B U 2 -2 156 94 234 78
U T 0 2 94 110 421 327
T Space -3 1 110 171 219 109
Space T 3 -1 171 124 281 110
T H -1 -1 124 109 795 671
H E 1 3 109 124 219 110
E N -2 -3 124 140 608 484
N Space -1 2 140 109 250 110
Space S 2 2 109 156 249 140
S T 1 -3 156 94 187 31
T A -1 4 94 171 219 125
A Y 1 -5 171 109 296 125
Y E 0 3 109 125 187 78
E D -1 0 125 172 281 156
D Space -2 -1 172 124 375 203
Space A 2 3 124 140 421 297
A R 1 -3 140 124 281 141
R O 0 -5 124 125 249 125
O U 0 2 125 93 297 172
U N -2 1 93 109 561 468
N D 1 3 109 140 203 94
D Space -2 -1 140 187 343 203
Space A 2 3 187 140 1264 1077
A S 0 -1 140 156 249 109
S Space -2 -2 156 203 312 156
Space A 2 3 203 140 250 47
A Space -2 -3 140 171 250 110
Space D 2 1 171 156 421 250
D R 1 -1 156 141 296 140
R O 0 -5 141 109 250 109
O P 0 -1 109 78 249 140
P OemMinus 1 -1 78 93 422 344
OemMinus I -1 3 93 125 280 187
I N -2 2 125 124 344 219
N Space -1 2 124 140 296 172
Space F 2 0 140 140 780 640
F O 1 -5 140 109 390 250
O R 0 5 109 125 187 78
R Space -3 0 125 109 219 94
Space A 2 3 109 140 156 47
A N -1 -5 140 109 249 109
N O 2 -3 109 125 265 156
O T 0 4 125 156 640 515
T H -1 -1 156 94 218 62
H E 1 3 94 94 172 78
E R 0 -1 94 110 218 124
R Space -3 0 110 156 531 421
