D9 D1 0 8 156 140 421 265
D1 D0 0 -9 140 124 281 141
D0 D4 0 6 124 109 530 406
D4 Return -2 -8 109 78 998 889
Return LShiftKey -1 12 78 484 35646 35568
LShiftKey I 2 -8 484 125 297 -187
I A -1 7 125 47 468 343
A Space -2 -3 47 93 125 78
Space Back 4 -9 93 141 436 343
Back Back 0 0 141 94 203 62
Back Space -4 9 94 93 765 671
Space A 2 3 93 110 280 187
A M -1 -6 110 94 234 124
M Space -1 3 94 78 188 94
Space H 2 -2 78 94 374 296
H O 1 -3 94 109 234 140
O N -2 3 109 110 218 109
N O 2 -3 110 93 188 78
O R 0 5 93 94 124 31
R E 0 1 94 94 156 62
E D -1 0 94 109 141 47
D Space -2 -1 109 124 515 406
Space T 3 -1 124 93 546 422
T O 0 -4 93 94 93 0
O Space -3 5 94 109 203 109
Space B 1 -1 109 78 234 125
B E 2 2 78 93 125 47
E Space -3 -1 93 109 187 94
Space W 3 2 109 109 2418 2309
W I 0 -6 109 78 172 63
I T 0 3 78 94 202 124
T H -1 -1 94 78 125 31
H Space -2 2 78 93 172 94
Space Y 3 -2 93 93 156 63
Y O 0 -3 93 93 125 32
O U 0 2 93 109 171 78
U Space -3 3 109 93 250 141
Space T 3 -1 93 94 1107 1014
T O 0 -4 94 78 141 47
O D -1 6 78 109 281 203
D A 0 2 109 125 140 31
A Y 1 -5 125 78 125 0
Y Space -3 2 78 94 218 140
Space A 2 3 94 125 1404 1310
A T 1 -4 125 109 281 156
T Space -3 1 109 93 125 16
Space Y 3 -2 93 109 156 63
Y O 0 -3 109 78 171 62
O U 0 2 78 93 219 141
U R 0 3 93 94 187 94
R Space -3 0 94 94 140 46
Space C 1 1 94 109 172 78
C O 2 -6 109 78 140 31
O M -2 2 78 94 172 94
M M 0 0 94 94 140 46
M E 2 4 94 109 94 0
E N -2 -3 109 78 499 390
N C 0 3 78 124 141 63
C E 2 0 124 94 202 78
E M -2 -4 94 78 156 62
M E 2 4 78 125 94 16
E N -2 -3 125 94 187 62
N T 2 1 94 110 109 15
T Space -3 1 110 78 1701 1591
Space F 2 0 78 110 561 483
F R 1 0 110 109 141 31
R O 0 -5 109 93 125 16
O M -2 2 93 109 171 78
M Space -1 3 109 156 250 141
Space O 3 -5 156 93 1014 858
O N -2 3 93 78 187 94
N E 2 3 78 93 172 94
E Space -3 -1 93 78 140 47
Space O 3 -5 78 78 203 125
O F -1 5 78 94 93 15
F Space -2 0 94 94 156 62
Space T 3 -1 94 94 125 31
T H -1 -1 94 78 141 47
H E 1 3 78 94 124 46
E Space -3 -1 94 78 156 62
Space F 2 0 78 110 780 702
F I 1 -4 110 63 125 15
I N -2 2 63 109 125 62
N E 2 3 109 94 109 0
E S -1 1 94 125 156 62
S T 1 -3 125 78 172 47
T Space -3 1 78 109 156 78
Space U 3 -3 109 78 234 125
U N -2 1 78 78 140 62
N I 2 -2 78 78 172 94
I V -2 4 78 47 109 31
V C 0 1 47 31 31 -16
C Back 3 -10 31 78 1139 1108
Back E -1 10 78 109 780 702
E R 0 -1 109 109 172 63
R S -1 2 109 140 156 47
S I 1 -6 140 63 124 -16
I T 0 3 63 109 203 140
T I 0 -3 109 78 141 32
I E 0 5 78 110 124 46
E S -1 1 110 124 188 78
S Space -2 -2 124 94 1216 1092
Space I 3 -4 94 78 234 140
I N -2 2 78 94 156 78
N Space -1 2 94 94 172 78
Space T 3 -1 94 125 187 93
T H -1 -1 125 78 141 16
H E 1 3 78 109 156 78
E Space -3 -1 109 125 265 156
Space W 3 2 125 109 515 390
W O 0 -7 109 109 140 31
O R 0 5 109 78 250 141
R L -1 -5 78 109 125 47
L D 0 6 109 78 171 62
D OemPeriod -1 -6 78 78 952 874
OemPeriod Space -1 5 78 93 203 125
Space LShiftKey 1 4 93 250 140 47
LShiftKey I 2 -8 250 78 156 -94
I Space -3 4 78 124 172 94
Space N 1 -2 124 63 202 78
N E 2 3 63 125 203 140
E V -2 -1 125 93 219 94
V E 2 1 93 110 124 31
E R 0 -1 110 94 172 62
R Space -3 0 94 93 125 31
Space G 2 -1 93 94 218 125
G R 1 1 94 94 125 31
