D9 D0 0 -1 93 125 156 63
D0 D5 0 5 125 125 452 327
D5 D1 0 4 125 94 359 234
D1 Return -2 -11 94 63 998 904
Return LShiftKey -1 12 63 483 29391 29328
LShiftKey I 2 -8 483 141 140 -343
I Back 1 -5 141 110 1513 1372
Back LShiftKey -3 13 110 421 3729 3619
LShiftKey S 1 -2 421 110 327 -94
S T 1 -3 110 140 110 0
T E 0 2 140 109 265 125
E V -2 -1 109 109 187 78
V E 2 1 109 110 218 109
E Space -3 -1 110 125 1857 1747
Space LShiftKey 1 4 125 406 140 15
LShiftKey J 1 -7 406 78 281 -125
J O 1 -2 78 110 218 140
O B -2 4 110 94 234 124
B Oem7 1 -6 94 94 328 234
Oem7 S 0 9 94 109 187 93
S Space -2 -2 109 156 811 702
Space C 1 1 156 110 312 156
C O 2 -6 110 78 188 78
O M -2 2 78 78 218 140
M M 0 0 78 109 125 47
M E 2 4 109 46 125 16
E N -2 -3 46 93 78 32
N C 0 3 93 109 296 203
C E 2 0 109 78 187 78
E M -2 -4 78 94 125 47
M E 2 4 94 78 125 31
E N -2 -3 78 94 93 15
N T 2 1 94 140 219 125
T Space -3 1 140 171 359 219
Space S 2 2 171 93 468 297
S P 1 -8 93 94 140 47
P E 0 7 94 78 172 78
E E 0 0 78 62 140 62
E C -2 0 62 78 218 156
C H 1 -3 78 62 266 188
H Space -2 2 62 156 468 406
Space A 2 3 156 109 218 62
A T 1 -4 109 110 218 109
T Space -3 1 110 125 125 15
Space LShiftKey 1 4 125 265 63 -62
LShiftKey S 1 -2 265 125 171 -94
S T 1 -3 125 109 172 47
T A -1 4 109 93 156 47
A N -1 -5 93 110 171 78
N F 1 2 110 125 281 171
F O 1 -5 125 78 188 63
O R 0 5 78 124 156 78
R D -1 1 124 94 218 94
D Space -2 -1 94 78 156 62
Space LShiftKey 1 4 78 156 156 78
LShiftKey U 2 -7 156 93 47 -109
U N -2 1 93 94 171 78
N I 2 -2 94 109 172 78
I V -2 4 109 78 218 109
V E 2 1 78 109 94 16
E R 0 -1 109 62 172 63
R S -1 2 62 124 234 172
S I 1 -6 124 109 140 16
I T 0 3 109 78 250 141
T Y 0 -1 78 93 156 78
Y Return -1 -6 93 94 1216 1123
Return LShiftKey -1 12 94 62 1108 1014
LShiftKey LShiftKey 0 0 62 5491 203 141
LShiftKey OemMinus 3 -11 5491 203 249 -5242
OemMinus OemMinus 0 0 203 5008 234 31
OemMinus Return -2 -1 5008 141 5117 109
Return LShiftKey -1 12 141 250 2340 2199
LShiftKey I 2 -8 250 94 125 -125
I Space -3 4 94 156 203 109
Space A 2 3 156 109 203 47
A M -1 -6 109 140 156 47
M Space -1 3 140 109 187 47
Space H 2 -2 109 94 1045 936
H O 1 -3 94 94 140 46
O N -2 3 94 93 188 94
N O 2 -3 93 94 202 109
O R 0 5 94 110 3198 3104
R E 0 1 110 94 172 62
E D -1 0 94 141 140 46
D Space -2 -1 141 141 624 483
Space T 3 -1 141 109 297 156
T O 0 -4 109 94 140 31
O Space -3 5 94 125 125 31
Space B 1 -1 125 125 234 109
B E 2 2 125 109 172 47
E Space -3 -1 109 140 156 47
Space W 3 2 140 141 1060 920
W I 0 -6 141 109 188 47
I T 0 3 109 125 140 31
T H -1 -1 125 109 109 -16
H Space -2 2 109 124 141 32
