D9 D2 0 7 109 125 296 187
D2 D4 0 -2 125 125 484 359
D4 D8 0 -4 125 78 109 -16
D8 Return -2 -4 78 78 2231 2153
Return LShiftKey -1 12 78 141 62197 62119
LShiftKey I 2 -8 141 94 31 -110
I Space -3 4 94 125 250 156
Space A 2 3 125 110 140 15
A M -1 -6 110 187 125 15
M Space -1 3 187 124 219 32
Space H 2 -2 124 156 1138 1014
H O 1 -3 156 140 110 -46
O N -2 3 140 140 156 16
N O 2 -3 140 188 124 -16
O U 0 2 188 109 203 15
U Back 1 -6 109 125 390 281
Back R -1 9 125 156 141 16
R E 0 1 156 265 93 -63
E D -1 0 265 140 203 -62
D Space -2 -1 140 125 1435 1295
Space T 3 -1 125 156 437 312
T O 0 -4 156 110 140 -16
O Space -3 5 110 94 125 15
Space B 1 -1 94 93 94 0
B E 2 2 93 110 171 78
E Space -3 -1 110 78 63 -47
Space W 3 2 78 93 203 125
W I 0 -6 93 125 109 16
I T 0 3 125 78 140 15
T H -1 -1 78 110 109 31
H Space -2 2 110 93 141 31
Space Y 3 -2 93 140 187 94
Y O 0 -3 140 172 109 -31
O U 0 2 172 125 125 -47
U Space -3 3 125 78 796 671
Space T 3 -1 78 125 405 327
T P 0 -5 125 124 141 16
P D -1 7 124 156 390 266
D A 0 2 156 140 109 -47
A T 1 -4 140 62 125 -15
T Back 1 -8 62 78 592 530
Back Y -1 7 78 94 94 16
Y Space -3 2 94 140 156 62
Space A 2 3 140 93 172 32
A T 1 -4 93 94 202 109
T Space -3 1 94 109 562 468
Space Back 4 -9 109 63 6068 5959
Back O -1 4 63 78 593 530
O Y 0 3 78 125 7457 7379
Y O 0 -3 125 188 62 -63
O U 0 2 188 140 110 -78
U R 0 3 140 78 124 -16
R Space -3 0 78 110 156 78
Space C 1 1 110 141 156 46
C P 2 -7 141 94 172 31
P Back 1 -3 94 109 359 265
Back O -1 4 109 93 234 125
O M -2 2 93 78 312 219
M M 0 0 78 94 109 31
M E 2 4 94 63 109 15
E N -2 -3 63 94 109 46
N C 0 3 94 140 141 47
C E 2 0 140 109 156 16
E M -2 -4 109 32 171 62
M E 2 4 32 78 47 15
E N -2 -3 78 109 141 63
N T 2 1 109 94 124 15
T Space -3 1 94 94 156 62
Space F 2 0 94 141 1061 967
F R 1 0 141 109 63 -78
R O 0 -5 109 219 93 -16
O M -2 2 219 203 125 -94
M Space -1 3 203 93 125 -78
Space O 3 -5 93 187 156 63
O N -2 3 187 140 109 -78
N E 2 3 140 125 62 -78
E Space -3 -1 125 93 141 16
Space O 3 -5 93 125 156 63
O F -1 5 125 93 312 187
F Space -2 0 93 93 125 32
Space T 3 -1 93 78 140 47
T H -1 -1 78 109 94 16
H E 1 3 109 109 156 47
E Space -3 -1 109 109 93 -16
Space F 2 0 109 78 234 125
F I 1 -4 78 202 141 63
I N -2 2 202 141 124 -78
N E 2 3 141 78 125 -16
E S -1 1 78 110 187 109
S T 1 -3 110 125 125 15
T Space -3 1 125 109 156 31
Space I 3 -4 109 187 749 640
I N -2 2 187 78 125 -62
N Back 3 -7 78 94 967 889
Back Back 0 0 94 78 140 46
Back U -1 6 78 156 312 234
U N -2 1 156 203 78 -78
