D4 D6 0 -2 141 93 375 234
D6 D9 0 -3 93 93 437 344
D9 D1 0 8 93 109 249 156
D1 Return -2 -11 109 156 1404 1295
Return LShiftKey -1 12 156 234 48859 48703
LShiftKey M 0 -7 234 78 141 -93
M Y 2 1 78 93 203 125
Y Space -3 2 93 46 156 63
Space T 3 -1 46 93 187 141
T H -1 -1 93 78 93 0
H I 1 -2 78 78 156 78
I R 0 4 78 78 125 47
R D -1 1 78 78 219 141
D Space -2 -1 78 109 62 -16
Space Back 4 -9 109 63 374 265
Back Space -4 9 63 125 484 421
Space S 2 2 125 78 281 156
S T 1 -3 78 109 31 -47
T R 0 1 109 78 234 125
R O 0 -5 78 78 62 -16
O Y 0 3 78 94 250 172
Y Space -3 2 94 93 172 78
Space I 3 -4 93 78 530 437
I Back 1 -5 78 78 484 406
Back Back 0 0 78 63 171 93
Back Back 0 0 63 78 125 62
Back Back 0 0 78 78 156 78
Back Back 0 0 78 62 172 94
Back Back 0 0 62 15 156 94
Back R -1 9 15 47 358 343
R Back 1 -9 47 93 453 406
Back T -1 8 93 109 218 125
T O 0 -4 109 78 125 16
O R 0 5 78 78 140 62
R Y 0 -2 78 63 125 47
Y Space -3 2 63 62 141 78
Space I 3 -4 62 78 156 94
I S -1 6 78 63 171 93
S Space -2 -2 63 78 78 15
Space A 2 3 78 78 749 671
A B -1 -4 78 78 62 -16
B O 2 -4 78 94 203 125
O U 0 2 94 78 78 -16
U T 0 2 78 78 203 125
T Space -3 1 78 94 140 62
Space D 2 1 94 94 406 312
D E 1 0 94 109 156 62
E A -1 2 109 141 140 31
A T 1 -4 141 109 94 -47
T H -1 -1 109 62 125 16
H OemPeriod -1 -3 62 93 203 141
OemPeriod Return 1 -3 93 78 296 203
Return RShiftKey -1 1 78 499 905 827
RShiftKey W 2 9 499 125 405 -94
W H -1 -4 125 78 234 109
H E 1 3 78 62 110 32
E N -2 -3 62 78 109 47
N Space -1 2 78 93 78 0
Space LShiftKey 1 4 93 187 109 16
LShiftKey I 2 -8 187 94 109 -78
I Space -3 4 94 94 78 -16
Space W 3 2 94 78 172 78
W A -1 1 78 172 140 62
A S 0 -1 172 156 94 -78
S Space -2 -2 156 110 93 -63
Space D1 4 3 110 109 297 187
D1 D7 0 -6 109 78 530 421
D7 M -3 0 78 78 265 187
M Oemcomma 0 -1 78 78 0 -78
Oemcomma Space -1 4 78 78 141 63
Space Back 4 -9 78 94 3666 3588
Back Back 0 0 94 63 218 124
Back Back 0 0 63 78 624 561
Back Oemcomma -3 5 78 62 562 484
Oemcomma Space -1 4 62 109 14305 14243
Space LShiftKey 1 4 109 218 172 63
LShiftKey I 2 -8 218 78 93 -125
I Space -3 4 78 78 125 47
Space R 3 0 78 62 172 94
R E 0 1 62 125 0 -62
E A -1 2 125 156 187 62
A D 0 -2 156 94 156 0
D Back 2 -10 94 78 203 109
Back Back 0 0 78 62 156 78
Back Back 0 0 62 47 156 94
Back E -1 10 47 110 561 514
E A -1 2 110 124 188 78
A D 0 -2 124 156 62 -62
D Space -2 -1 156 78 94 -62
Space A 2 3 78 93 577 499
A Space -2 -3 93 94 62 -31
Space Q 3 3 94 125 203 109
Q U 0 -6 125 94 187 62
U O 0 -2 94 94 156 62
O T 0 4 94 93 219 125
T E 0 2 93 94 171 78
E Space -3 -1 94 63 109 15
Space T 3 -1 63 93 141 78
T H -1 -1 93 62 78 -15
H A 0 5 62 109 109 47
A T 1 -4 109 110 62 -47
T Space -3 1 110 78 63 -47
Space E 3 1 78 94 171 93
E Back 1 -10 94 141 437 343
Back W -1 11 141 110 343 202
W E 0 -1 110 94 203 93
E N -2 -3 94 93 250 156
N T 2 1 93 109 374 281
T Space -3 1 109 94 125 16
Space S 2 2 94 109 359 265
S O 1 -7 109 78 93 -16
O M -2 2 78 78 172 94
M E 2 4 78 78 62 -16
E T 0 -2 78 109 172 94
T H -1 -1 109 63 62 -47
H N -1 0 63 109 219 156
N G 1 1 109 110 93 -16
G Space -2 1 110 78 141 31
Space L 2 -5 78 109 156 78
L I 1 1 109 93 78 -31
I E 0 5 93 78 187 94
E K -1 -5 78 62 94 16
K Back 2 -5 62 78 748 686
Back Back 0 0 78 78 141 63
Back Back 0 0 78 93 156 78
Back Back 0 0 93 78 156 63
Back Back 0 0 78 93 156 78
Back Back 0 0 93 62 187 94
Back Back 0 0 62 109 172 110
Back I -1 5 109 78 608 499
I N -2 2 78 78 156 78
N G 1 1 78 93 94 16
G Space -2 1 93 109 577 484
Space L 2 -5 109 93 203 94
L I 1 1 93 110 46 -47
I K -1 0 110 78 219 109
K E 1 5 78 94 109 31
E LShiftKey -2 3 94 203 265 171
LShiftKey Oem1 1 -10 203 78 63 -140
Oem1 Space -2 6 78 93 156 78
Space LShiftKey 1 4 93 249 156 63
LShiftKey Oem7 1 -11 249 94 62 -187
Oem7 LShiftKey -1 11 94 327 328 234
LShiftKey I 2 -8 327 109 156 -171
I F -1 4 109 93 343 234
F Space -2 0 93 94 109 16
Space Y 3 -2 94 62 406 312
Y O 0 -3 62 63 171 109
O U 0 2 63 93 63 0
