D4 D8 0 -4 78 63 265 187
D8 D2 0 6 63 94 390 327
D2 D5 0 -3 94 109 359 265
D5 M -3 -2 109 93 31887 31778
M Back 3 -6 93 141 1653 1560
Back LShiftKey -3 13 141 203 1123 982
LShiftKey M 0 -7 203 109 110 -93
M Y 2 1 109 78 280 171
Y Space -3 2 78 94 203 125
Space T 3 -1 94 62 281 187
T H -1 -1 62 63 187 125
H I 1 -2 63 78 234 171
I R 0 4 78 62 141 63
R D -1 1 62 62 218 156
D Space -2 -1 62 78 140 78
Space S 2 2 78 94 125 47
S T 1 -3 94 62 172 78
T O 0 -4 62 78 327 265
O R 0 5 78 78 156 78
R Y 0 -2 78 78 141 63
Y Space -3 2 78 63 218 140
Space I 3 -4 63 94 156 93
I S -1 6 94 62 172 78
S Space -2 -2 62 78 93 31
Space A 2 3 78 93 141 63
A B -1 -4 93 78 140 47
B O 2 -4 78 141 234 156
O U 0 2 141 94 78 -63
U T 0 2 94 63 187 93
T Space -3 1 63 94 125 62
Space D 2 1 94 78 328 234
D E 1 0 78 62 203 125
E A -1 2 62 63 124 62
A T 1 -4 63 94 125 62
T H -1 -1 94 63 234 140
H OemPeriod -1 -3 63 78 2652 2589
OemPeriod Return 1 -3 78 62 250 172
Return LShiftKey -1 12 62 280 1997 1935
LShiftKey W 2 -2 280 125 249 -31
W H -1 -4 125 78 156 31
H E 1 3 78 78 187 109
E N -2 -3 78 62 110 32
N Space -1 2 62 63 171 109
Space I 3 -4 63 78 172 109
I Space -3 4 78 94 187 109
Space W 3 2 94 78 234 140
W A -1 1 78 78 187 109
A S 0 -1 78 78 172 94
S Space -2 -2 78 62 125 47
Space D1 4 3 62 94 140 78
D1 D7 0 -6 94 94 109 15
D7 Space -4 3 94 63 265 171
Space Back 4 -9 63 78 843 780
Back Oemcomma -3 5 78 109 671 593
Oemcomma Space -1 4 109 94 93 -16
Space LShiftKey 1 4 94 156 219 125
LShiftKey I 2 -8 156 94 62 -94
I Space -3 4 94 109 203 109
Space R 3 0 109 94 265 156
R E 0 1 94 78 172 78
E A -1 2 78 63 124 46
A D 0 -2 63 62 94 31
D Space -2 -1 62 93 203 141
Space A 2 3 93 78 140 47
A Space -2 -3 78 78 156 78
Space Q 3 3 78 94 905 827
Q U 0 -6 94 78 156 62
U O 0 -2 78 78 265 187
O T 0 4 78 63 265 187
T E 0 2 63 62 141 78
E Space -3 -1 62 94 93 31
Space T 3 -1 94 78 188 94
T H -1 -1 78 63 202 124
H A 0 5 63 109 110 47
A T 1 -4 109 78 78 -31
T Space -3 1 78 78 202 124
Space W 3 2 78 78 110 32
W E 0 -1 78 78 187 109
E N -2 -3 78 62 109 31
N T 2 1 62 93 172 110
T Space -3 1 93 78 109 16
Space O 3 -5 78 124 328 250
O S -1 7 124 93 655 531
S O 1 -7 93 109 125 32
O M -2 2 109 94 62 -47
M E 2 4 94 78 62 -32
E T 0 -2 78 78 234 156
T H -1 -1 78 78 125 47
H I 1 -2 78 156 187 109
I N -2 2 156 124 110 -46
N G 1 1 124 62 78 -46
G Space -2 1 62 78 156 94
Space L 2 -5 78 109 156 78
L I 1 1 109 78 187 78
I K -1 0 78 78 156 78
K E 1 5 78 63 93 15
E Space -3 -1 63 93 110 47
Space Back 4 -9 93 94 2636 2543
Back Back 0 0 94 94 3182 3088
Back RShiftKey -3 2 94 172 312 218
RShiftKey Oem1 1 1 172 78 125 -47
Oem1 Space -2 6 78 62 406 328
Space RShiftKey 1 -7 62 172 1154 1092
RShiftKey Oem7 1 0 172 94 78 -94
Oem7 LShiftKey -1 11 94 187 219 125
LShiftKey I 2 -8 187 94 140 -47
I F -1 4 94 93 281 187
F Space -2 0 93 46 125 32
Space Y 3 -2 46 78 249 203
Y O 0 -3 78 156 187 109
O U 0 2 156 109 94 -62
U Space -3 3 109 78 312 203
Space L 2 -5 78 62 749 671
L I 1 1 62 109 156 94
I V -2 4 109 78 312 203
V E 2 1 78 78 156 78
E Space -3 -1 78 78 109 31
Space E 3 1 78 78 1654 1576
E A -1 2 78 141 405 327
A C -1 -2 141 94 281 140
C H 1 -3 94 78 125 31
H Space -2 2 78 78 218 140
Space D 2 1 78 62 203 125
D A 0 2 62 93 125 63
A Y 1 -5 93 63 171 78
Y Space -3 2 63 78 624 561
Space A 2 3 78 63 359 281
A S 0 -1 63 78 203 140
S Space -2 -2 78 94 109 31
Space I 3 -4 94 78 312 218
I T 0 3 78 78 234 156
T Space -3 1 78 94 187 109
Space W 3 2 94 110 78 -16
W S -1 0 110 63 437 327
S Back 2 -11 63 110 499 436
Back A -2 12 110 124 188 78
A S 0 -1 124 124 78 -46
S Space -2 -2 124 78 234 110
Space Y 3 -2 78 78 670 592
Y O 0 -3 78 156 219 141
O U 0 2 156 110 93 -63
U R 0 3 110 78 141 31
R Space -3 0 78 78 187 109
Space L 2 -5 78 94 234 156
L A 0 8 94 93 125 31
A S 0 -1 93 93 234 141
S T 1 -3 93 62 156 63
T Oemcomma -2 -3 62 109 1279 1217
Oemcomma Space -1 4 109 109 78 -31
Space S 2 2 109 93 203 94
S O 1 -7 93 93 125 32
O M -2 2 93 125 46 -47
M E 2 4 125 93 141 16
E D -1 0 93 62 234 141
D A 0 2 62 109 234 172
A Y 1 -5 109 93 125 16
Y Space -3 2 93 78 280 187
Space Y 3 -2 78 78 1451 1373
Y O 0 -3 78 156 187 109
O U 0 2 156 93 110 -46
U Oem7 -1 -4 93 78 686 593
Oem7 L 0 2 78 94 218 140
L L 0 0 94 94 156 62
L Space -2 5 94 78 219 125
