D2 D6 0 -4 109 109 374 265
D6 D0 0 -4 109 94 421 312
D0 D5 0 5 94 78 375 281
D5 Return -2 -7 78 93 515 437
Return LShiftKey -1 12 93 422 27424 27331
LShiftKey M 0 -7 422 140 266 -156
M Y 2 1 140 109 312 172
Y Space -3 2 109 78 202 93
Space T 3 -1 78 93 3277 3199
T H -1 -1 93 171 78 -15
H I 1 -2 171 125 124 -47
I R 0 4 125 140 141 16
R E 0 1 140 94 109 -31
E D -1 0 94 94 187 93
D Back 2 -10 94 125 624 530
Back Back 0 0 125 94 234 109
Back D -2 10 94 109 531 437
D Space -2 -1 109 140 218 109
Space S 2 2 140 156 1420 1280
S T 1 -3 156 125 218 62
T O 0 -4 125 124 172 47
O R 0 5 124 109 156 32
R Y 0 -2 109 109 998 889
Y Space -3 2 109 156 1170 1061
Space I 3 -4 156 125 515 359
I S -1 6 125 125 109 -16
S Space -2 -2 125 125 156 31
Space A 2 3 125 156 156 31
A B -1 -4 156 47 296 140
B O 2 -4 47 109 515 468
O U 0 2 109 140 47 -62
U T 0 2 140 93 406 266
T Space -3 1 93 125 530 437
Space D 2 1 125 109 187 62
D E 1 0 109 219 265 156
E A -1 2 219 187 203 -16
A T 1 -4 187 140 219 32
T H -1 -1 140 125 124 -16
H OemPeriod -1 -3 125 94 1576 1451
OemPeriod Return 1 -3 94 125 374 280
Return LShiftKey -1 12 125 375 1092 967
LShiftKey W 2 -2 375 94 250 -125
W H -1 -4 94 93 203 109
H E 1 3 93 125 93 0
E N -2 -3 125 156 328 203
N Space -1 2 156 156 265 109
Space LShiftKey 1 4 156 234 172 16
LShiftKey I 2 -8 234 109 125 -109
I Space -3 4 109 109 187 78
Space W 3 2 109 156 203 94
W A -1 1 156 203 218 62
A S 0 -1 203 156 94 -109
S Space -2 -2 156 172 218 62
Space D1 4 3 172 125 296 124
D1 D7 0 -6 125 94 546 421
D7 Oemcomma -3 -1 94 109 500 406
Oemcomma Space -1 4 109 109 249 140
Space LShiftKey 1 4 109 327 484 375
LShiftKey I 2 -8 327 125 171 -156
I Space -3 4 125 156 219 94
Space R 3 0 156 156 405 249
R E 0 1 156 188 78 -78
E A -1 2 188 187 219 31
A D 0 -2 187 141 171 -16
D Space -2 -1 141 125 156 15
Space A 2 3 125 125 141 16
A Space -2 -3 125 156 140 15
Space Q 3 3 156 171 250 94
Q U 0 -6 171 110 171 0
U O 0 -2 110 109 578 468
O T 0 4 109 94 218 109
T E 0 2 94 140 47 -47
E Space -3 -1 140 156 1763 1623
Space T 3 -1 156 125 218 62
T H -1 -1 125 109 109 -16
H A 0 5 109 171 141 32
A T 1 -4 171 172 140 -31
T Space -3 1 172 140 234 62
Space W 3 2 140 187 172 32
W E 0 -1 187 125 296 109
E N -2 -3 125 141 218 93
N T 2 1 141 124 188 47
T Space -3 1 124 140 156 32
Space S 2 2 140 141 1294 1154
S M -1 -5 141 156 359 218
M E 2 4 156 156 187 31
E T 0 -2 156 141 203 47
T H -1 -1 141 156 141 0
H I 1 -2 156 218 109 -47
I N -2 2 218 78 187 -31
N Back 3 -7 78 110 296 218
Back Back 0 0 110 62 219 109
Back Back 0 0 62 93 156 94
Back Back 0 0 93 78 187 94
Back Back 0 0 78 94 187 109
Back Back 0 0 94 93 328 234
Back O -1 4 93 171 702 609
O M -2 2 171 125 140 -31
M E 2 4 125 109 94 -31
E T 0 -2 109 125 187 78
T H -1 -1 125 109 125 0
H I 1 -2 109 203 78 -31
I N -2 2 203 141 140 -63
N G 1 1 141 109 125 -16
G Space -2 1 109 109 187 78
Space L 2 -5 109 93 250 141
L I 1 1 93 125 15 -78
