D2 D5 0 -3 109 109 640 531
D5 D0 0 -5 109 140 234 125
D0 D9 0 1 140 94 249 109
D9 Return -2 -3 94 63 1279 1185
Return RShiftKey -1 1 63 374 28923 28860
RShiftKey M 0 4 374 172 218 -156
M Y 2 1 172 94 343 171
Y Space -3 2 94 109 203 109
Space T 3 -1 109 93 1654 1545
T H -1 -1 93 140 78 -15
H I 1 -2 140 171 78 -62
I R 0 4 171 94 249 78
R D -1 1 94 125 531 437
D Space -2 -1 125 141 296 171
Space S 2 2 141 109 1077 936
S T 1 -3 109 109 390 281
T O 0 -4 109 140 109 0
O R 0 5 140 93 390 250
R Y 0 -2 93 109 78 -15
Y Space -3 2 109 156 203 94
Space I 3 -4 156 140 936 780
I S -1 6 140 109 93 -47
S Space -2 -2 109 125 156 47
Space A 2 3 125 93 219 94
A B -1 -4 93 140 62 -31
B O 2 -4 140 125 203 63
O U 0 2 125 156 109 -16
U T 0 2 156 94 156 0
T Space -3 1 94 124 250 156
Space D 2 1 124 172 374 250
D E 1 0 172 125 156 -16
E A -1 2 125 125 733 608
A T 1 -4 125 93 250 125
T H -1 -1 93 109 125 32
H OemPeriod -1 -3 109 78 951 842
OemPeriod Return 1 -3 78 78 733 655
Return RShiftKey -1 1 78 203 1077 999
RShiftKey W 2 9 203 109 78 -125
W H -1 -4 109 94 639 530
H E 1 3 94 125 203 109
E N -2 -3 125 140 94 -31
N Space -1 2 140 109 281 141
Space RShiftKey 1 -7 109 609 1107 998
RShiftKey I 2 3 609 141 499 -110
I Space -3 4 141 93 219 78
Space W 3 2 93 109 125 32
W A -1 1 109 141 171 62
A S 0 -1 141 109 203 62
S Space -2 -2 109 78 234 125
Space D1 4 3 78 140 671 593
D1 D7 0 -6 140 109 109 -31
D7 Oemcomma -3 -1 109 125 1388 1279
Oemcomma Space -1 4 125 78 266 141
Space RShiftKey 1 -7 78 499 1092 1014
RShiftKey I 2 3 499 156 374 -125
I Space -3 4 156 109 281 125
Space R 3 0 109 156 125 16
R E 0 1 156 172 140 -16
E A -1 2 172 172 187 15
A D 0 -2 172 109 172 0
D Space -2 -1 109 94 655 546
Space A 2 3 94 78 796 702
A Space -2 -3 78 78 171 93
Space Q 3 3 78 93 1108 1030
Q U 0 -6 93 124 125 32
U O 0 -2 124 141 202 78
O T 0 4 141 109 281 140
T E 0 2 109 125 187 78
E Space -3 -1 125 140 734 609
Space T 3 -1 140 140 1092 952
T H -1 -1 140 140 109 -31
H A 0 5 140 172 93 -47
A T 1 -4 172 94 250 78
T Space -3 1 94 125 187 93
Space W 3 2 125 140 1529 1404
W E 0 -1 140 140 172 32
E N -2 -3 140 141 202 62
N T 2 1 141 94 172 31
T Space -3 1 94 156 499 405
Space S 2 2 156 109 219 63
S O 1 -7 109 140 109 0
O M -2 2 140 140 281 141
M E 2 4 140 110 249 109
E T 0 -2 110 125 453 343
T H -1 -1 125 156 93 -32
H I 1 -2 156 171 110 -46
I N -2 2 171 124 156 -15
N G 1 1 124 124 78 -46
G Space -2 1 124 140 889 765
Space L 2 -5 140 125 1092 952
L I 1 1 125 93 203 78
I K -1 0 93 125 202 109
