D9 D2 0 7 30 100 210 180
D2 D6 0 -4 100 130 470 370
D6 D1 0 5 130 100 180 50
D1 S -2 -1 100 60 33708 33608
S T 1 -3 60 140 80 20
T E 0 2 140 92 220 80
E V -2 -1 92 100 342 250
V E 2 1 100 100 150 50
E Back 1 -10 100 1070 1470 1370
Back Space -4 9 1070 66 1610 540
Space Space 0 0 66 70 152 86
Space LShiftKey 1 4 70 120 600 530
LShiftKey S 1 -2 120 90 60 -60
S T 1 -3 90 100 440 350
T E 0 2 100 90 230 130
E V -2 -1 90 110 3340 3250
V E 2 1 110 120 210 100
E Space -3 -1 120 82 690 570
Space LShiftKey 1 4 82 130 1612 1530
LShiftKey J 1 -7 130 90 50 -80
J O 1 -2 90 100 370 280
O B -2 4 100 90 370 270
B S 1 3 90 60 1700 1610
S Oem7 0 -9 60 40 1750 1690
Oem7 Space -2 7 40 80 2022 1982
Space C 1 1 80 80 450 370
C O 2 -6 80 80 390 310
O M -2 2 80 80 1010 930
M M 0 0 80 70 180 100
M E 2 4 70 80 290 220
E N -2 -3 80 82 300 220
N C 0 3 82 90 272 190
C E 2 0 90 100 220 130
E M -2 -4 100 130 1090 990
M E 2 4 130 80 230 100
E N -2 -3 80 100 110 30
N T 2 1 100 80 260 160
T Space -3 1 80 80 2700 2620
Space S 2 2 80 80 650 570
S P 1 -8 80 68 300 220
P E 0 7 68 90 452 384
E E 0 0 90 90 150 60
E C -2 0 90 110 290 200
C H 1 -3 110 90 230 120
H Space -2 2 90 90 930 840
Space A 2 3 90 70 290 200
A T 1 -4 70 60 400 330
T Space -3 1 60 100 710 650
Space S 2 2 100 90 610 510
S LShiftKey -1 2 90 120 10 -80
LShiftKey T 2 -5 120 90 640 520
T A -1 4 90 90 310 220
A N -1 -5 90 100 250 160
N F 1 2 100 50 2000 1900
F O 1 -5 50 130 500 450
O R 0 5 130 82 470 340
R D -1 1 82 70 222 140
D Left -2 -8 70 70 2220 2150
Left Left 0 0 70 70 150 80
Left Left 0 0 70 80 150 80
Left Left 0 0 80 60 140 60
Left Left 0 0 60 60 140 80
Left Left 0 0 60 60 140 80
Left Left 0 0 60 50 130 70
Left Back 4 -2 50 54 1430 1380
Back LShiftKey -3 13 54 110 542 488
LShiftKey S 1 -2 110 80 20 -90
S Right -2 -11 80 810 1150 1070
Right Space 0 9 810 80 1910 1100
Space LShiftKey 1 4 80 150 820 740
LShiftKey U 2 -7 150 100 50 -100
U N -2 1 100 120 280 180
N I 2 -2 120 100 230 110
I V -2 4 100 80 470 370
V E 2 1 80 82 280 200
E R 0 -1 82 70 202 120
R S -1 2 70 90 380 310
S I 1 -6 90 70 330 240
I T 0 3 70 150 320 250
T Y 0 -1 150 100 130 -20
Y Space -3 2 100 60 4500 4400
Space Space 0 0 60 60 160 100
Space Space 0 0 60 80 150 90
Space Space 0 0 80 70 160 80
Space Space 0 0 70 80 150 80
Space Space 0 0 80 80 150 70
Space Space 0 0 80 904 150 70
Space Back 4 -9 904 0 24138 23234
Back Back 0 0 0 100 450 450
Back Back 0 0 100 80 520 420
Back Back 0 0 80 120 200 120
Back Back 0 0 120 90 260 140
Back Back 0 0 90 80 270 180
Back Back 0 0 80 80 200 120
Back Back 0 0 80 90 200 120
Back Back 0 0 90 100 180 90
Back Back 0 0 100 80 190 90
Back Back 0 0 80 102 170 90
Back Back 0 0 102 80 762 660
Back Back 0 0 80 120 160 80
Back Back 0 0 120 90 240 120
Back Back 0 0 90 80 180 90
Back Back 0 0 80 80 200 120
Back Back 0 0 80 80 200 120
Back Back 0 0 80 80 200 120
