D8 D4 0 4 47 125 484 437
D4 D6 0 -2 125 94 296 171
D6 D5 0 1 94 78 219 125
D5 Return -2 -7 78 47 1216 1138
Return LShiftKey -1 12 47 187 21014 20967
LShiftKey W 2 -2 187 141 93 -94
W G -1 -3 141 94 265 124
G E 1 2 94 94 125 31
E Back 1 -10 94 141 889 795
Back Back 0 0 141 62 250 109
Back Back 0 0 62 63 62 0
Back H -2 7 63 62 500 437
H E 1 3 62 93 109 47
E N -2 -3 93 140 109 16
N Space -1 2 140 109 109 -31
Space LShiftKey 1 4 109 156 187 78
LShiftKey I 2 -8 156 125 63 -93
I Space -3 4 125 94 109 -16
Space W 3 2 94 140 125 31
W A -1 1 140 171 125 -15
A S 0 -1 171 109 140 -31
S Space -2 -2 109 78 62 -47
Space Back 4 -9 78 562 1872 1794
Back Back 0 0 562 62 718 156
Back Back 0 0 62 78 156 94
Back Back 0 0 78 78 140 62
Back Back 0 0 78 62 188 110
Back Back 0 0 62 78 140 78
Back Back 0 0 78 46 172 94
Back Back 0 0 46 62 374 328
Back LShiftKey -3 13 62 624 265 203
LShiftKey M 0 -7 624 93 453 -171
M Y 2 1 93 140 265 172
Y Space -3 2 140 94 109 -31
Space T 3 -1 94 78 234 140
T H -1 -1 78 78 62 -16
H I 1 -2 78 125 250 172
I R 0 4 125 110 140 15
R D -1 1 110 94 234 124
D Space -2 -1 94 125 141 47
Space S 2 2 125 109 437 312
S R 1 -2 109 78 436 327
R Back 1 -9 78 109 562 484
Back T -1 8 109 109 343 234
T O 0 -4 109 78 141 32
O R 0 5 78 93 967 889
R Y 0 -2 93 125 702 609
Y Space -3 2 125 109 125 0
Space I 3 -4 109 109 187 78
I S -1 6 109 94 93 -16
S Space -2 -2 94 109 32 -62
Space A 2 3 109 93 187 78
A B -1 -4 93 78 109 16
B O 2 -4 78 110 296 218
O U 0 2 110 62 250 140
U T 0 2 62 109 109 47
T Space -3 1 109 62 125 16
Space D 2 1 62 78 998 936
D E 1 0 78 94 156 78
E A -1 2 94 188 156 62
A T 1 -4 188 94 172 -16
T H -1 -1 94 78 140 46
H OemPeriod -1 -3 78 93 344 266
OemPeriod Return 1 -3 93 78 1107 1014
Return LShiftKey -1 12 78 655 843 765
LShiftKey W 2 -2 655 110 514 -141
W H -1 -4 110 110 234 124
H E 1 3 110 94 172 62
E B -2 -2 94 109 125 31
B Space -1 1 109 94 93 -16
Space LShiftKey 1 4 94 312 203 109
LShiftKey U 2 -7 312 140 94 -218
U Space -3 3 140 47 156 16
Space Oemplus 4 -8 47 16 327 280
Oemplus Back 0 -1 16 63 671 655
Back Back 0 0 63 63 156 93
Back Back 0 0 63 63 156 93
Back Back 0 0 63 78 156 93
Back Back 0 0 78 94 156 78
Back N -3 7 94 141 702 608
N Space -1 2 141 94 109 -32
Space LShiftKey 1 4 94 203 125 31
LShiftKey I 2 -8 203 141 78 -125
I Space -3 4 141 78 109 -32
Space W 3 2 78 109 94 16
W A -1 1 109 156 78 -31
A S 0 -1 156 125 125 -31
S Space -2 -2 125 125 78 -47
Space D1 4 3 125 125 296 171
D1 D7 0 -6 125 78 390 265
D7 Oemcomma -3 -1 78 125 499 421
Oemcomma Space -1 4 125 62 188 63
Space LShiftKey 1 4 62 530 780 718
LShiftKey I 2 -8 530 125 374 -156
I Space -3 4 125 93 94 -31
Space R 3 0 93 156 249 156
R E 0 1 156 141 109 -47
E A -1 2 141 219 234 93
A D 0 -2 219 140 110 -109
D Space -2 -1 140 109 187 47
Space A 2 3 109 93 234 125
A Space -2 -3 93 109 125 32
Space Q 3 3 109 124 312 203
Q U 0 -6 124 94 171 47
U O 0 -2 94 109 219 125
O T 0 4 109 156 296 187
T E 0 2 156 125 109 -47
E Space -3 -1 125 109 765 640
Space T 3 -1 109 94 374 265
T H -1 -1 94 94 109 15
H A 0 5 94 156 78 -16
A T 1 -4 156 109 110 -46
T Space -3 1 109 109 171 62
Space W 3 2 109 172 203 94
W E 0 -1 172 140 94 -78
E N -2 -3 140 93 156 16
N T 2 1 93 78 187 94
T Space -3 1 78 140 1560 1482
Space S 2 2 140 125 327 187
S O 1 -7 125 109 188 63
O M -2 2 109 109 234 125
M E 2 4 109 125 124 15
E T 0 -2 125 125 203 78
T H -1 -1 125 109 94 -31
H I 1 -2 109 63 218 109
I N -2 2 63 63 234 171
N G 1 1 63 63 78 15
G Space -2 1 63 141 187 124
Space L 2 -5 141 63 203 62
L I 1 1 63 63 187 124
I K -1 0 63 78 203 140
K E 1 5 78 47 94 16
E Oemcomma -2 -5 47 94 265 218
Oemcomma Oemplus 3 -4 94 94 2106 2012
Oemplus LShiftKey -3 12 94 172 234 140
LShiftKey Back 3 -13 172 94 546 374
Back Back 0 0 94 109 281 187
Back LShiftKey -3 13 109 406 483 374
LShiftKey Oem1 1 -10 406 78 266 -140
Oem1 Space -2 6 78 78 982 904
Space LShiftKey 1 4 78 858 250 172
