D8 D0 0 -2 70 120 230 160
D0 D9 0 1 120 90 390 270
D9 D3 0 6 90 110 250 160
D3 Return -2 -9 110 75 730 620
Return LShiftKey -1 12 75 190 22704 22629
LShiftKey M 0 -7 190 70 90 -100
M Y 2 1 70 90 240 170
Y Space -3 2 90 70 80 -10
Space T 3 -1 70 80 180 110
T G -1 0 80 60 180 100
G I 1 -3 60 100 210 150
I R 0 4 100 60 160 60
R Space -3 0 60 70 550 490
Space D 2 1 70 90 90 20
D Oemplus 2 -9 90 40 250 160
Oemplus Back 0 -1 40 90 470 430
Back Back 0 0 90 120 550 460
Back Back 0 0 120 110 170 50
Back Back 0 0 110 60 200 90
Back Back 0 0 60 90 180 120
Back Back 0 0 90 110 430 340
Back H -2 7 110 90 460 350
H I 1 -2 90 90 210 120
I R 0 4 90 70 230 140
R D -1 1 70 90 310 240
D Space -2 -1 90 100 110 20
Space S 2 2 100 70 150 50
S T 1 -3 70 100 320 250
T O 0 -4 100 50 200 100
O R 0 5 50 100 1360 1310
R Y 0 -2 100 100 90 -10
Y Space -3 2 100 90 70 -30
Space W 3 2 90 70 280 190
W A -1 1 70 82 170 100
A S 0 -1 82 70 162 80
S Space -2 -2 70 90 80 10
Space A 2 3 90 100 120 30
A B -1 -4 100 50 130 30
B I 2 -3 50 90 250 200
I U 0 1 90 70 220 130
U T 0 2 70 70 80 10
T Space -3 1 70 110 60 -10
Space D 2 1 110 50 1400 1290
D E 1 0 50 50 150 100
E A -1 2 50 110 212 162
A T 1 -4 110 70 80 -30
T H -1 -1 70 60 200 130
H OemPeriod -1 -3 60 60 1100 1040
OemPeriod Return 1 -3 60 110 120 60
Return LShiftKey -1 12 110 690 1840 1730
LShiftKey W 2 -2 690 130 590 -100
W H -1 -4 130 51 150 20
H E 1 3 51 100 112 61
E N -2 -3 100 90 80 -20
N Space -1 2 90 80 90 0
Space LShiftKey 1 4 80 140 300 220
LShiftKey I 2 -8 140 100 40 -100
I Space -3 4 100 80 190 90
Space W 3 2 80 90 130 50
W A -1 1 90 80 190 100
A S 0 -1 80 90 150 70
S Space -2 -2 90 90 90 0
Space D1 4 3 90 140 370 280
D1 D7 0 -6 140 92 350 210
D7 Oemcomma -3 -1 92 90 1242 1150
Oemcomma Space -1 4 90 100 70 -20
Space LShiftKey 1 4 100 200 190 90
LShiftKey I 2 -8 200 70 110 -90
I Space -3 4 70 90 80 10
Space R 3 0 90 70 340 250
R E 0 1 70 71 80 10
E A -1 2 71 120 212 141
A D 0 -2 120 50 130 10
D Space -2 -1 50 90 620 570
Space A 2 3 90 130 500 410
A Space -2 -3 130 132 120 -10
Space Q 3 3 132 60 252 120
Q U 0 -6 60 70 200 140
U O 0 -2 70 80 750 680
O T 0 4 80 80 680 600
T E 0 2 80 90 130 50
E Space -3 -1 90 82 100 10
Space T 3 -1 82 90 1022 940
T A -1 4 90 70 330 240
A Back 2 -12 70 40 680 610
Back H -2 7 40 70 1320 1280
H A 0 5 70 100 180 110
A T 1 -4 100 100 40 -60
T Space -3 1 100 100 80 -20
Space W 3 2 100 100 172 72
W E 0 -1 100 122 210 110
E N -2 -3 122 80 172 50
N T 2 1 80 70 220 140
T Space -3 1 70 100 130 60
Space S 2 2 100 80 1470 1370
S O 1 -7 80 90 110 30
O M -2 2 90 80 260 170
M E 2 4 80 100 70 -10
E T 0 -2 100 60 190 90
T H -1 -1 60 60 180 120
H I 1 -2 60 100 160 100
I N -2 2 100 60 440 340
N G 1 1 60 90 270 210
G Space -2 1 90 70 70 -20
Space L 2 -5 70 40 270 200
L I 1 1 40 92 430 390
I K -1 0 92 130 182 90
K E 1 5 130 90 100 -30
E LShiftKey -2 3 90 320 740 650
LShiftKey Oem1 1 -10 320 50 200 -120
Oem1 Space -2 6 50 100 140 90
Space LShiftKey 1 4 100 300 180 80
LShiftKey Oem7 1 -11 300 60 140 -160
Oem7 Space -2 7 60 100 880 820
Space LShiftKey 1 4 100 170 430 330
LShiftKey I 2 -8 170 80 100 -70
I F -1 4 80 110 200 120
F Space -2 0 110 100 90 -20
Space Space 0 0 100 40 240 140
Space Oemplus 4 -8 40 100 560 520
Oemplus Back 0 -1 100 70 780 680
Back Back 0 0 70 70 150 80
Back U -1 6 70 52 750 680
U Back 1 -6 52 70 562 510
Back Y -1 7 70 80 210 140
Y O 0 -3 80 80 460 380
O U 0 2 80 80 220 140
U Space -3 3 80 90 70 -10
Space L 2 -5 90 70 292 202
L I 1 1 70 60 170 100
I V -2 4 60 70 290 230
V E 2 1 70 100 170 100
E Space -3 -1 100 110 180 80
Space E 3 1 110 130 1070 960
E A -1 2 130 110 280 150
A C -1 -2 110 100 270 160
C H 1 -3 100 110 70 -30
H Space -2 2 110 100 70 -40
Space D 2 1 100 70 180 80
D A 0 2 70 100 210 140
A Y 1 -5 100 90 110 10
Y Space -3 2 90 100 60 -30
Space A 2 3 100 110 740 640
A S 0 -1 110 100 380 270
S Space -2 -2 100 90 70 -30
Space I 3 -4 90 70 260 170
I F -1 4 70 90 150 80
F Space -2 0 90 90 80 -10
Space I 3 -4 90 70 200 110
I T 0 3 70 82 120 50
T Space -3 1 82 100 92 10
Space W 3 2 100 70 240 140
W A -1 1 70 82 180 110
A S 0 -1 82 50 192 110
S Space -2 -2 50 90 110 60
Space Y 3 -2 90 100 700 610
Y O 0 -3 100 90 250 150
O U 0 2 90 90 240 150
U R 0 3 90 50 190 100
R Space -3 0 50 90 30 -20
Space L 2 -5 90 80 690 600
L A 0 8 80 80 180 100
A S 0 -1 80 120 210 130
S T 1 -3 120 60 140 20
T Oemcomma -2 -3 60 90 520 460
Oemcomma Space -1 4 90 100 180 90
Space S 2 2 100 100 270 170
S O 1 -7 100 90 50 -50
O M -2 2 90 40 260 170
M E 2 4 40 80 1500 1460
E D -1 0 80 60 190 110
D A 0 2 60 60 230 170
A Y 1 -5 60 80 100 40
Y Space -3 2 80 60 70 -10
Space Y 3 -2 60 90 1210 1150
Y O 0 -3 90 20 300 210
O U 0 2 20 80 970 950
U Space -3 3 80 100 50 -30
Space Back 4 -9 100 50 2370 2270
Back Oem7 -2 2 50 50 490 440
Oem7 L 0 2 50 60 370 320
L L 0 0 60 60 140 80
L Space -2 5 60 90 190 130
Space M 1 -3 90 60 200 110
M O 2 -2 60 162 20 -40
O S -1 7 162 130 362 200
S T 1 -3 130 70 160 30
T Space -3 1 70 90 40 -30
Space C 1 1 90 50 1430 1340
C E 2 0 50 60 90 40
E R 0 -1 60 70 160 100
R T 0 -1 70 90 200 130
T A -1 4 90 110 140 50
A I 1 -7 110 110 150 40
I N -2 2 110 100 180 70
N L 1 -3 100 100 250 150
L Y 1 3 100 90 290 190
Y Space -3 2 90 100 60 -30
Space B 1 -1 100 30 420 320
B E 2 2 30 100 50 20
E Space -3 -1 100 100 60 -40
Space R 3 0 100 100 240 140
R I 0 -4 100 90 70 -30
I G -1 3 90 80 200 110
G H 0 -1 80 82 100 20
H T 1 1 82 90 102 20
T OemPeriod -2 -4 90 60 1190 1100
OemPeriod LShiftKey 0 9 60 350 200 140
LShiftKey Oem7 1 -11 350 80 160 -190
Oem7 Space -2 7 80 110 650 570
Space LShiftKey 1 4 110 390 340 230
LShiftKey I 2 -8 390 50 310 -80
I T 0 3 50 80 260 210
T Space -3 1 80 40 90 10
Space M 1 -3 40 50 330 290
M A 1 6 50 100 110 60
A D 0 -2 100 80 240 140
D E 1 0 80 100 220 140
E Space -3 -1 100 120 140 40
Space A 2 3 120 110 990 870
A N -1 -5 110 110 160 50
N Space -1 2 110 80 220 110
Space I 3 -4 80 70 230 150
I M -2 1 70 100 200 130
M O 2 -2 100 60 290 190
O P 0 -1 60 40 10 -50
P R 0 6 40 100 170 130
R E 0 1 100 90 180 80
E S -1 1 90 60 190 100
S S 0 0 60 110 160 100
S I 1 -6 110 60 60 -50
I O 0 -1 60 60 150 90
O N -2 3 60 90 160 100
N Space -1 2 90 120 50 -40
Space O 3 -5 120 80 2840 2720
O N -2 3 80 100 200 120
N Space -1 2 100 90 60 -40
Space M 1 -3 90 50 220 130
M E 2 4 50 90 70 20
E Oemcomma -2 -5 90 120 1060 970
Oemcomma Space -1 4 120 90 100 -20
Space A 2 3 90 100 190 100
A N -1 -5 100 80 160 60
N D 1 3 80 40 100 20
D Space -2 -1 40 60 82 42
Space S 2 2 60 100 492 432
S I 1 -6 100 82 80 -20
I N -2 2 82 120 182 100
N C 0 3 120 90 90 -30
C E 2 0 90 70 230 140
E Space -3 -1 70 130 980 910
Space T 3 -1 130 90 250 120
T H -1 -1 90 70 220 130
H E 1 3 70 92 130 60
E N -2 -3 92 50 72 -20
N Oemcomma 0 -2 50 70 1080 1030
Oemcomma Space -1 4 70 90 50 -20
Space F 2 0 90 110 270 180
F O 1 -5 110 90 130 20
O R 0 5 90 90 150 60
R Space -3 0 90 100 30 -60
Space T 3 -1 100 140 260 160
T H -1 -1 140 80 250 110
H E 1 3 80 100 100 20
E Space -3 -1 100 80 60 -40
Space P 3 -6 80 100 570 490
P A -1 9 100 80 120 20
A S 0 -1 80 120 190 110
S T 1 -3 120 70 600 480
T Space -3 1 70 120 120 50
Space D3 4 1 120 90 230 110
D3 D3 0 0 90 90 170 80
D3 Space -4 -1 90 122 180 90
Space Y 3 -2 122 100 1002 880
Y E 0 3 100 90 80 -20
E A -1 2 90 120 230 140
A R 1 -3 120 70 100 -20
R S -1 2 70 70 150 80
S Oemcomma -1 -6 70 110 1000 930
Oemcomma Space -1 4 110 130 70 -40
Space LShiftKey 1 4 130 160 190 60
LShiftKey I 2 -8 160 50 90 -70
I Space -3 4 50 80 90 40
Space H 2 -2 80 80 320 240
H A 0 5 80 110 100 20
A V -1 -3 110 90 160 50
V E 2 1 90 100 130 40
E Space -3 -1 100 92 90 -10
Space L 2 -5 92 60 1382 1290
L O 1 0 60 66 190 130
O O 0 0 66 60 122 56
O K -1 1 60 90 160 100
K E 1 5 90 70 80 -10
E D -1 0 70 90 170 100
D Space -2 -1 90 90 30 -60
Space I 3 -4 90 80 120 30
I N -2 2 80 100 200 120
N Space -1 2 100 92 50 -50
Space A 2 3 92 110 142 50
A Space -2 -3 110 70 100 -10
Space M 1 -3 70 70 1120 1050
M I 2 -1 70 50 220 150
I R 0 4 50 30 150 100
R R 0 0 30 120 150 120
R O 0 -5 120 80 300 180
O R 0 5 80 80 130 50
R Space -3 0 80 50 140 60
Space E 3 1 50 100 500 450
E V -2 -1 100 100 150 50
V E 2 1 100 54 90 -10
E R 0 -1 54 70 192 138
R Y 0 -2 70 60 100 30
Y D -1 3 60 70 350 290
D A 0 2 70 110 250 180
A Y 1 -5 110 80 100 -10
Y Back 1 -7 80 60 1070 990
Back Back 0 0 60 70 180 120
Back Back 0 0 70 130 520 450
Back Space -4 9 130 90 450 320
Space M 1 -3 90 100 330 240
M I 2 -1 100 40 260 160
I R 0 4 40 90 150 110
R Back 1 -9 90 80 1340 1250
Back Back 0 0 80 80 450 370
Back O -1 4 80 80 550 470
O R 0 5 80 110 260 180
R N -2 -2 110 80 160 50
N I 2 -2 80 70 210 130
I N -2 2 70 70 200 130
N G 1 1 70 90 290 220
G Space -2 1 90 100 200 110
Space A 2 3 100 130 750 650
A N -1 -5 130 90 160 30
N D 1 3 90 100 100 10
D Space -2 -1 100 70 120 20
Space A 2 3 70 80 230 160
A S 0 -1 80 90 200 120
S K 0 -6 90 70 120 30
K E 1 5 70 92 120 50
E D -1 0 92 90 202 110
D Space -2 -1 90 80 70 -20
Space M 1 -3 80 60 230 150
M Y 2 1 60 80 220 160
Y S -1 4 80 70 220 140
S E 1 -1 70 102 170 100
E L -1 -6 102 80 92 -10
L F 0 5 80 110 150 70
F LShiftKey -1 4 110 1050 930 820
LShiftKey Oem1 1 -10 1050 70 320 -730
Oem1 Space -2 6 70 70 200 130
Space Oem7 2 -7 70 90 320 250
Oem7 I 1 3 90 30 530 440
I Back 1 -5 30 90 660 630
Back LShiftKey -3 13 90 400 150 60
LShiftKey I 2 -8 400 70 120 -280
I F -1 4 70 90 540 470
F Space -2 0 90 90 60 -30
Space T 3 -1 90 30 1220 1130
T O 0 -4 30 70 80 50
O D -1 6 70 70 280 210
D A 0 2 70 110 210 140
A Y 1 -5 110 90 60 -50
Y Space -3 2 90 80 70 -20
Space W 3 2 80 100 170 90
W E 0 -1 100 90 190 90
E R 0 -1 90 70 200 110
R E 0 1 70 70 200 130
E Space -3 -1 70 40 150 80
Space T 3 -1 40 70 740 700
T H -1 -1 70 90 180 110
H E 1 3 90 70 80 -10
E Space -3 -1 70 70 50 -20
Space L 2 -5 70 70 240 170
L A 0 8 70 80 100 30
A S 0 -1 80 120 180 100
S T 1 -3 120 100 140 20
T Space -3 1 100 70 90 -10
Space D 2 1 70 70 3450 3380
D A 0 2 70 110 200 130
A Y 1 -5 110 80 70 -40
Y Space -3 2 80 100 50 -30
Space O 3 -5 100 90 240 140
O F -1 5 90 100 110 20
F Space -2 0 100 90 80 -20
Space M 1 -3 90 60 200 110
M Y 2 1 60 80 240 180
Y Space -3 2 80 90 70 -10
Space L 2 -5 90 60 280 190
L I 1 1 60 100 420 360
I F -1 4 100 110 190 90
F E 1 1 110 100 250 140
E Oemcomma -2 -5 100 80 890 790
Oemcomma Space -1 4 80 80 230 150
Space W 3 2 80 100 1070 990
W I 0 -6 100 80 150 50
I Back 1 -5 80 80 780 700
Back P -1 3 80 20 380 300
P O 0 1 20 40 170 150
O Back 1 -4 40 110 430 390
Back Back 0 0 110 100 460 350
Back P -1 3 100 90 500 400
P Back 1 -3 90 120 340 250
Back O -1 4 120 90 220 100
O U 0 2 90 132 300 210
U L -1 -2 132 90 652 520
L D 0 6 90 90 260 170
D Space -2 -1 90 72 130 40
Space LShiftKey 1 4 72 470 552 480
LShiftKey I 2 -8 470 70 360 -110
I Space -3 4 70 72 140 70
Space W 3 2 72 60 102 30
W A -1 1 60 130 170 110
A N -1 -5 130 50 90 -40
N T 2 1 50 90 220 170
T Space -3 1 90 60 80 -10
Space D 2 1 60 62 940 880
D Oemplus 2 -9 62 100 532 470
Oemplus T -1 7 100 110 290 190
T O 0 -4 110 120 90 -20
O Space -3 5 120 100 80 -40
Space D 2 1 100 118 390 290
D O 1 -6 118 112 60 -58
O Space -3 5 112 92 70 -42
Space W 3 2 92 80 1532 1440
W H -1 -4 80 70 140 60
H A 0 5 70 100 150 80
A T 1 -4 100 100 50 -50
T Space -3 1 100 100 70 -30
Space LShiftKey 1 4 100 690 630 530
LShiftKey I 2 -8 690 70 600 -90
I Space -3 4 70 70 140 70
Space A 2 3 70 50 210 140
A M -1 -6 50 110 10 -40
M Space -1 3 110 90 90 -20
Space A 2 3 90 100 210 120
A B -1 -4 100 60 200 100
B O 2 -4 60 120 260 200
O U 0 2 120 60 270 150
U T 0 2 60 60 110 50
T Space -3 1 60 100 40 -20
Space T 3 -1 100 80 180 80
T O 0 -4 80 100 50 -30
O Space -3 5 100 90 80 -20
Space D 2 1 90 100 220 130
D O 1 -6 100 80 90 -10
O Space -3 5 80 100 60 -20
Space T 3 -1 100 80 250 150
T O 0 -4 80 90 440 360
O D -1 6 90 70 130 40
D A 0 2 70 130 220 150
A Y 1 -5 130 60 100 -30
Y RShiftKey -2 -5 60 270 1380 1320
RShiftKey OemQuestion 0 1 270 90 160 -110
OemQuestion LShiftKey 0 10 90 260 460 370
LShiftKey Oem7 1 -11 260 90 100 -160
Oem7 Space -2 7 90 90 490 400
Space LShiftKey 1 4 90 330 240 150
LShiftKey A 1 -1 330 130 270 -60
A N -1 -5 130 90 240 110
N D 1 3 90 92 120 30
D Space -2 -1 92 100 102 10
Space W 3 2 100 120 590 490
W H -1 -4 120 70 140 20
H E 1 3 70 90 470 400
E N -2 -3 90 72 210 120
N E 2 3 72 140 132 60
E V -2 -1 140 90 150 10
V E 2 1 90 120 120 30
E R 0 -1 120 90 230 110
R Space -3 0 90 120 100 10
Space T 3 -1 120 80 660 540
T H -1 -1 80 80 200 120
H E 1 3 80 90 90 10
E Space -3 -1 90 100 50 -40
Space A 2 3 100 100 300 200
A N -1 -5 100 70 240 140
N S 1 4 70 90 170 100
S W 1 0 90 60 230 140
W E 0 -1 60 90 160 100
E R 0 -1 90 60 210 120
R Space -3 0 60 50 140 80
Space H 2 -2 50 80 960 910
H A 0 5 80 70 90 10
A S 0 -1 70 70 440 370
S Space -2 -2 70 90 80 10
Space B 1 -1 90 60 290 200
B E 2 2 60 70 90 30
E E 0 0 70 60 190 120
E N -2 -3 60 100 70 10
N Space -1 2 100 100 50 -50
Space LShiftKey 1 4 100 550 310 210
LShiftKey Oem7 1 -11 550 60 380 -170
Oem7 N -1 5 60 60 510 450
N Back 3 -7 60 70 680 620
Back LShiftKey -3 13 70 390 210 140
LShiftKey N 0 -6 390 80 220 -170
N O 2 -3 80 50 250 170
O LShiftKey -2 9 50 372 190 140
LShiftKey Oem7 1 -11 372 60 190 -182
Oem7 Space -2 7 60 90 312 252
Space F 2 0 90 90 1700 1610
F O 1 -5 90 70 540 450
O R 0 5 70 82 100 30
R Space -3 0 82 80 342 260
Space T 3 -1 80 72 190 110
T O 0 -4 72 60 92 20
O O 0 0 60 90 160 100
O Space -3 5 90 70 100 10
Space M 1 -3 70 80 620 550
M A 1 6 80 90 140 60
A N -1 -5 90 60 80 -10
N Y 2 0 60 70 210 150
Y Space -3 2 70 100 50 -20
Space D 2 1 100 82 170 70
D A 0 2 82 90 242 160
A Y 1 -5 90 60 100 10
Y S -1 4 60 110 110 50
S Space -2 -2 110 112 90 -20
Space I 3 -4 112 100 812 700
I N -2 2 100 120 210 110
N Space -1 2 120 80 70 -50
Space A 2 3 80 100 160 80
A Space -2 -3 100 80 70 -30
Space R 3 0 80 60 420 340
R O 0 -5 60 110 120 60
O Q 0 8 110 140 210 100
Q Oemplus 1 -11 140 110 480 340
Oemplus W -1 10 110 100 190 80
W Space -3 -2 100 110 200 100
Space Back 4 -9 110 80 550 440
Back Back 0 0 80 80 180 100
Back Back 0 0 80 60 180 100
Back Back 0 0 60 110 160 100
Back W -1 11 110 102 750 640
W Oemcomma -2 -6 102 80 212 110
Oemcomma Space -1 4 80 100 150 70
Space LShiftKey 1 4 100 300 210 110
LShiftKey I 2 -8 300 90 180 -120
I Space -3 4 90 120 100 10
Space K 2 -4 120 50 1270 1150
K N -1 2 50 80 140 90
N O 2 -3 80 90 210 130
O W 0 7 90 90 180 90
W Space -3 -2 90 100 40 -50
Space LShiftKey 1 4 100 160 310 210
LShiftKey I 2 -8 160 72 130 -30
I Space -3 4 72 92 60 -12
Space N 1 -2 92 70 212 120
N E 2 3 70 70 100 30
E E 0 0 70 58 180 110
E D -1 0 58 70 192 134
D Space -2 -1 70 100 60 -10
Space T 3 -1 100 70 1030 930
T O 0 -4 70 130 130 60
O Space -3 5 130 112 100 -30
Space C 1 1 112 80 232 120
C H 1 -3 80 100 160 80
H A 0 5 100 130 170 70
A N -1 -5 130 60 110 -20
N G 1 1 60 70 170 110
G E 1 2 70 60 60 -10
E Space -3 -1 60 110 90 30
Space S 2 2 110 70 170 60
S O 1 -7 70 90 100 30
O M -2 2 90 90 230 140
M E 2 4 90 80 40 -50
E T 0 -2 80 80 252 172
T H -1 -1 80 60 70 -10
H I 1 -2 60 90 160 100
I N -2 2 90 60 180 90
N G 1 1 60 90 70 10
G OemPeriod -1 -4 90 70 220 130
OemPeriod Space -1 5 70 50 250 180
Space Return 2 -8 50 80 2920 2870
Return LShiftKey -1 12 80 410 1080 1000
LShiftKey R 2 -4 410 70 350 -60
R E 0 1 70 120 180 110
E M -2 -4 120 82 130 10
M E 2 4 82 130 122 40
E M -2 -4 130 72 500 370
M B 0 2 72 72 212 140
B E 2 2 72 60 92 20
E R 0 -1 60 60 170 110
R Space -3 0 60 100 90 30
Space T 3 -1 100 70 850 750
T H -1 -1 70 80 170 100
H A 0 5 80 120 110 30
A T 1 -4 120 90 70 -50
T Space -3 1 90 90 60 -30
Space Y 3 -2 90 80 460 370
Y O 0 -3 80 92 200 120
O U 0 2 92 90 202 110
U Space -3 3 90 100 50 -40
Space W 3 2 100 130 2010 1910
W I 0 -6 130 70 120 -10
I L -1 -1 70 50 200 130
L L 0 0 50 50 160 110
L Space -2 5 50 120 20 -30
Space B 1 -1 120 90 300 180
B E 2 2 90 90 130 40
E Space -3 -1 90 80 822 732
Space D 2 1 80 40 430 350
D E 1 0 40 90 110 70
E A -1 2 90 80 230 140
A D 0 -2 80 50 210 130
D Space -2 -1 50 80 70 20
Space S 2 2 80 90 190 110
S O 1 -7 90 82 110 20
O O 0 0 82 70 162 80
O N -2 3 70 100 220 150
N Space -1 2 100 80 80 -20
Space I 3 -4 80 80 900 820
I S -1 6 80 120 130 50
S Space -2 -2 120 90 40 -80
Space T 3 -1 90 80 212 122
T H -1 -1 80 70 210 130
H E 1 3 70 90 150 80
E Space -3 -1 90 80 40 -50
Space M 1 -3 80 100 322 242
M O 2 -2 100 160 40 -60
O S -1 7 160 100 230 70
S T 1 -3 100 80 120 20
T Space -3 1 80 90 70 -10
Space I 3 -4 90 80 260 170
I M -2 1 80 70 220 140
M P 2 -3 70 80 220 150
P O 0 1 80 100 510 430
O R 0 5 100 80 200 100
R T 0 -1 80 50 230 150
T A -1 4 50 130 120 70
A N -1 -5 130 50 140 10
N T 2 1 50 100 300 250
T Space -3 1 100 70 80 -20
Space T 3 -1 70 60 610 540
T O 0 -4 60 90 120 60
O O 0 0 90 60 170 80
O L -1 0 60 100 200 140
L Space -2 5 100 132 30 -70
Space LShiftKey 1 4 132 160 292 160
LShiftKey I 2 -8 160 50 90 -70
I Oem7 -1 -3 50 90 460 410
Oem7 V -1 7 90 60 510 420
V E 2 1 60 100 110 50
E Space -3 -1 100 120 50 -50
Space E 3 1 120 80 1000 880
E V -2 -1 80 40 140 60
V E 2 1 40 110 1002 962
E R 0 -1 110 80 300 190
R Space -3 0 80 70 730 650
Space E 3 1 70 110 520 450
E N -2 -3 110 60 290 180
N C 0 3 60 50 260 200
C O 2 -6 50 70 140 90
O U 0 2 70 50 210 140
U N -2 1 50 70 160 110
N T 2 1 70 60 270 200
T E 0 2 60 70 100 40
E R 0 -1 70 120 180 110
R E 0 1 120 100 570 450
E D -1 0 100 110 472 372
D Space -2 -1 110 82 90 -20
Space T 3 -1 82 60 272 190
T O 0 -4 60 120 70 10
O Space -3 5 120 100 70 -50
Space H 2 -2 100 80 230 130
H E 1 3 80 120 100 20
E L -1 -6 120 70 170 50
L P 1 -1 70 90 210 140
P Space -3 6 90 90 60 -30
Space M 1 -3 90 70 740 650
M E 2 4 70 110 100 30
E Space -3 -1 110 90 50 -60
Space M 1 -3 90 60 190 100
M A 1 6 60 60 120 60
A K 0 -7 60 90 130 70
K E 1 5 90 130 130 40
E Space -3 -1 130 50 140 10
Space T 3 -1 50 80 1060 1010
T H -1 -1 80 70 220 140
H E 1 3 70 80 80 10
E Space -3 -1 80 90 30 -50
Space B 1 -1 90 90 160 70
B I 2 -3 90 110 250 160
I G -1 3 110 90 160 50
G Space -2 1 90 110 130 40
Space C 1 1 110 70 750 640
C H 1 -3 70 70 220 150
H O 1 -3 70 60 230 160
O I 0 1 60 110 140 80
I C -2 5 110 60 210 100
C E 2 0 60 80 190 130
E S -1 1 80 100 230 150
S Space -2 -2 100 110 320 220
Space I 3 -4 110 100 310 200
I N -2 2 100 100 660 560
N Space -1 2 100 110 90 -10
Space L 2 -5 110 60 400 290
L I 1 1 60 100 160 100
I F -1 4 100 60 190 90
F E 1 1 60 90 200 140
E OemPeriod -2 -6 90 60 900 810
OemPeriod Space -1 5 60 140 150 90
Space LShiftKey 1 4 140 150 250 110
LShiftKey B 0 -5 150 71 120 -30
B E 2 2 71 100 152 81
E C -2 0 100 60 1590 1490
C A 1 2 60 90 160 100
A U 1 -6 90 70 130 40
U S -1 5 70 80 130 60
S E 1 -1 80 50 230 150
E Space -3 -1 50 70 100 50
Space A 2 3 70 80 760 690
A L 0 -8 80 100 160 80
L M -1 2 100 80 350 250
M I 2 -1 80 70 180 100
I S -1 6 70 90 150 80
S T 1 -3 90 102 110 20
T Space -3 1 102 70 82 -20
Space E 3 1 70 80 300 230
E V -2 -1 80 70 400 320
V E 2 1 70 50 80 10
E R 0 -1 50 70 170 120
R Y 0 -2 70 80 80 10
Y T 0 1 80 100 180 100
T H -1 -1 100 50 210 110
H I 1 -2 50 90 160 110
I N -2 2 90 80 200 110
N G 1 1 80 110 240 160
G Space -2 1 110 120 90 -20
Space OemMinus 4 -7 120 90 1060 940
OemMinus Space -4 7 90 110 190 100
Space A 2 3 110 130 170 60
A L 0 -8 130 60 140 10
L L 0 0 60 110 180 120
L Space -2 5 110 100 100 -10
Space E 3 1 100 70 700 600
E X -2 1 70 100 230 160
X C 0 -1 100 40 230 130
C E 2 0 40 90 170 130
E P 0 -7 90 100 940 850
P T 0 5 100 60 150 50
T Back 1 -8 60 100 1930 1870
Back Back 0 0 100 80 200 100
Back Back 0 0 80 80 430 350
Back Back 0 0 80 80 220 140
Back T -1 8 80 70 800 720
T E 0 2 70 80 80 10
E R 0 -1 80 80 150 70
R N -2 -2 80 70 180 100
N A 1 5 70 112 150 80
A L 0 -8 112 85 77 -35
L Space -2 5 85 80 1325 1240
Space E 3 1 80 80 800 720
E X -2 1 80 110 260 180
X P 2 -8 110 70 1040 930
P E 0 7 70 70 80 10
E C -2 0 70 70 370 300
C T 2 -2 70 80 180 110
T A -1 4 80 60 90 10
A T 1 -4 60 60 90 30
T I 0 -3 60 70 240 180
I O 0 -1 70 70 150 80
O N -2 3 70 50 200 130
N S 1 4 50 100 110 60
S Oemcomma -1 -6 100 80 160 60
Oemcomma Space -1 4 80 70 190 110
Space A 2 3 70 110 1590 1520
A L 0 -8 110 50 150 40
L L 0 0 50 80 170 120
L Space -2 5 80 105 50 -30
Space P 3 -6 105 80 222 117
P R 0 6 80 100 280 200
R I 0 -4 100 112 60 -40
I D -1 5 112 90 202 90
D E 1 0 90 100 200 110
E Oemcomma -2 -5 100 71 1220 1120
Oemcomma Space -1 4 71 110 132 61
