D9 D0 0 -1 0 78 124 124
D0 D2 0 8 78 78 390 312
D2 D2 0 0 78 78 203 125
D2 Return -2 -10 78 63 1170 1092
Return Return 0 0 63 93 328 265
Return M -1 5 93 31 26036 25943
M LShiftKey 0 7 31 250 4524 4493
LShiftKey M 0 -7 250 140 125 -125
M Y 2 1 140 140 437 297
Y Space -3 2 140 94 171 31
Space T 3 -1 94 94 468 374
T H -1 -1 94 94 156 62
H I 1 -2 94 124 578 484
I R 0 4 124 94 202 78
R D -1 1 94 110 234 140
D Space -2 -1 110 125 156 46
Space S 2 2 125 125 250 125
S T 1 -3 125 109 265 140
T O 0 -4 109 109 562 453
O R 0 5 109 109 265 156
R Y 0 -2 109 94 234 125
Y Space -3 2 94 62 281 187
Space I 3 -4 62 94 1279 1217
I S -1 6 94 93 172 78
S Space -2 -2 93 78 171 78
Space A 2 3 78 171 219 141
A B -1 -4 171 93 265 94
B O 2 -4 93 125 374 281
O U 0 2 125 78 312 187
U T 0 2 78 110 187 109
T Space -3 1 110 94 156 46
Space D 2 1 94 110 390 296
D E 1 0 110 125 250 140
E A -1 2 125 156 281 156
A T 1 -4 156 93 234 78
T H -1 -1 93 78 390 297
H OemPeriod -1 -3 78 62 749 671
OemPeriod Return 1 -3 62 141 358 296
Return Return 0 0 141 125 468 327
Return Capital 0 12 125 124 2372 2247
Capital Capital 0 0 124 125 748 624
Capital LShiftKey -1 0 125 530 328 203
LShiftKey W 2 -2 530 156 359 -171
W H -1 -4 156 94 405 249
H E 1 3 94 124 188 94
E N -2 -3 124 94 218 94
N Space -1 2 94 63 218 124
Space I 3 -4 63 94 281 218
I Space -3 4 94 78 281 187
Space W 3 2 78 109 203 125
W A -1 1 109 219 218 109
A S 0 -1 219 140 250 31
S Space -2 -2 140 78 203 63
Space D1 4 3 78 140 1279 1201
D1 D7 0 -6 140 125 187 47
D7 Oemcomma -3 -1 125 62 1217 1092
Oemcomma Space -1 4 62 78 281 219
Space LShiftKey 1 4 78 265 764 686
LShiftKey I 2 -8 265 141 109 -156
I Space -3 4 141 78 375 234
Space R 3 0 78 172 670 592
R E 0 1 172 141 234 62
E A -1 2 141 125 312 171
A D 0 -2 125 109 281 156
D Space -2 -1 109 94 156 47
Space A 2 3 94 109 219 125
A Space -2 -3 109 62 156 47
Space Q 3 3 62 140 764 702
Q U 0 -6 140 63 296 156
U O 0 -2 63 187 328 265
O T 0 4 187 140 468 281
T E 0 2 140 109 187 47
E Space -3 -1 109 93 250 141
Space T 3 -1 93 110 1731 1638
T H -1 -1 110 94 156 46
H A 0 5 94 172 250 156
A T 1 -4 172 110 218 46
T Space -3 1 110 93 297 187
Space W 3 2 93 94 187 94
W E 0 -1 94 110 218 124
E N -2 -3 110 93 141 31
N T 2 1 93 109 281 188
T Space -3 1 109 109 156 47
Space S 2 2 109 125 421 312
S O 1 -7 125 110 249 124
O M -2 2 110 93 297 187
M E 2 4 93 124 203 110
E T 0 -2 124 140 390 266
T H -1 -1 140 78 202 62
H I 1 -2 78 93 297 219
I N -2 2 93 78 281 188
N G 1 1 78 93 187 109
G Space -2 1 93 63 171 78
Space L 2 -5 63 93 375 312
