D9 D2 0 7 10 110 110 100
D2 D5 0 -3 110 80 370 260
D5 D3 0 2 80 90 330 250
D3 M -3 -4 90 30 26033 25943
M Y 2 1 30 100 340 310
Y Space -3 2 100 100 150 50
Space T 3 -1 100 90 250 150
T H -1 -1 90 70 120 30
H I 1 -2 70 90 160 90
I R 0 4 90 80 470 380
R D -1 1 80 90 200 120
D Space -2 -1 90 70 150 60
Space S 2 2 70 100 302 232
S T 1 -3 100 100 400 300
T O 0 -4 100 70 190 90
O R 0 5 70 70 400 330
R Y 0 -2 70 100 240 170
Y Space -3 2 100 100 150 50
Space I 3 -4 100 70 250 150
I S -1 6 70 100 150 80
S Space -2 -2 100 110 120 20
Space A 2 3 110 170 290 180
A B -1 -4 170 50 190 20
B O 2 -4 50 150 260 210
O U 0 2 150 80 520 370
U T 0 2 80 100 180 100
T Space -3 1 100 100 160 60
Space D 2 1 100 130 380 280
D E 1 0 130 90 80 -50
E A -1 2 90 140 280 190
A T 1 -4 140 100 260 120
T H -1 -1 100 50 240 140
H OemPeriod -1 -3 50 50 520 470
OemPeriod Return 1 -3 50 60 3780 3730
Return Back 2 -1 60 80 2922 2862
Back LShiftKey -3 13 80 340 400 320
LShiftKey M 0 -7 340 60 250 -90
M Right -1 -6 60 860 2130 2070
Right Left 0 2 860 260 3400 2540
Left Back 4 -2 260 80 9570 9310
Back Y -1 7 80 80 460 380
Y Return -1 -6 80 60 2430 2350
Return LShiftKey -1 12 60 471 2220 2160
LShiftKey W 2 -2 471 209 300 -171
W H -1 -4 209 80 432 223
H E 1 3 80 70 202 122
E N -2 -3 70 110 140 70
N Space -1 2 110 100 190 80
Space LShiftKey 1 4 100 730 1352 1252
LShiftKey I 2 -8 730 70 540 -190
I Space -3 4 70 130 260 190
Space W 3 2 130 80 270 140
W A -1 1 80 120 220 140
A S 0 -1 120 122 110 -10
S Space -2 -2 122 110 162 40
Space D1 4 3 110 100 210 100
D1 D7 0 -6 100 70 570 470
D7 Space -4 3 70 100 270 200
Space Back 4 -9 100 70 740 640
Back Oemcomma -3 5 70 90 410 340
Oemcomma Space -1 4 90 100 240 150
Space LShiftKey 1 4 100 240 470 370
LShiftKey I 2 -8 240 80 150 -90
I Space -3 4 80 120 200 120
Space R 3 0 120 140 290 170
R E 0 1 140 100 130 -10
E A -1 2 100 90 330 230
A D 0 -2 90 110 220 130
D Space -2 -1 110 90 220 110
Space A 2 3 90 72 8000 7910
A Space -2 -3 72 90 152 80
Space Q 3 3 90 90 410 320
Q U 0 -6 90 50 230 140
U O 0 -2 50 50 380 330
O T 0 4 50 80 320 270
T E 0 2 80 120 130 50
E Space -3 -1 120 120 130 10
Space T 3 -1 120 110 150 30
T H -1 -1 110 100 250 140
H A 0 5 100 110 210 110
A T 1 -4 110 110 240 130
T Space -3 1 110 120 190 80
Space W 3 2 120 100 500 380
W E 0 -1 100 90 210 110
E N -2 -3 90 90 200 110
N T 2 1 90 100 220 130
T Space -3 1 100 100 170 70
Space S 2 2 100 90 320 220
S O 1 -7 90 60 140 50
O M -2 2 60 90 200 140
M E 2 4 90 90 170 80
E T 0 -2 90 122 290 200
T H -1 -1 122 80 142 20
H I 1 -2 80 160 150 70
I N -2 2 160 110 250 90
N G 1 1 110 110 100 -10
G Space -2 1 110 100 150 40
Space L 2 -5 100 90 270 170
L I 1 1 90 50 210 120
I K -1 0 50 70 180 130
K T 1 3 70 102 160 90
T RShiftKey -2 -6 102 300 272 170
RShiftKey Oem1 1 1 300 120 170 -130
Oem1 Space -2 6 120 130 300 180
Space RShiftKey 1 -7 130 570 360 230
RShiftKey Oem7 1 0 570 110 420 -150
Oem7 RShiftKey -1 0 110 500 870 760
RShiftKey O 2 2 500 150 370 -130
O F -1 5 150 100 260 110
F Space -2 0 100 80 220 120
Space Y 3 -2 80 120 430 350
Y O 0 -3 120 30 160 40
O O 0 0 30 40 130 100
O U 0 2 40 80 100 60
U Back 1 -6 80 60 2030 1950
Back Back 0 0 60 70 180 120
Back Space -4 9 70 90 1670 1600
Space L 2 -5 90 50 500 410
L I 1 1 50 50 220 170
I V -2 4 50 90 330 280
V E 2 1 90 90 220 130
E Space -3 -1 90 80 150 60
Space E 3 1 80 80 250 170
E A -1 2 80 130 270 190
A C -1 -2 130 90 170 40
C H 1 -3 90 90 1160 1070
H Space -2 2 90 82 180 90
Space D 2 1 82 260 562 480
D A 0 2 260 220 330 70
A Y 1 -5 220 110 370 150
Y Space -3 2 110 90 160 50
Space A 2 3 90 200 440 350
A S 0 -1 200 100 180 -20
S Space -2 -2 100 90 450 350
Space I 3 -4 90 60 450 360
I F -1 4 60 80 290 230
F Space -2 0 80 150 430 350
Space I 3 -4 150 80 210 60
I T 0 3 80 140 190 110
T Space -3 1 140 112 160 20
Space W 3 2 112 200 552 440
W E 0 -1 200 100 190 -10
E R 0 -1 100 230 270 170
R Back 1 -9 230 110 1090 860
Back A -2 12 110 100 290 180
A Space -2 -3 100 100 270 170
Space Back 4 -9 100 70 640 540
Back Back 0 0 70 100 120 50
Back Back 0 0 100 120 370 270
Back A -2 12 120 242 230 110
A S 0 -1 242 162 170 -72
S Space -2 -2 162 110 232 70
Space Y 3 -2 110 90 660 550
Y O 0 -3 90 100 320 230
O U 0 2 100 130 120 20
U R 0 3 130 60 250 120
R Space -3 0 60 82 90 30
Space Left 0 -7 82 1540 1522 1440
Left Left 0 0 1540 80 1680 140
Left Left 0 0 80 60 160 80
Left Left 0 0 60 60 440 380
Left U 3 4 60 80 530 470
U Left -3 -4 80 70 150 70
Left Left 0 0 70 80 150 80
Left Left 0 0 80 50 170 90
