D9 D5 0 4 125 94 499 374
D5 D1 0 4 94 109 468 374
D1 D4 0 -3 109 109 250 141
D4 Return -2 -8 109 78 437 328
Return LShiftKey -1 12 78 702 34881 34803
LShiftKey M 0 -7 702 94 562 -140
M Y 2 1 94 93 328 234
Y Space -3 2 93 94 249 156
Space T 3 -1 94 78 1092 998
T H -1 -1 78 109 609 531
H I 1 -2 109 109 187 78
I R 0 4 109 109 359 250
R D -1 1 109 93 421 312
D Space -2 -1 93 94 140 47
Space S 2 2 94 141 156 62
S T 1 -3 141 93 406 265
T O 0 -4 93 93 156 63
O R 0 5 93 109 140 47
R Y 0 -2 109 78 250 141
Y Space -3 2 78 109 187 109
Space I 3 -4 109 78 187 78
I S -1 6 78 94 109 31
S Space -2 -2 94 109 110 16
Space A 2 3 109 156 156 47
A B -1 -4 156 110 124 -32
B O 2 -4 110 94 203 93
O U 0 2 94 78 219 125
U T 0 2 78 109 187 109
T Space -3 1 109 78 140 31
Space D 2 1 78 125 1186 1108
D E 1 0 125 125 31 -94
E A -1 2 125 141 265 140
A T 1 -4 141 94 733 592
T H -1 -1 94 93 188 94
H OemPeriod -1 -3 93 94 826 733
OemPeriod Return 1 -3 94 109 515 421
Return Return 0 0 109 94 3323 3214
Return LShiftKey -1 12 94 359 2262 2168
LShiftKey W 2 -2 359 94 296 -63
W H -1 -4 94 93 141 47
H E 1 3 93 94 140 47
E N -2 -3 94 93 219 125
N Space -1 2 93 94 202 109
Space LShiftKey 1 4 94 452 250 156
LShiftKey I 2 -8 452 94 343 -109
I Space -3 4 94 109 250 156
Space W 3 2 109 125 483 374
W A -1 1 125 188 78 -47
A S 0 -1 188 125 203 15
S Space -2 -2 125 109 172 47
Space D1 4 3 109 93 468 359
D1 D7 0 -6 93 78 296 203
D7 Space -4 3 78 109 250 172
Space LShiftKey 1 4 109 343 374 265
LShiftKey Back 3 -13 343 78 952 609
Back Oemcomma -3 5 78 94 265 187
Oemcomma Space -1 4 94 78 187 93
Space LShiftKey 1 4 78 265 125 47
LShiftKey I 2 -8 265 78 125 -140
I Space -3 4 78 93 203 125
Space R 3 0 93 78 234 141
R E 0 1 78 125 31 -47
E A -1 2 125 140 234 109
A D 0 -2 140 94 109 -31
D Space -2 -1 94 94 156 62
Space A 2 3 94 125 156 62
A Space -2 -3 125 78 140 15
Space Q 3 3 78 94 640 562
Q U 0 -6 94 46 172 78
U O 0 -2 46 78 280 234
O T 0 4 78 78 422 344
T E 0 2 78 47 140 62
E Space -3 -1 47 125 203 156
Space T 3 -1 125 63 1076 951
T H -1 -1 63 94 156 93
H A 0 5 94 109 78 -16
A T 1 -4 109 62 125 16
T Space -3 1 62 109 187 125
Space W 3 2 109 156 94 -15
W E 0 -1 156 141 140 -16
E N -2 -3 141 94 234 93
N T 2 1 94 78 219 125
