D9 D0 0 -1 0 63 93 93
D0 D5 0 5 63 62 375 312
D5 D1 0 4 62 62 390 328
D1 Return -2 -11 62 62 1045 983
Return Return 0 0 62 63 530 468
Return LShiftKey -1 12 63 343 34867 34804
LShiftKey S 1 -2 343 156 171 -172
S T 1 -3 156 125 187 31
T E 0 2 125 110 234 109
E V -2 -1 110 110 156 46
V E 2 1 110 93 110 0
E Space -3 -1 93 109 218 125
Space LShiftKey 1 4 109 280 718 609
LShiftKey J 1 -7 280 109 156 -124
J O 1 -2 109 94 218 109
O B -2 4 94 78 250 156
B Oem7 1 -6 78 93 390 312
Oem7 S 0 9 93 93 312 219
S Space -2 -2 93 94 374 281
Space C 1 1 94 78 468 374
C O 2 -6 78 78 140 62
O M -2 2 78 47 203 125
M M 0 0 47 62 141 94
M E 2 4 62 62 78 16
E N -2 -3 62 78 109 47
N C 0 3 78 78 265 187
C E 2 0 78 78 156 78
E M -2 -4 78 93 125 47
M E 2 4 93 62 109 16
E N -2 -3 62 93 94 32
N T 2 1 93 93 234 141
T Space -3 1 93 124 156 63
Space LShiftKey 1 4 124 218 468 344
LShiftKey S 1 -2 218 124 156 -62
S P 1 -8 124 94 296 172
P E 0 7 94 62 203 109
E E 0 0 62 78 125 63
E C -2 0 78 78 374 296
C H 1 -3 78 110 218 140
H Space -2 2 110 109 172 62
Space A 2 3 109 78 608 499
A T 1 -4 78 93 110 32
T Space -3 1 93 94 140 47
Space LShiftKey 1 4 94 156 47 -47
LShiftKey S 1 -2 156 93 125 -31
S T 1 -3 93 109 109 16
T A -1 4 109 94 109 0
A N -1 -5 94 125 125 31
N F 1 2 125 78 281 156
F O 1 -5 78 78 140 62
O R 0 5 78 78 281 203
R D -1 1 78 78 140 62
D Space -2 -1 78 63 109 31
Space LShiftKey 1 4 63 109 94 31
LShiftKey U 2 -7 109 94 31 -78
U N -2 1 94 110 265 171
N I 2 -2 110 94 234 124
I V -2 4 94 94 250 156
V E 2 1 94 78 109 15
E R 0 -1 78 94 156 78
R S -1 2 94 63 187 93
S I 1 -6 63 94 125 62
I T 0 3 94 62 250 156
T Y 0 -1 62 109 140 78
Y Return -1 -6 109 63 1981 1872
Return LShiftKey -1 12 63 281 858 795
LShiftKey M 0 -7 281 109 110 -171
M Y 2 1 109 78 280 171
Y Space -3 2 78 62 141 63
Space T 3 -1 62 78 125 63
T H -1 -1 78 94 171 93
H I 1 -2 94 109 172 78
I R 0 4 109 63 296 187
R D -1 1 63 94 1061 998
D Space -2 -1 94 78 172 78
Space S 2 2 78 62 156 78
S T 1 -3 62 78 109 47
T O 0 -4 78 94 405 327
O R 0 5 94 47 390 296
R Y 0 -2 47 93 266 219
Y Space -3 2 93 125 514 421
Space I 3 -4 125 94 562 437
I S -1 6 94 63 187 93
S Space -2 -2 63 94 109 46
Space A 2 3 94 63 203 109
A B -1 -4 63 78 94 31
B O 2 -4 78 93 234 156
O U 0 2 93 78 234 141
U T 0 2 78 78 203 125
T Space -3 1 78 109 156 78
Space D 2 1 109 62 624 515
D E 1 0 62 78 156 94
E A -1 2 78 62 109 31
A T 1 -4 62 78 140 78
T H -1 -1 78 78 187 109
H OemPeriod -1 -3 78 78 1139 1061
OemPeriod Return 1 -3 78 94 1139 1061
Return LShiftKey -1 12 94 359 187 93
LShiftKey W 2 -2 359 125 265 -94
W H -1 -4 125 62 188 63
H E 1 3 62 78 156 94
E N -2 -3 78 93 156 78
N Space -1 2 93 78 187 94
Space LShiftKey 1 4 78 171 593 515
LShiftKey I 2 -8 171 94 93 -78
I Space -3 4 94 125 125 31
Space W 3 2 125 78 234 109
W A -1 1 78 46 172 94
A S 0 -1 46 78 171 125
S Space -2 -2 78 93 172 94
Space D1 4 3 93 109 1139 1046
D1 D7 0 -6 109 78 234 125
D7 Oemcomma -3 -1 78 63 405 327
Oemcomma Space -1 4 63 78 234 171
Space LShiftKey 1 4 78 156 796 718
LShiftKey I 2 -8 156 78 109 -47
I Space -3 4 78 78 140 62
Space R 3 0 78 78 219 141
R E 0 1 78 94 171 93
E A -1 2 94 78 125 31
A D 0 -2 78 62 94 16
D Space -2 -1 62 109 125 63
Space A 2 3 109 47 171 62
A Space -2 -3 47 78 125 78
Space Q 3 3 78 93 203 125
Q U 0 -6 93 78 156 63
U O 0 -2 78 109 203 125
O T 0 4 109 94 358 249
T E 0 2 94 78 141 47
E Space -3 -1 78 94 811 733
Space T 3 -1 94 93 281 187
T H -1 -1 93 109 187 94
