D9 D0 0 -1 0 78 312 312
D0 D3 0 7 78 125 951 873
D3 D5 0 -2 125 78 265 140
D5 Return -2 -7 78 125 4899 4821
Return Return 0 0 125 78 671 546
Return Capital 0 12 78 47 36316 36238
Capital S 0 -2 47 109 188 141
S Capital 0 2 109 110 202 93
Capital T 1 -5 110 93 188 78
T E 0 2 93 109 265 172
E V -2 -1 109 78 218 109
V E 2 1 78 125 125 47
E Space -3 -1 125 62 203 78
Space Capital 2 4 62 141 2355 2293
Capital J 0 -7 141 78 484 343
J Capital 0 7 78 125 187 109
Capital O 1 -9 125 93 375 250
O B -2 4 93 78 343 250
B Oem7 1 -6 78 62 827 749
Oem7 S 0 9 62 110 202 140
S Space -2 -2 110 125 437 327
Space C 1 1 125 109 2637 2512
C O 2 -6 109 78 624 515
O M -2 2 78 62 265 187
M M 0 0 62 47 171 109
M E 2 4 47 109 203 156
E N -2 -3 109 62 219 110
N C 0 3 62 94 296 234
C E 2 0 94 125 187 93
E M -2 -4 125 78 312 187
M E 2 4 78 110 187 109
E N -2 -3 110 63 203 93
N T 2 1 63 78 281 218
T Space -3 1 78 78 343 265
Space S 2 2 78 94 811 733
S P 1 -8 94 78 749 655
P E 0 7 78 78 265 187
E E 0 0 78 78 203 125
E C -2 0 78 109 312 234
C H 1 -3 109 78 234 125
H Space -2 2 78 109 1888 1810
Space A 2 3 109 125 608 499
A T 1 -4 125 78 265 140
T Space -3 1 78 78 328 250
Space Capital 2 4 78 78 1420 1342
Capital S 0 -2 78 78 468 390
S Capital 0 2 78 124 312 234
Capital T 1 -5 124 78 343 219
T A -1 4 78 109 203 125
A N -1 -5 109 63 483 374
N F 1 2 63 109 453 390
F O 1 -5 109 78 390 281
O R 0 5 78 94 327 249
R D -1 1 94 125 328 234
D Space -2 -1 125 94 265 140
Space Capital 2 4 94 78 1841 1747
Capital U 1 -7 78 78 390 312
U Capital -1 7 78 93 203 125
Capital N -1 -6 93 78 202 109
N I 2 -2 78 62 297 219
I V -2 4 62 63 327 265
V E 2 1 63 94 172 109
E R 0 -1 94 78 250 156
R S -1 2 78 125 265 187
S I 1 -6 125 62 203 78
I T 0 3 62 62 296 234
T Y 0 -1 62 78 187 125
Y Space -3 2 78 2293 6162 6084
Space Return 2 -8 2293 140 6615 4322
Return Capital 0 12 140 140 3541 3401
Capital M -1 -7 140 93 437 297
M Capital 1 7 93 125 218 125
Capital Y 1 -6 125 78 437 312
Y Space -3 2 78 94 483 405
Space T 3 -1 94 62 1982 1888
T H -1 -1 62 93 187 125
H I 1 -2 93 78 249 156
I R 0 4 78 78 312 234
R D -1 1 78 109 281 203
D Space -2 -1 109 94 234 125
Space S 2 2 94 78 234 140
S T 1 -3 78 78 390 312
T O 0 -4 78 78 359 281
O R 0 5 78 94 343 265
R Y 0 -2 94 62 172 78
Y Space -3 2 62 78 249 187
Space I 3 -4 78 62 297 219
I S -1 6 62 94 218 156
S Space -2 -2 94 94 203 109
Space A 2 3 94 109 203 109
A B -1 -4 109 62 234 125
B O 2 -4 62 78 468 406
O U 0 2 78 47 281 203
U T 0 2 47 63 249 202
T Space -3 1 63 78 234 171
Space D 2 1 78 93 219 141
D E 1 0 93 78 234 141
E A -1 2 78 141 249 171
A T 1 -4 141 78 203 62
T H -1 -1 78 78 234 156
H OemPeriod -1 -3 78 63 1201 1123
OemPeriod Return 1 -3 63 62 422 359
Return Return 0 0 62 63 436 374
Return Capital 0 12 63 109 2309 2246
Capital W 1 -2 109 94 359 250
W Capital -1 2 94 140 281 187
Capital H 0 -6 140 78 281 141
H E 1 3 78 140 265 187
E N -2 -3 140 78 249 109
N Space -1 2 78 78 234 156
Space Back 4 -9 78 47 1841 1763
Back Back 0 0 47 93 172 125
Back Back 0 0 93 78 203 110
Back Back 0 0 78 78 265 187
Back Back 0 0 78 62 234 156
Back Back 0 0 62 62 187 125
Back Capital -2 13 62 110 4040 3978
Capital W 1 -2 110 78 890 780
W Capital -1 2 78 125 280 202
Capital H 0 -6 125 78 890 765
H E 1 3 78 110 202 124
E N -2 -3 110 63 234 124
N Space -1 2 63 93 188 125
Space Capital 2 4 93 109 218 125
Capital I 1 -8 109 93 172 63
I Capital -1 8 93 125 187 94
Capital Space -2 -4 125 94 218 93
Space W 3 2 94 93 172 78
W A -1 1 93 109 234 141
A S 0 -1 109 94 265 156
S Space -2 -2 94 62 234 140
Space D1 4 3 62 94 499 437
D1 D7 0 -6 94 62 406 312
