D9 D2 0 7 30 60 520 490
D2 D4 0 -2 60 110 240 180
D4 D8 0 -4 110 70 150 40
D8 LShiftKey -3 8 70 60 40688 40618
LShiftKey M 0 -7 60 30 0 -60
M T 2 2 30 100 230 200
T Space -3 1 100 100 200 100
Space Back 4 -9 100 50 1140 1040
Back Back 0 0 50 90 110 60
Back Y -1 7 90 100 340 250
Y Space -3 2 100 30 130 30
Space T 3 -1 30 90 1410 1380
T H -1 -1 90 140 70 -20
H I 1 -2 140 140 80 -60
I R 0 4 140 90 120 -20
R D -1 1 90 50 490 400
D Space -2 -1 50 102 140 90
Space S 2 2 102 70 712 610
S T 1 -3 70 100 350 280
T O 0 -4 100 90 150 50
O Y 0 3 90 120 270 180
Y Space -3 2 120 60 130 10
Space I 3 -4 60 60 172 112
I S -1 6 60 110 130 70
S Space -2 -2 110 60 150 40
Space A 2 3 60 84 138 78
A B -1 -4 84 120 134 50
B O 2 -4 120 220 140 20
O U 0 2 220 102 180 -40
U T 0 2 102 20 142 40
T Space -3 1 20 80 1220 1200
Space D 2 1 80 120 540 460
D E 1 0 120 200 90 -30
E A -1 2 200 150 160 -40
A T 1 -4 150 80 180 30
T H -1 -1 80 120 180 100
H R 1 2 120 113 3780 3660
R OemPeriod -2 -5 113 50 3053 2940
OemPeriod Return 1 -3 50 50 420 370
Return Return 0 0 50 70 80 30
Return Back 2 -1 70 50 1800 1730
Back Return -2 1 50 40 1160 1110
Return LShiftKey -1 12 40 270 140 100
LShiftKey W 2 -2 270 80 180 -90
W H -1 -4 80 60 270 190
H E 1 3 60 120 80 20
E N -2 -3 120 100 180 60
N Space -1 2 100 60 200 100
Space I 3 -4 60 30 440 380
I Back 1 -5 30 72 370 340
Back LShiftKey -3 13 72 120 372 300
LShiftKey I 2 -8 120 80 50 -70
I Space -3 4 80 90 200 120
Space W 3 2 90 140 140 50
W A -1 1 140 210 130 -10
A S 0 -1 210 150 150 -60
S Space -2 -2 150 70 110 -40
Space D1 4 3 70 100 770 700
D1 D7 0 -6 100 70 150 50
D7 Oemcomma -3 -1 70 90 1040 970
Oemcomma Space -1 4 90 40 340 250
Space LShiftKey 1 4 40 110 260 220
LShiftKey I 2 -8 110 50 90 -20
I Space -3 4 50 60 210 160
Space R 3 0 60 120 140 80
R E 0 1 120 100 90 -30
E A -1 2 100 180 170 70
A D 0 -2 180 140 160 -20
D Space -2 -1 140 80 220 80
Space A 2 3 80 130 300 220
A Space -2 -3 130 70 150 20
Space Q 3 3 70 80 380 310
Q U 0 -6 80 150 150 70
U O 0 -2 150 132 120 -30
O T 0 4 132 90 282 150
T E 0 2 90 150 100 10
E Space -3 -1 150 120 250 100
Space T 3 -1 120 90 540 420
T A -1 4 90 80 150 60
A H 0 -5 80 80 30 -50
H T 1 1 80 82 210 130
T Space -3 1 82 60 712 630
Space Back 4 -9 60 60 360 300
Back Back 0 0 60 80 130 70
Back Back 0 0 80 80 120 40
Back Back 0 0 80 60 150 70
Back H -2 7 60 110 500 440
H A 0 5 110 50 140 30
A T 1 -4 50 67 65 15
T W 0 3 67 160 287 220
W Back 1 -11 160 30 400 240
Back Space -4 9 30 60 220 190
Space W 3 2 60 130 160 100
W E 0 -1 130 100 120 -10
E N -2 -3 100 80 980 880
N T 2 1 80 100 100 20
T Space -3 1 100 60 130 30
Space S 2 2 60 40 1300 1240
S O 1 -7 40 170 50 10
O M -2 2 170 150 110 -60
M E 2 4 150 110 90 -60
E T 0 -2 110 140 250 140
T H -1 -1 140 140 60 -80
H I 1 -2 140 200 100 -40
I N -2 2 200 150 110 -90
N F 1 2 150 82 130 -20
F Space -2 0 82 100 102 20
Space L 2 -5 100 80 250 150
L I 1 1 80 80 220 140
I K -1 0 80 140 160 80
K E 1 5 140 110 120 -20
E Left -3 -8 110 90 3330 3220
Left Back 4 -2 90 90 930 840
Back G -2 8 90 150 50 -40
G Right -2 -8 150 100 550 400
Right Right 0 0 100 80 140 40
Right Right 0 0 80 20 160 80
Right Right 0 0 20 30 110 90
Right Right 0 0 30 50 130 100
Right RShiftKey 1 2 50 230 1770 1720
RShiftKey Oem1 1 1 230 90 110 -120
Oem1 Space -2 6 90 50 320 230
Space RShiftKey 1 -7 50 190 480 430
RShiftKey Oem7 1 0 190 80 100 -90
Oem7 LShiftKey -1 11 80 100 580 500
LShiftKey I 2 -8 100 70 50 -50
I F -1 4 70 90 420 350
F Space -2 0 90 70 270 180
Space Y 3 -2 70 130 370 300
Y O 0 -3 130 200 90 -40
O U 0 2 200 100 140 -60
U Space -3 3 100 72 120 20
Space L 2 -5 72 120 142 70
L I 1 1 120 130 220 100
I V -2 4 130 150 110 -20
V E 2 1 150 110 90 -60
E Space -3 -1 110 110 180 70
Space E 3 1 110 160 810 700
E A -1 2 160 160 150 -10
A C -1 -2 160 100 150 -10
C H 1 -3 100 90 150 50
H Space -2 2 90 82 110 20
Space D 2 1 82 150 262 180
D A 0 2 150 130 100 -50
A Y 1 -5 130 92 170 40
Y Space -3 2 92 90 482 390
Space A 2 3 90 110 280 190
A S 0 -1 110 150 60 -50
S Space -2 -2 150 80 190 40
Space I 3 -4 80 130 250 170
I F -1 4 130 60 120 -10
F Space -2 0 60 82 110 50
Space I 3 -4 82 110 202 120
I T 0 3 110 120 110 0
T Space -3 1 120 80 170 50
Space W 3 2 80 110 800 720
W A -1 1 110 210 100 -10
A S 0 -1 210 112 160 -50
S Space -2 -2 112 102 122 10
Space Y 3 -2 102 110 412 310
Y O 0 -3 110 210 90 -20
O U 0 2 210 100 150 -60
U R 0 3 100 90 150 50
R L -1 -5 90 100 170 80
L Space -2 5 100 90 140 40
Space L 2 -5 90 80 110 20
L A 0 8 80 160 220 140
A S 0 -1 160 120 60 -100
S T 1 -3 120 60 200 80
T Oemcomma -2 -3 60 60 1290 1230
Oemcomma Space -1 4 60 60 70 10
Space S 2 2 60 110 240 180
S O 1 -7 110 220 60 -50
O M -2 2 220 140 150 -70
M E 2 4 140 112 100 -40
E D -1 0 112 150 212 100
D A 0 2 150 130 120 -30
A Y 1 -5 130 80 480 350
Y Space -3 2 80 70 320 240
Space O 3 -5 70 182 480 410
O Oemplus 1 -3 182 110 542 360
Oemplus Back 0 -1 110 70 840 730
Back Back 0 0 70 110 130 60
Back Y -1 7 110 120 450 340
Y O 0 -3 120 180 90 -30
O U 0 2 180 60 140 -40
U Oem7 -1 -4 60 70 300 240
Oem7 L 0 2 70 50 240 170
L L 0 0 50 60 110 60
L Space -2 5 60 70 1470 1410
Space M 1 -3 70 70 470 400
M O 2 -2 70 100 150 80
O S -1 7 100 80 120 20
S T 1 -3 80 60 590 510
T Space -3 1 60 70 100 40
Space C 1 1 70 70 240 170
C D 1 0 70 80 100 30
D E 1 0 80 270 620 540
