D9 D6 0 3 172 141 749 577
D6 D4 0 2 141 172 234 93
D4 D5 0 -1 172 109 234 62
D5 Return -2 -7 109 94 936 827
Return LShiftKey -1 12 94 702 15226 15132
LShiftKey W 2 -2 702 156 515 -187
W H -1 -4 156 109 218 62
H E 1 3 109 109 874 765
E N -2 -3 109 78 171 62
N Space -1 2 78 109 203 125
Space LShiftKey 1 4 109 203 312 203
LShiftKey I 2 -8 203 109 109 -94
I Space -3 4 109 140 297 188
Space W 3 2 140 109 639 499
W A -1 1 109 109 250 141
A S 0 -1 109 78 218 109
S Space -2 -2 78 140 94 16
Space D1 4 3 140 110 405 265
D1 D7 0 -6 110 109 344 234
D7 Oemcomma -3 -1 109 94 1466 1357
Oemcomma Space -1 4 94 125 218 124
Space LShiftKey 1 4 125 203 219 94
LShiftKey I 2 -8 203 78 156 -47
I Space -3 4 78 93 281 203
Space R 3 0 93 93 156 63
R E 0 1 93 94 202 109
E A -1 2 94 141 312 218
A D 0 -2 141 109 328 187
D Space -2 -1 109 125 234 125
Space A 2 3 125 78 530 405
A Space -2 -3 78 109 110 32
Space Q 3 3 109 109 327 218
Q U 0 -6 109 94 359 250
U O 0 -2 94 93 250 156
O T 0 4 93 78 156 63
T E 0 2 78 110 202 124
E Space -3 -1 110 109 203 93
Space T 3 -1 109 78 687 578
T H -1 -1 78 94 124 46
H A 0 5 94 125 172 78
A T 1 -4 125 94 78 -47
T Space -3 1 94 109 234 140
Space W 3 2 109 93 125 16
W E 0 -1 93 78 218 125
E N -2 -3 78 78 125 47
N T 2 1 78 78 172 94
T Space -3 1 78 125 171 93
Space S 2 2 125 94 702 577
S O 1 -7 94 62 141 47
O M -2 2 62 94 202 140
M E 2 4 94 78 63 -31
E T 0 -2 78 78 249 171
T H -1 -1 78 94 94 16
H I 1 -2 94 78 203 109
I N -2 2 78 93 203 125
N G 1 1 93 78 78 -15
G Space -2 1 78 94 93 15
Space L 2 -5 94 141 234 140
L I 1 1 141 78 250 109
I K -1 0 78 94 171 93
K E 1 5 94 109 141 47
E RShiftKey -2 -8 109 515 858 749
RShiftKey Oem1 1 1 515 125 327 -188
Oem1 Space -2 6 125 125 172 47
