D5 D0 0 -5 125 78 234 109
D0 D1 0 9 78 140 437 359
D1 D6 0 -5 140 94 265 125
D6 Back 0 -7 94 62 1779 1685
Back Back 0 0 62 63 171 109
Back Back 0 0 63 78 156 93
Back Back 0 0 78 78 390 312
Back D9 0 4 78 78 796 718
D9 D9 0 0 78 78 171 93
D9 D9 0 0 78 94 156 78
D9 D7 0 2 94 78 250 156
D7 LShiftKey -3 7 78 281 26270 26192
LShiftKey W 2 -2 281 78 234 -47
W H -1 -4 78 94 515 437
H E 1 3 94 78 172 78
E N -2 -3 78 78 156 78
N Space -1 2 78 109 281 203
Space LShiftKey 1 4 109 234 296 187
LShiftKey I 2 -8 234 109 125 -109
I Space -3 4 109 94 265 156
Space W 3 2 94 110 62 -32
W A -1 1 110 78 250 140
A S 0 -1 78 63 187 109
S Space -2 -2 63 78 125 62
Space D1 4 3 78 140 172 94
D1 D7 0 -6 140 94 218 78
D7 Oemcomma -3 -1 94 78 1310 1216
Oemcomma Space -1 4 78 78 234 156
Space LShiftKey 1 4 78 234 110 32
LShiftKey I 2 -8 234 93 187 -47
I Space -3 4 93 63 249 156
Space R 3 0 63 110 234 171
R E 0 1 110 94 203 93
E A -1 2 94 94 109 15
A D 0 -2 94 78 156 62
D Space -2 -1 78 78 266 188
Space A 2 3 78 93 187 109
A Space -2 -3 93 94 140 47
Space Q 3 3 94 78 156 62
Q U 0 -6 78 94 312 234
U O 0 -2 94 78 281 187
O T 0 4 78 94 312 234
T E 0 2 94 78 140 46
E Space -3 -1 78 94 203 125
Space T 3 -1 94 94 390 296
T H -1 -1 94 109 203 109
H A 0 5 109 93 94 -15
A T 1 -4 93 78 140 47
T Space -3 1 78 94 218 140
Space W 3 2 94 93 141 47
W E 0 -1 93 47 249 156
E N -2 -3 47 109 125 78
N T 2 1 109 78 265 156
T Space -3 1 78 78 765 687
Space S 2 2 78 109 156 78
S O 1 -7 109 78 203 94
O M -2 2 78 125 265 187
M E 2 4 125 93 156 31
E T 0 -2 93 93 203 110
T H -1 -1 93 93 187 94
H I 1 -2 93 94 218 125
I N -2 2 94 109 203 109
N G 1 1 109 93 203 94
G Space -2 1 93 93 234 141
Space L 2 -5 93 78 483 390
L I 1 1 78 78 219 141
I K -1 0 78 94 171 93
K E 1 5 94 94 78 -16
E RShiftKey -2 -8 94 375 312 218
RShiftKey Oem1 1 1 375 140 250 -125
Oem1 Space -2 6 140 94 343 203
Space RShiftKey 1 -7 94 359 437 343
RShiftKey Oem7 1 0 359 140 234 -125
Oem7 LShiftKey -1 11 140 250 312 172
LShiftKey I 2 -8 250 93 172 -78
I F -1 4 93 93 265 172
F Space -2 0 93 94 249 156
Space Y 3 -2 94 78 640 546
Y O 0 -3 78 109 250 172
O U 0 2 109 78 218 109
U Space -3 3 78 78 234 156
Space L 2 -5 78 94 218 140
L I 1 1 94 78 203 109
I V -2 4 78 109 250 172
V E 2 1 109 78 125 16
E Space -3 -1 78 78 140 62
Space E 3 1 78 78 484 406
E A -1 2 78 93 109 31
A C -1 -2 93 78 156 63
C H 1 -3 78 94 249 171
H Space -2 2 94 78 234 140
Space D 2 1 78 78 203 125
D A 0 2 78 94 109 31
A Y 1 -5 94 94 172 78
Y Space -3 2 94 78 265 171
Space A 2 3 78 93 375 297
A S 0 -1 93 78 234 141
S Space -2 -2 78 110 124 46
Space I 3 -4 110 93 266 156
I F -1 4 93 78 312 219
F Space -2 0 78 62 218 140
Space I 3 -4 62 78 218 156
I T 0 3 78 78 250 172
T Space -3 1 78 94 218 140
Space W 3 2 94 124 344 250
W A -1 1 124 125 327 203
A S 0 -1 125 63 234 109
S Space -2 -2 63 78 156 93
Space Y 3 -2 78 78 265 187
Y O 0 -3 78 94 281 203
O U 0 2 94 94 203 109
U R 0 3 94 78 218 124
R Space -3 0 78 93 219 141
Space L 2 -5 93 93 281 188
L A 0 8 93 93 156 63
A S 0 -1 93 94 202 109
S T 1 -3 94 109 141 47
T Oemcomma -2 -3 109 78 749 640
Oemcomma Space -1 4 78 93 234 156
Space S 2 2 93 78 670 577
S O 1 -7 78 78 312 234
O M -2 2 78 78 219 141
M E 2 4 78 94 62 -16
E D -1 0 94 78 250 156
D A 0 2 78 93 234 156
A Y 1 -5 93 94 140 47
Y Space -3 2 94 78 312 218
Space Y 3 -2 78 94 593 515
Y O 0 -3 94 125 281 187
O U 0 2 125 78 218 93
U Oem7 -1 -4 78 93 484 406
Oem7 L 0 2 93 93 3011 2918
L L 0 0 93 93 125 32
L Space -2 5 93 78 234 141
Space M 1 -3 78 94 171 93
M O 2 -2 94 94 203 109
O S -1 7 94 94 140 46
S T 1 -3 94 78 219 125
T Space -3 1 78 78 343 265
Space C 1 1 78 94 702 624
C E 2 0 94 78 125 31
E R 0 -1 78 94 140 62
R T 0 -1 94 109 172 78
T A -1 4 109 78 125 16
A I 1 -7 78 94 202 124
I N -2 2 94 78 234 140
N L 1 -3 78 94 234 156
L Y 1 3 94 93 266 172
Y Space -3 2 93 78 733 640
Space B 1 -1 78 78 327 249
B E 2 2 78 78 578 500
E Space -3 -1 78 78 156 78
Space R 3 0 78 78 249 171
R I 0 -4 78 78 421 343
I G -1 3 78 78 234 156
G H 0 -1 78 93 188 110
H T 1 1 93 78 234 141
T OemPeriod -2 -4 78 63 1138 1060
OemPeriod RShiftKey 0 -2 63 405 266 203
