D9 D2 0 7 0 125 297 297
D2 D7 0 -5 125 63 327 202
D7 D1 0 6 63 94 203 140
D1 Return -2 -11 94 47 1326 1232
Return Return 0 0 47 94 655 608
Return RShiftKey -1 1 94 359 13401 13307
RShiftKey W 2 9 359 109 296 -63
W H -1 -4 109 62 297 188
H E 1 3 62 94 124 62
E N -2 -3 94 46 110 16
N Space -1 2 46 110 124 78
Space RShiftKey 1 -7 110 188 468 358
RShiftKey RShiftKey 0 0 188 499 500 312
RShiftKey I 2 3 499 63 436 -63
I Space -3 4 63 156 94 31
Space W 3 2 156 78 78 -78
W A -1 1 78 188 62 -16
A S 0 -1 188 125 141 -47
S Space -2 -2 125 78 125 0
Space D1 4 3 78 109 764 686
D1 D7 0 -6 109 46 172 63
D7 Oemcomma -3 -1 46 63 327 281
Oemcomma Space -1 4 63 110 109 46
Space RShiftKey 1 -7 110 203 156 46
RShiftKey I 2 3 203 78 141 -62
I Space -3 4 78 141 93 15
Space R 3 0 141 125 125 -16
R E 0 1 125 109 141 16
E A -1 2 109 172 140 31
A D 0 -2 172 109 187 15
D Space -2 -1 109 109 219 110
Space A 2 3 109 156 1404 1295
A Space -2 -3 156 109 140 -16
Space Q 3 3 109 110 140 31
Q U 0 -6 110 47 468 358
U O 0 -2 47 78 188 141
O T 0 4 78 78 93 15
T E 0 2 78 94 156 78
E Space -3 -1 94 141 78 -16
Space T 3 -1 141 125 109 -32
T H -1 -1 125 109 188 63
H A 0 5 109 172 124 15
A T 1 -4 172 125 94 -78
T Space -3 1 125 125 109 -16
Space W 3 2 125 62 250 125
W E 0 -1 62 109 452 390
E N -2 -3 109 78 156 47
N T 2 1 78 125 94 16
T Space -3 1 125 109 109 -16
Space S 2 2 109 125 312 203
S O 1 -7 125 62 125 0
O M -2 2 62 78 187 125
M E 2 4 78 94 62 -16
E T 0 -2 94 93 110 16
T H -1 -1 93 62 78 -15
H I 1 -2 62 78 171 109
I N -2 2 78 78 156 78
N G 1 1 78 124 63 -15
G Space -2 1 124 78 124 0
Space L 2 -5 78 78 172 94
L I 1 1 78 62 203 125
I U 0 1 62 32 15 -47
U K -1 -1 32 62 172 140
K E 1 5 62 94 187 125
E Back 1 -10 94 78 765 671
Back Back 0 0 78 93 156 78
Back Back 0 0 93 78 171 78
Back K -2 5 78 78 702 624
K E 1 5 78 109 125 47
E RShiftKey -2 -8 109 234 296 187
RShiftKey Oem1 1 1 234 78 141 -93
Oem1 Space -2 6 78 109 546 468
Space RShiftKey 1 -7 109 390 624 515
RShiftKey Oem7 1 0 390 93 312 -78
Oem7 RShiftKey -1 0 93 297 218 125
RShiftKey I 2 3 297 62 250 -47
I F -1 4 62 110 171 109
F Space -2 0 110 125 141 31
Space Y 3 -2 125 109 234 109
Y O 0 -3 109 62 125 16
O U 0 2 62 62 187 125
U Space -3 3 62 78 125 63
Space L 2 -5 78 46 546 468
L I 1 1 46 47 187 141
I V -2 4 47 62 78 31
V E 2 1 62 124 125 63
E Space -3 -1 124 141 93 -31
Space A 2 3 141 187 125 -16
A E 1 -2 187 63 31 -156
E C -2 0 63 125 546 483
C H 1 -3 125 62 219 94
H Back 2 -7 62 110 280 218
Back Back 0 0 110 110 156 46
Back Back 0 0 110 78 172 62
Back Back 0 0 78 109 156 78
Back E -1 10 109 125 203 94
E A -1 2 125 156 93 -32
A C -1 -2 156 109 188 32
C H 1 -3 109 63 280 171
H Space -2 2 63 125 125 62
Space D 2 1 125 140 250 125
D A 0 2 140 125 156 16
A Y 1 -5 125 78 171 46
Y Space -3 2 78 109 609 531
Space A 2 3 109 156 140 31
A S 0 -1 156 109 141 -15
S Space -2 -2 109 62 156 47
Space I 3 -4 62 63 93 31
I F -1 4 63 125 94 31
F Space -2 0 125 109 125 0
Space I 3 -4 109 63 202 93
I T 0 3 63 109 94 31
T Space -3 1 109 125 140 31
Space W 3 2 125 140 94 -31
W S -1 0 140 124 328 188
S Back 2 -11 124 46 1404 1280
Back S -2 11 46 156 140 94
S Space -2 -2 156 124 172 16
Space Y 3 -2 124 125 124 0
Y O 0 -3 125 63 125 0
O U 0 2 63 47 203 140
U R 0 3 47 125 109 62
R Space -3 0 125 140 125 0
Space Back 4 -9 140 63 343 203
Back Back 0 0 63 62 141 78
Back Back 0 0 62 62 156 94
Back Back 0 0 62 62 156 94
Back Back 0 0 62 47 171 109
Back Back 0 0 47 47 172 125
Back Back 0 0 47 62 156 109
Back A -2 12 62 172 171 109
A S 0 -1 172 124 110 -62
S Space -2 -2 124 63 249 125
Space Y 3 -2 63 125 281 218
Y O 0 -3 125 63 187 62
O U 0 2 63 63 234 171
U R 0 3 63 141 78 15
R Space -3 0 141 125 109 -32
Space L 2 -5 125 78 156 31
L A 0 8 78 125 94 16
A S 0 -1 125 125 62 -63
S T 1 -3 125 109 141 16
