ID Sex
001	M
002	M
003	F
004	M
005	M
006	M
007	F
008	F
009	M
010	M
011	F
012	M
013	F
014	M
015	M
016	M
017	M
018	F
019	M
020	F
021	F
022	M
023	M
024	M
025	M
026	M
027	M
028	M
029	M
030	M
031	M
032	F
033	M
034	F
035	M
036	M
037	M
038	M
039	M
040	M
041	M
042	M
043	F
044	M
045	M
046	M
047	M
048	M
049	F
050	M
051	M
052	M
053	M
054	M
055	M
056	M
057	M
058	M
059	M
060	M
061	M
062	F
063	F
064	M
065	M
066	M
067	M
068	M
069	M
070	M
071	M
072	F
073	M
074	M
075	M
076	M
077	M
078	M
079	M
080	M
081	M
082	M
083	M
084	M
085	M
086	M
087	M
088	M
089	M
090	F
091	M
092	M
093	M
094	M
095	F
096	F
097	M
098	F
099	F
100	M
101	M
102	F
103	F
104	M
105	M
106	F
107	M
108	F
109	F
110	M
111	M
112	M
113	M
114	M
115	F
116	F
117	F
118	M
119	M
120	M
121	M
122	M
123	F
124	M
125	M
126	M
127	M
128	M
129	M
130	M
131	M
132	M
133	M
134	F
135	F
136	M
137	F
138	M
139	M
140	M
141	F
142	M
143	M
144	M
145	F
146	M
147	M
148	F
