D9 D6 0 3 31 125 452 421
D6 D4 0 2 125 78 297 172
D4 D5 0 -1 78 109 234 156
D5 Return -2 -7 109 47 1887 1778
Return LShiftKey -1 12 47 219 34819 34772
LShiftKey M 0 -7 219 94 94 -125
M Y 2 1 94 94 468 374
Y Space -3 2 94 125 265 171
Space S 2 2 125 125 187 62
S E 1 -1 125 109 250 125
E C -2 0 109 94 967 858
C O 2 -6 94 78 156 62
O N -2 3 78 94 546 468
N D 1 3 94 63 343 249
D Space -2 -1 63 94 94 31
Space S 2 2 94 109 234 140
S T 1 -3 109 93 406 297
T O 0 -4 93 109 265 172
O R 0 5 109 125 171 62
R Y 0 -2 125 62 172 47
Y Space -3 2 62 78 250 188
Space I 3 -4 78 93 234 156
I S -1 6 93 109 156 63
S Space -2 -2 109 109 140 31
Space A 2 3 109 110 140 31
A B -1 -4 110 172 156 46
B O 2 -4 172 141 390 218
O U 0 2 141 78 266 125
U T 0 2 78 78 140 62
T Space -3 1 78 94 140 62
Space L 2 -5 94 62 250 156
L O 1 0 62 78 359 297
O V -2 5 78 124 203 125
V E 2 1 124 93 234 110
E Space -3 -1 93 140 140 47
Space A 2 3 140 140 234 94
A N -1 -5 140 124 94 -46
N Space -1 2 124 141 327 203
Space D 2 1 141 125 31 -110
D Back 2 -10 125 78 1342 1217
Back Back 0 0 78 78 187 109
Back D -2 10 78 78 250 172
D Space -2 -1 78 94 140 62
Space L 2 -5 94 62 281 187
L O 1 0 62 78 250 188
O S -1 7 78 78 124 46
S S 0 0 78 109 188 110
S OemPeriod -1 -7 109 78 858 749
OemPeriod Return 1 -3 78 62 265 187
Return LShiftKey -1 12 62 203 1575 1513
LShiftKey I 2 -8 203 63 125 -78
I Space -3 4 63 140 250 187
Space W 3 2 140 109 156 16
W A -1 1 109 78 218 109
A S 0 -1 78 109 203 125
S Space -2 -2 109 140 312 203
Space L 2 -5 140 78 640 500
L U 1 2 78 63 249 171
U C -2 4 63 109 141 78
C K 1 -5 109 62 156 47
K Y 1 2 62 110 280 218
Y Space -3 2 110 125 1233 1123
Space OemMinus 4 -7 125 78 187 62
OemMinus Space -4 7 78 156 94 16
Space LShiftKey 1 4 156 266 1216 1060
LShiftKey I 2 -8 266 62 219 -47
I Space -3 4 62 125 249 187
Space F 2 0 125 94 156 31
F O 1 -5 94 78 188 94
O U 0 2 78 78 218 140
U N -2 1 78 94 218 140
N D 1 3 94 94 203 109
D Space -2 -1 94 141 78 -16
Space W 3 2 141 156 187 46
W H -1 -4 156 141 281 125
H A 0 5 141 156 125 -16
A T 1 -4 156 62 671 515
T Space -3 1 62 110 249 187
Space I 3 -4 110 93 266 156
I Space -3 4 93 125 187 94
Space L 2 -5 125 110 171 46
L O 1 0 110 94 203 93
O V -2 5 94 109 281 187
V E 2 1 109 171 203 94
E D -1 0 171 93 312 141
D Space -2 -1 93 125 140 47
Space T 3 -1 125 78 577 452
T O 0 -4 78 62 110 32
O Space -3 5 62 93 234 172
Space D 2 1 93 62 109 16
D O 1 -6 62 63 249 187
O Space -3 5 63 110 234 171
Space E 3 1 110 78 125 15
E A -1 2 78 78 234 156
A R 1 -3 78 94 265 187
R L -1 -5 94 63 125 31
L Y 1 3 63 78 297 234
Y Space -3 2 78 94 218 140
Space I 3 -4 94 62 250 156
I N -2 2 62 63 249 187
N Space -1 2 63 94 203 140
Space L 2 -5 94 78 421 327
L I 1 1 78 62 219 141
I F -1 4 62 109 218 156
F E 1 1 109 94 218 109
E OemPeriod -2 -6 94 63 1139 1045
OemPeriod Space -1 5 63 125 250 187
Space LShiftKey 1 4 125 203 109 -16
LShiftKey W 2 -2 203 93 125 -78
W O 0 -7 93 78 156 63
O Z -2 8 78 156 452 374
Z Space -1 -3 156 172 187 31
Space A 2 3 172 109 734 562
A N -1 -5 109 94 140 31
N D 1 3 94 125 140 46
D Space -2 -1 125 141 125 0
Space LShiftKey 1 4 141 421 250 109
LShiftKey I 2 -8 421 93 312 -109
I Space -3 4 93 141 296 203
Space S 2 2 141 94 437 296
S T 1 -3 94 78 109 15
T A -1 4 78 94 109 31
A R 1 -3 94 63 156 62
R T 0 -1 63 63 203 140
T E 0 2 63 109 78 15
E D -1 0 109 109 219 110
D Space -2 -1 109 125 93 -16
Space A 2 3 125 156 281 156
A Back 2 -12 156 78 468 312
Back LShiftKey -3 13 78 452 281 203
LShiftKey A 1 -1 452 125 343 -109
A O 1 -8 125 63 218 93
O Back 1 -4 63 62 1046 983
Back P -1 3 62 62 452 390
P P 0 0 62 63 140 78
P L -1 1 63 94 203 140
L E 1 6 94 94 281 187
E Space -3 -1 94 124 172 78
Space I 3 -4 124 78 951 827
I N -2 2 78 62 219 141
N Space -1 2 62 62 187 125
Space M 1 -3 62 109 187 125
M Y 2 1 109 78 281 172
Y Space -3 2 78 78 249 171
Space P 3 -6 78 78 500 422
P A -1 9 78 141 358 280
A R 1 -3 141 110 156 15
R E 0 1 110 109 172 62
E N -2 -3 109 125 218 109
