D9 D6 0 3 0 62 375 375
D6 D4 0 2 62 78 437 375
D4 D7 0 -3 78 62 421 343
D7 LShiftKey -3 7 62 63 53383 53321
LShiftKey M 0 -7 63 31 0 -63
M Y 2 1 31 78 156 125
Y Space -3 2 78 94 7753 7675
Space S 2 2 94 47 312 218
S E 1 -1 47 63 156 109
E R 0 -1 63 31 16 -47
R C -2 1 31 78 156 125
C I 2 -5 78 62 281 203
I Back 1 -5 62 62 1919 1857
Back O -1 4 62 47 374 312
O N -2 3 47 62 156 109
N D 1 3 62 93 125 63
D Space -2 -1 93 62 78 -15
Space S 2 2 62 78 203 141
S T 1 -3 78 78 546 468
T O 0 -4 78 63 124 46
O R 0 5 63 94 172 109
R Y 0 -2 94 78 125 31
Y Space -3 2 78 78 156 78
Space I 3 -4 78 78 187 109
I S -1 6 78 94 109 31
S Space -2 -2 94 47 109 15
Space A 2 3 47 109 94 47
A B -1 -4 109 94 78 -31
B O 2 -4 94 63 187 93
O U 0 2 63 78 156 93
U T 0 2 78 78 94 16
T Space -3 1 78 47 109 31
Space L 2 -5 47 47 203 156
L O 1 0 47 63 140 93
O V -2 5 63 109 141 78
V E 2 1 109 78 124 15
E Space -3 -1 78 62 110 32
Space A 2 3 62 94 93 31
A N -1 -5 94 63 78 -16
N D 1 3 63 109 94 31
D Space -2 -1 109 78 62 -47
Space L 2 -5 78 47 1264 1186
L K 0 1 47 16 15 -32
K O 1 -1 16 63 78 62
O OemMinus 1 -2 63 16 1030 967
OemMinus Back 0 -2 16 46 1186 1170
Back Back 0 0 46 63 124 78
Back Back 0 0 63 63 281 218
Back O -1 4 63 62 609 546
O S -1 7 62 62 140 78
S S 0 0 62 78 156 94
S Left -2 -9 78 1436 1388 1310
Left Right 0 -2 1436 78 1841 405
Right Back 4 0 78 62 952 874
Back Back 0 0 62 62 156 94
Back Back 0 0 62 63 140 78
Back Back 0 0 63 78 125 62
Back Back 0 0 78 62 156 78
Back C -3 10 62 78 764 702
C O 2 -6 78 47 156 78
O N -2 3 47 47 203 156
N D 1 3 47 63 109 62
D Right -2 -10 63 1373 1170 1107
Right Right 0 0 1373 47 1638 265
Right OemPeriod 1 4 47 62 1826 1779
OemPeriod Return 1 -3 62 46 1170 1108
Return I 1 4 46 47 1731 1685
I Space -3 4 47 94 359 312
Space W 3 2 94 47 359 265
W Back 1 -11 47 62 967 920
Back Back 0 0 62 78 125 63
Back Back 0 0 78 78 296 218
Back LShiftKey -3 13 78 343 328 250
LShiftKey I 2 -8 343 78 218 -125
I Space -3 4 78 78 203 125
Space W 3 2 78 78 94 16
W A -1 1 78 172 93 15
A S 0 -1 172 109 94 -78
S Space -2 -2 109 62 125 16
Space L 2 -5 62 46 1404 1342
L U 1 2 46 63 171 125
U C -2 4 63 62 172 109
C K 1 -5 62 63 93 31
K Y 1 2 63 47 250 187
Y Space -3 2 47 47 1139 1092
Space OemMinus 4 -7 47 62 125 78
OemMinus Space -4 7 62 62 218 156
Space I 3 -4 62 63 218 156
I Space -3 4 63 63 234 171
Space D 2 1 63 46 344 281
D Back 2 -10 46 47 982 936
Back Back 0 0 47 78 1046 999
Back Back 0 0 78 47 171 93
Back LShiftKey -3 13 47 203 796 749
LShiftKey I 2 -8 203 63 140 -63
I Space -3 4 63 63 187 124
Space F 2 0 63 62 188 125
F O 1 -5 62 78 78 16
O I 0 1 78 47 140 62
I N -2 2 47 63 140 93
N D 1 3 63 47 94 31
D Back 2 -10 47 31 1435 1388
Back Back 0 0 31 62 219 188
Back Back 0 0 62 78 156 94
Back U -1 6 78 78 1014 936
U N -2 1 78 78 171 93
N D 1 3 78 93 141 63
D Space -2 -1 93 62 109 16
Space W 3 2 62 94 1232 1170
W H -1 -4 94 78 109 15
H A 0 5 78 125 172 94
A T 1 -4 125 93 172 47
T Space -3 1 93 78 109 16
Space I 3 -4 78 63 218 140
I Oemplus 1 -4 63 63 390 327
Oemplus Back 0 -1 63 31 765 702
Back Back 0 0 31 78 93 62
Back LShiftKey -3 13 78 390 406 328
LShiftKey I 2 -8 390 78 281 -109
I Space -3 4 78 78 202 124
Space L 2 -5 78 78 1373 1295
L O 1 0 78 63 156 78
