D9 D7 0 2 16 125 281 265
D7 D5 0 2 125 125 452 327
D5 D8 0 -3 125 62 172 47
D8 Return -2 -4 62 32 3057 2995
Return Capital 0 12 32 32 25662 25630
Capital M -1 -7 32 109 110 78
M Capital 1 7 109 78 202 93
Capital Y 1 -6 78 63 203 125
Y Space -3 2 63 78 265 202
Space S 2 2 78 125 843 765
S E 1 -1 125 78 1357 1232
E C -2 0 78 94 218 140
C I 2 -5 94 31 250 156
I Back 1 -5 31 62 796 765
Back O -1 4 62 78 374 312
O N -2 3 78 62 328 250
N D 1 3 62 109 421 359
D Space -2 -1 109 94 421 312
Space S 2 2 94 110 608 514
S T 1 -3 110 94 406 296
T O 0 -4 94 78 250 156
O R 0 5 78 109 156 78
R Y 0 -2 109 78 187 78
Y Space -3 2 78 109 187 109
Space I 3 -4 109 78 203 94
I S -1 6 78 94 171 93
S Space -2 -2 94 109 125 31
Space A 2 3 109 109 250 141
A B -1 -4 109 78 125 16
B O 2 -4 78 78 358 280
O U 0 2 78 62 250 172
U T 0 2 62 109 406 344
T Space -3 1 109 15 18283 18174
Space L 2 -5 15 78 1716 1701
L O 1 0 78 63 218 140
O V -2 5 63 78 281 218
V E 2 1 78 93 203 125
E Space -3 -1 93 110 171 78
Space A 2 3 110 109 141 31
A N -1 -5 109 78 203 94
N D 1 3 78 78 156 78
D Space -2 -1 78 94 140 62
Space L 2 -5 94 78 234 140
L O 1 0 78 78 187 109
O S -1 7 78 62 203 125
S S 0 0 62 63 187 125
S OemPeriod -1 -7 63 94 234 171
OemPeriod Return 1 -3 94 125 1404 1310
Return Capital 0 12 125 125 749 624
Capital I 1 -8 125 93 749 624
I Capital -1 8 93 141 296 203
Capital Space -2 -4 141 109 250 109
Space W 3 2 109 78 593 484
W A -1 1 78 110 202 124
A S 0 -1 110 78 234 124
S Space -2 -2 78 93 266 188
Space K 2 -4 93 94 530 437
K Back 2 -5 94 47 858 764
Back L -2 4 47 94 296 249
L U 1 2 94 62 266 172
U C -2 4 62 94 218 156
C K 1 -5 94 62 203 109
K Y 1 2 62 31 374 312
Y Oemplus 1 -6 31 62 1217 1186
Oemplus Capital -2 12 62 125 452 390
Capital I 1 -8 125 109 172 47
I Capital -1 8 109 78 234 125
Capital Space -2 -4 78 109 172 94
Space F 2 0 109 78 327 218
F O 1 -5 78 62 141 63
O U 0 2 62 62 234 172
U N -2 1 62 78 249 187
N D 1 3 78 93 219 141
D Space -2 -1 93 125 811 718
Space W 3 2 125 109 265 140
W H -1 -4 109 62 250 141
H A 0 5 62 125 124 62
A T 1 -4 125 62 188 63
T Space -3 1 62 94 218 156
Space I 3 -4 94 93 250 156
I Space -3 4 93 110 280 187
Space Left 0 -7 110 562 2387 2277
Left Left 0 0 562 125 702 140
Left Left 0 0 125 125 811 686
Left Left 0 0 125 62 188 63
Left Left 0 0 62 62 187 125
Left Left 0 0 62 62 156 94
Left Left 0 0 62 62 187 125
Left Left 0 0 62 514 172 110
Left Left 0 0 514 62 702 188
Left Left 0 0 62 63 171 109
Left Left 0 0 63 62 172 109
Left Left 0 0 62 110 405 343
Left Back 4 -2 110 62 812 702
Back OemPeriod -3 4 62 78 483 421
OemPeriod Space -1 5 78 78 2325 2247
Space Right 0 -9 78 780 390 312
Right Right 0 0 780 31 1170 390
Right Right 0 0 31 62 156 125
Right Right 0 0 62 62 187 125
Right Right 0 0 62 62 265 203
Right Back 4 0 62 78 764 702
Back Capital -2 13 78 109 250 172
Capital I 1 -8 109 63 296 187
I Capital -1 8 63 94 125 62
Capital Space -2 -4 94 109 1108 1014
Space L 2 -5 109 94 1794 1685
L O 1 0 94 63 218 124
O V -2 5 63 93 375 312
V E 2 1 93 62 156 63
E D -1 0 62 94 187 125
D Space -2 -1 94 109 156 62
Space T 3 -1 109 94 156 47
T O 0 -4 94 62 156 62
O Space -3 5 62 109 172 110
Space D 2 1 109 109 171 62
D O 1 -6 109 78 172 63
O Space -3 5 78 125 156 78
Space E 3 1 125 63 140 15
E A -1 2 63 141 234 171
A R 1 -3 141 93 250 109
R L -1 -5 93 78 234 141
L Y 1 3 78 93 234 156
Y Space -3 2 93 109 265 172
Space I 3 -4 109 62 250 141
I N -2 2 62 78 202 140
N Space -1 2 78 93 188 110
Space L 2 -5 93 78 187 94
L I 1 1 78 47 265 187
I F -1 4 47 109 172 125
F E 1 1 109 78 249 140
E OemPeriod -2 -6 78 125 827 749
OemPeriod Space -1 5 125 140 437 312
Space Capital 2 4 140 109 234 94
Capital W 1 -2 109 62 281 172
W Capital -1 2 62 125 218 156
Capital O 1 -9 125 47 187 62
O Z -2 8 47 94 203 156
Z Space -1 -3 94 124 328 234
Space A 2 3 124 94 358 234
A N -1 -5 94 62 406 312
N D 1 3 62 63 187 125
D Space -2 -1 63 109 203 140
Space I 3 -4 109 78 218 109
I Back 1 -5 78 47 1233 1155
Back Capital -2 13 47 109 265 218
Capital I 1 -8 109 63 218 109
I Capital -1 8 63 109 188 125
Capital Space -2 -4 109 172 202 93
Space S 2 2 172 125 1623 1451
S T 1 -3 125 47 234 109
T A -1 4 47 156 187 140
A R 1 -3 156 78 874 718
R T 0 -1 78 62 499 421
T E 0 2 62 62 156 94
E D -1 0 62 47 187 125
D Space -2 -1 47 110 140 93
Space Capital 2 4 110 109 203 93
Capital A 0 -1 109 124 219 110
A Capital 0 1 124 125 218 94
Capital P 1 -10 125 78 858 733
P P 0 0 78 93 203 125
P L -1 1 93 94 218 125
L E 1 6 94 78 187 93
E Space -3 -1 78 94 172 94
Space I 3 -4 94 62 671 577
I N -2 2 62 78 203 141
N Space -1 2 78 110 202 124
Space M 1 -3 110 109 219 109
M Y 2 1 109 110 873 764
Y Space -3 2 110 78 250 140
Space P 3 -6 78 78 499 421
P A -1 9 78 125 156 78
A R 1 -3 125 78 390 265
R E 0 1 78 110 187 109
E N -2 -3 110 110 468 358
N T 2 1 110 125 328 218
T S -1 3 125 93 484 359
S Oem7 0 -9 93 109 577 484
Oem7 S 0 9 109 172 327 218
S Back 2 -11 172 78 936 764
Back Space -4 9 78 124 500 422
Space Back 4 -9 124 109 717 593
Back Back 0 0 109 62 297 188
Back Oem7 -2 2 62 156 3478 3416
Oem7 Back 2 -2 156 62 1186 1030
Back Oem7 -2 2 62 219 1513 1451
Oem7 Back 2 -2 219 78 1108 889
