D9 D3 0 6 62 125 983 921
D3 D7 0 -4 125 94 530 405
D7 D4 0 3 94 78 921 827
D4 I -1 -4 78 0 24679 24601
I Space -3 4 0 93 125 125
Space W 3 2 93 109 249 156
W A -1 1 109 187 328 219
A Back 2 -12 187 78 1591 1404
Back Back 0 0 78 125 296 218
Back Back 0 0 125 62 219 94
Back Back 0 0 62 94 171 109
Back Back 0 0 94 93 297 203
Back LShiftKey -3 13 93 156 1248 1155
LShiftKey I 2 -8 156 125 109 -47
I Space -3 4 125 78 265 140
Space W 3 2 78 109 141 63
W A -1 1 109 94 218 109
A S 0 -1 94 93 172 78
S Space -2 -2 93 125 109 16
Space L 2 -5 125 93 593 468
L U 1 2 93 63 280 187
U C -2 4 63 109 219 156
C K 1 -5 109 47 296 187
K Y 1 2 47 47 250 203
Y Space -3 2 47 78 234 187
Space Back 4 -9 78 62 1747 1669
Back OemMinus 0 2 62 47 515 453
OemMinus Space -4 7 47 78 265 218
Space LShiftKey 1 4 78 171 1264 1186
LShiftKey I 2 -8 171 125 109 -62
I Space -3 4 125 62 265 140
Space F 2 0 62 94 343 281
F O 1 -5 94 218 827 733
O U 0 2 218 140 156 -62
U N -2 1 140 47 281 141
N F 1 2 47 78 125 78
F Back 2 -9 78 172 2402 2324
Back D -2 10 172 78 3853 3681
D Space -2 -1 78 93 172 94
Space W 3 2 93 94 998 905
W H -1 -4 94 78 141 47
H A 0 5 78 141 124 46
A T 1 -4 141 124 110 -31
T Space -3 1 124 109 312 188
Space LShiftKey 1 4 109 171 468 359
LShiftKey I 2 -8 171 125 124 -47
I Space -3 4 125 93 266 141
Space L 2 -5 93 109 265 172
L O 1 0 109 62 203 94
O V -2 5 62 78 218 156
V E 2 1 78 93 125 47
E D -1 0 93 109 218 125
D Space -2 -1 109 110 187 78
Space T 3 -1 110 94 796 686
T O 0 -4 94 125 125 31
O Space -3 5 125 63 249 124
Space D 2 1 63 124 188 125
D O 1 -6 124 125 124 0
O Space -3 5 125 125 312 187
Space E 3 1 125 47 702 577
E A -1 2 47 109 219 172
A R 1 -3 109 125 187 78
R L -1 -5 125 187 343 218
L Y 1 3 187 78 297 110
Y Space -3 2 78 125 140 62
Space I 3 -4 125 78 515 390
I N -2 2 78 125 234 156
N Space -1 2 125 47 218 93
Space L 2 -5 47 94 203 156
L I 1 1 94 63 218 124
I F -1 4 63 171 188 125
F E 1 1 171 187 109 -62
E Space -3 -1 187 94 171 -16
Space Oemplus 4 -8 94 125 468 374
Oemplus Back 0 -1 125 94 1014 889
Back Back 0 0 94 109 515 421
Back OemPeriod -3 4 109 31 1654 1545
OemPeriod Space -1 5 31 109 1014 983
Space W 3 2 109 78 499 390
W O 0 -7 78 125 343 265
O X -2 7 125 32 265 140
X Back 3 -11 32 94 874 842
Back Z -3 12 94 94 312 218
Z Space -1 -3 94 171 172 78
Space Back 4 -9 171 93 858 687
Back Back 0 0 93 62 156 63
Back Back 0 0 62 63 124 62
Back Back 0 0 63 78 141 78
Back Back 0 0 78 156 218 140
Back LShiftKey -3 13 156 187 718 562
LShiftKey W 2 -2 187 171 78 -109
W O 0 -7 171 109 390 219
O Z -2 8 109 78 405 296
Z Space -1 -3 78 172 94 16
Space A 2 3 172 219 1201 1029
A N -1 -5 219 62 359 140
N D 1 3 62 109 359 297
D Space -2 -1 109 109 140 31
Space LShiftKey 1 4 109 156 655 546
LShiftKey I 2 -8 156 125 125 -31
I Space -3 4 125 78 250 125
Space S 2 2 78 93 156 78
S T 1 -3 93 94 109 16
T A -1 4 94 125 140 46
A R 1 -3 125 187 125 0
R T 0 -1 187 141 109 -78
T E 0 2 141 78 203 62
E D -1 0 78 62 219 141
D Space -2 -1 62 78 156 94
Space LShiftKey 1 4 78 156 265 187
LShiftKey A 1 -1 156 110 171 15
A P 1 -9 110 78 359 249
P P 0 0 78 47 156 78
P L -1 1 47 78 141 94
L E 1 6 78 93 187 109
E Space -3 -1 93 110 171 78
Space I 3 -4 110 109 593 483
I N -2 2 109 63 234 125
N Space -1 2 63 78 141 78
Space M 1 -3 78 63 202 124
M Y 2 1 63 94 156 93
Y Space -3 2 94 109 188 94
Space P 3 -6 109 62 1638 1529
P A -1 9 62 156 187 125
A R 1 -3 156 63 171 15
R E 0 1 63 93 188 125
E N -2 -3 93 63 249 156
N T 2 1 63 63 265 202
T S -1 3 63 46 968 905
S Oem7 0 -9 46 63 795 749
Oem7 Space -2 7 63 93 453 390
Space H 2 -2 93 78 795 702
H Back 2 -7 78 63 702 624
Back G -2 8 63 78 1545 1482
G A 0 4 78 156 93 15
A R 1 -3 156 47 156 0
R A -1 3 47 110 109 62
A G 0 -4 110 62 219 109
G E 1 2 62 125 156 94
E Space -3 -1 125 125 2761 2636
Space Space 0 0 125 94 2449 2324
Space W 3 2 94 140 344 250
W H -1 -4 140 78 109 -31
H E 1 3 78 125 312 234
E N -2 -3 125 218 125 0
N Space -1 2 218 141 483 265
Space I 3 -4 141 78 515 374
I Space -3 4 78 109 187 109
Space W 3 2 109 109 172 63
W A -1 1 109 93 234 125
A S 0 -1 93 109 187 94
S Space -2 -2 109 156 172 63
Space D2 4 2 156 125 826 670
D2 D0 0 -8 125 94 952 827
D0 Left -4 -1 94 47 1872 1778
Left Left 0 0 47 47 140 93
Left Left 0 0 47 47 125 78
Left Left 0 0 47 62 125 78
Left Left 0 0 62 31 156 94
Left Left 0 0 31 62 78 47
Left Left 0 0 62 31 156 94
Left Back 4 -2 31 93 796 765
Back LShiftKey -3 13 93 140 499 406
LShiftKey I 2 -8 140 109 78 -62
I Right -3 -5 109 16 967 858
Right Right 0 0 16 32 140 124
Right Right 0 0 32 63 125 93
Right Right 0 0 63 78 156 93
Right Right 0 0 78 62 172 94
Right Right 0 0 62 62 156 94
Right Right 0 0 62 93 156 94
Right Right 0 0 93 62 281 188
Right OemPeriod 1 4 62 62 1950 1888
OemPeriod Space -1 5 62 78 265 203
Space LShiftKey 1 4 78 187 265 187
LShiftKey W 2 -2 187 188 140 -47
W E 0 -1 188 156 94 -94
E Space -3 -1 156 109 328 172
Space W 3 2 109 125 358 249
W O 0 -7 125 93 188 63
O R 0 5 93 93 468 375
R K -1 -4 93 63 171 78
K E 1 5 63 62 203 140
E D -1 0 62 78 187 125
