D9 D6 0 3 0 125 436 436
D6 D1 0 5 125 188 234 109
D1 D4 0 -3 188 172 406 218
D4 RShiftKey -3 -7 172 109 1217 1045
RShiftKey LShiftKey 0 11 109 172 24554 24445
LShiftKey M 0 -7 172 125 63 -109
M Y 2 1 125 140 312 187
Y Space -3 2 140 110 93 -47
Space S 2 2 110 156 640 530
S E 1 -1 156 125 109 -47
E C -2 0 125 156 234 109
C O 2 -6 156 156 141 -15
O N -2 3 156 109 218 62
N D 1 3 109 156 624 515
D Space -2 -1 156 125 156 0
Space S 2 2 125 140 515 390
S O 1 -7 140 172 109 -31
O Back 1 -4 172 124 1576 1404
Back T -1 8 124 156 6068 5944
T O 0 -4 156 140 125 -31
O R 0 5 140 94 405 265
R Y 0 -2 94 156 312 218
Y Space -3 2 156 156 110 -46
Space I 3 -4 156 125 842 686
I S -1 6 125 156 125 0
S Space -2 -2 156 141 62 -94
Space A 2 3 141 171 328 187
A B -1 -4 171 171 234 63
B O 2 -4 171 171 156 -15
O U 0 2 171 140 187 16
U T 0 2 140 171 281 141
T Space -3 1 171 156 93 -78
Space L 2 -5 156 187 609 453
L O 1 0 187 156 203 16
O V -2 5 156 156 187 31
V E 2 1 156 187 234 78
E Space -3 -1 187 172 109 -78
Space A 2 3 172 187 515 343
A N -1 -5 187 125 140 -47
N D 1 3 125 156 141 16
D Space -2 -1 156 171 109 -47
Space L 2 -5 171 156 218 47
L O 1 0 156 156 203 47
O S -1 7 156 78 234 78
S S 0 0 78 125 156 78
S OemPeriod -1 -7 125 109 718 593
OemPeriod Return 1 -3 109 140 764 655
Return LShiftKey -1 12 140 234 780 640
LShiftKey I 2 -8 234 110 140 -94
I Space -3 4 110 156 234 124
Space W 3 2 156 125 390 234
W A -1 1 125 203 78 -47
A S 0 -1 203 140 141 -62
S Space -2 -2 140 141 93 -47
Space L 2 -5 141 156 437 296
L U 1 2 156 109 234 78
U C -2 4 109 140 141 32
C K 1 -5 140 140 218 78
K Y 1 2 140 141 452 312
Y OemMinus 1 -5 141 78 1202 1061
OemMinus Space -4 7 78 156 187 109
Space LShiftKey 1 4 156 234 608 452
LShiftKey I 2 -8 234 109 141 -93
I Space -3 4 109 203 187 78
Space F 2 0 203 141 405 202
F O 1 -5 141 187 63 -78
O U 0 2 187 109 140 -47
U N -2 1 109 141 234 125
N D 1 3 141 140 141 0
D Space -2 -1 140 202 78 -62
Space W 3 2 202 125 686 484
W H -1 -4 125 125 109 -16
H A 0 5 125 140 125 0
A T 1 -4 140 156 187 47
T Space -3 1 156 125 125 -31
Space LShiftKey 1 4 125 250 234 109
LShiftKey I 2 -8 250 93 172 -78
I Space -3 4 93 156 234 141
Space L 2 -5 156 187 249 93
L O 1 0 187 125 172 -15
O V -2 5 125 140 187 62
V E 2 1 140 109 156 16
E D -1 0 109 156 203 94
D Space -2 -1 156 156 109 -47
Space T 3 -1 156 124 484 328
T O 0 -4 124 141 124 0
O Space -3 5 141 171 110 -31
Space D 2 1 171 172 280 109
D O 1 -6 172 124 188 16
O Space -3 5 124 187 140 16
Space E 3 1 187 171 328 141
E A -1 2 171 202 156 -15
A R 1 -3 202 172 140 -62
R L -1 -5 172 141 296 124
L T 1 4 141 187 281 140
T Left -3 -6 187 125 4009 3822
Left Back 4 -2 125 172 624 499
Back RShiftKey -3 2 172 218 1186 1014
RShiftKey Back 3 -2 218 265 390 172
Back RShiftKey -3 2 265 406 780 515
RShiftKey Right -1 -2 406 187 983 577
Right Back 4 0 187 203 390 203
Back R -1 9 203 140 1045 842
R L -1 -5 140 156 796 656
L Y 1 3 156 124 156 0
Y Space -3 2 124 140 62 -62
Space I 3 -4 140 109 796 656
I N -2 2 109 156 93 -16
N Space -1 2 156 156 109 -47
