D4 D3 0 1 78 93 172 94
D3 D8 0 -5 93 62 359 266
D8 D8 0 0 62 78 140 78
D8 LShiftKey -3 8 78 172 19952 19874
LShiftKey I 2 -8 172 78 78 -94
I Space -3 4 78 78 250 172
Space M 1 -3 78 62 1092 1014
M E 2 4 62 78 78 16
E T 0 -2 78 94 218 140
T Space -3 1 94 94 125 31
Space W 3 2 94 125 390 296
W I 0 -6 125 78 156 31
I T 0 3 78 78 265 187
T H -1 -1 78 78 94 16
H Space -2 2 78 94 187 109
Space LShiftKey 1 4 94 312 281 187
LShiftKey D 1 -3 312 94 265 -47
D A 0 2 94 109 203 109
A V -1 -3 109 62 359 250
V I 2 -4 62 63 171 109
I D -1 5 63 78 281 218
D Space -2 -1 78 78 156 78
Space LShiftKey 1 4 78 234 281 203
LShiftKey P 2 -10 234 78 125 -109
P A -1 9 78 63 249 171
A C -1 -2 63 78 1233 1170
C K 1 -5 78 63 171 93
K A 0 7 63 156 94 31
A R 1 -3 156 78 328 172
R D -1 1 78 31 234 156
D Space -2 -1 31 93 109 78
Space A 2 3 93 110 171 78
A N -1 -5 110 63 156 46
N D 1 3 63 63 156 93
D Space -2 -1 63 78 125 62
Space LShiftKey 1 4 78 468 250 172
LShiftKey B 0 -5 468 47 390 -78
B O 2 -4 47 78 296 249
O B -2 4 78 62 250 172
B Space -1 1 62 62 187 125
Space LShiftKey 1 4 62 234 156 94
LShiftKey N 0 -6 234 62 156 -78
N O 2 -3 62 109 187 125
O Y 0 3 109 94 390 281
Y C -2 3 94 140 609 515
C E 2 0 140 109 78 -62
E Space -3 -1 109 109 296 187
Space A 2 3 109 188 608 499
A N -1 -5 188 62 328 140
N D 1 3 62 78 125 63
D Space -2 -1 78 94 109 31
Space T 3 -1 94 141 889 795
T R 0 1 141 124 110 -31
R I 0 -4 124 78 202 78
I E 0 5 78 78 234 156
E D -1 0 78 78 203 125
D Space -2 -1 78 94 125 47
Space T 3 -1 94 78 187 93
T O 0 -4 78 78 141 63
O Space -3 5 78 78 234 156
Space A 2 3 78 93 234 156
A P 1 -9 93 78 171 78
